outcode,avg_asking_price,avg_asking_price_1bed,avg_asking_price_2beds,avg_asking_price_3beds,avg_asking_price_4beds,avg_asking_price_5beds,days_on_market,Sales per month,Sale/List Ratio
NW11,1360638,347381,587828,1198659,1307951,2104849,285 days,32,30.26
NW2,769982,370760,524956,722740,967570,1842977,196 days,110.97,26.21
NW3,2356465,567505,1094010,1819693,2982380,7480784,216 days,96.53,35.54
NW4,748758,296282,431181,718124,1005437,1464999,248 days,48.51,13.72
NW5,915323,429116,733102,1059444,2522667,2216667,219 days,20.68,45.03
NW6,945232,460971,681900,942601,1547325,2800748,210 days,100.29,35.9
NW7,1052773,359174,582519,1073700,1075475,1426955,200 days,53.85,38.72
NW8,2321464,616759,1082120,2029229,3733873,6219765,267 days,79.33,18.7
NW9,499983,352169,464808,648093,801330,1035664,260 days,107.65,15.22
OL1,250859,113333,144184,237400,411429,570000,183 days,11.31,62.32
OL10,334281,195817,187099,258820,429817,909375,191 days,26.07,63.25
OL11,315348,108738,181296,265690,406530,550000,141 days,49.57,66.95
OL12,285327,108333,155476,255150,379057,518333,131 days,48.09,80
OL13,279765,98125,135185,240228,357491,528458,120 days,36.25,60.69
OL14,376588,150000,164784,282775,459329,564167,129 days,20.47,103.41
OL15,397470,144975,181725,266953,587143,594986,141 days,14.68,115.94
OL16,276953,75000,182732,239996,347577,458571,193 days,21.14,66.18
OL2,295817,139750,192555,263218,425937,566523,148 days,54.53,68.4
OL3,492697,153333,271645,431905,626124,723750,198 days,19.24,65.35
OL4,359074,72000,167232,278788,452714,1019995,130 days,42.46,79.89
OL5,285209,-,201835,298900,379368,480000,144 days,19.38,65.59
OL6,280793,-,182895,270583,352833,422500,111 days,35.68,93.18
OL7,218562,-,179343,193176,531238,260000,113 days,12.21,100
OL8,216871,80475,154325,211081,270370,357990,118 days,22.63,83.15
OL9,254571,114975,178971,257882,367582,480000,175 days,25.2,92.52
OX1,964825,355800,436111,753281,858810,1973929,163 days,23.19,71.43
OX10,792475,212329,368539,519150,877654,1462391,130 days,57.23,67.34
OX11,472047,164753,290983,458269,621105,814090,146 days,65.75,83.12
OX12,466628,200915,288007,412293,584685,937172,203 days,44.63,57.62
OX13,662069,235714,273733,528623,728391,1107381,113 days,35.58,50
OX14,500978,193137,314450,483808,606350,1076188,127 days,74.88,82.02
OX15,595643,200200,317178,459210,633560,1094565,161 days,44.35,48.32
OX16,316074,128381,207257,328951,480449,610523,172 days,73.08,56.56
OX17,696228,260000,311824,431263,718362,959118,131 days,35.04,69.93
OX18,609384,163909,393852,513767,634054,1231188,167 days,34.67,72.54
OX2,1057247,294102,513013,709303,1123643,1493366,152 days,65.33,53.17
OX20,718033,222500,355235,637900,893214,1619286,115 days,15.65,43.33
OX25,560536,-,282618,437959,614364,947692,197 days,22.84,47.33
OX26,426813,166891,265829,376136,559259,1082371,141 days,60.85,63.29
OX27,541433,234615,304089,465542,586190,927178,141 days,18.94,47.19
OX28,381987,178825,275517,391907,598513,643000,121 days,39.92,85.09
OX29,641842,378333,324811,501077,706086,984286,137 days,45.11,62.62
OX3,534199,209294,348375,507702,705244,1070714,126 days,51.43,62.5
OX33,736116,196667,451244,525874,964164,980550,205 days,8.49,55.17
OX39,720977,190000,428333,603663,772857,1058750,181 days,7.62,117.39
OX4,507279,247206,352426,477779,658068,857857,142 days,72.46,60.35
OX44,751857,300000,316211,561833,700536,1247692,166 days,14.64,50.62
OX49,734856,223500,442294,583744,1036111,1236364,165 days,8.91,67.35
OX5,633626,209933,325238,457340,638442,795000,184 days,32.61,52
OX7,701011,216731,338557,501305,904052,1456739,213 days,33.1,68.94
OX9,596805,296244,335774,502181,780281,1047140,124 days,41.61,35.47
PE1,241810,103828,163547,246664,378077,465455,165 days,69.82,33.85
PE10,323825,144312,190098,281068,419136,618760,156 days,64.42,49.85
PE11,274094,94430,184999,245352,366227,479546,184 days,95.22,41.1
PE12,463907,102718,190333,300838,425751,525450,167 days,122.69,40.12
PE13,271658,101352,165503,239076,371256,458332,219 days,83.42,23.81
PE14,329481,138333,189373,309834,425104,539802,185 days,67.78,28.47
