outcode,avg_asking_price,avg_asking_price_1bed,avg_asking_price_2beds,avg_asking_price_3beds,avg_asking_price_4beds,avg_asking_price_5beds,days_on_market,Sales per month,Sale/List Ratio
SA33,375720,237500,196673,341613,503289,562644,228 days,32.24,19.18
SA34,456866,-,196425,347337,505223,748883,246 days,8.66,23.94
SA37,582936,-,135000,336889,503738,550495,235 days,4.21,24.24
SA38,333602,130000,229500,295391,405617,450813,210 days,11.86,20.48
SA39,351209,210000,208571,312496,350318,670000,290 days,4.14,32.5
SA4,305560,113990,162350,253725,392987,532979,111 days,89.19,58.18
SA40,429549,-,-,306585,582047,646250,207 days,6.81,46.81
SA41,361478,250000,209800,281895,508750,635000,264 days,3.3,27.59
SA42,532180,150000,295000,388325,555905,631250,205 days,5.56,55.26
SA43,400758,181250,206768,301675,450566,734227,210 days,40.57,24.65
SA44,403675,240742,225084,329626,452441,601033,243 days,33.33,20.74
SA45,346743,145000,205695,305435,477000,613000,251 days,7.29,22.95
SA46,327683,150000,197994,311780,460613,548250,296 days,4.86,22.92
SA48,391231,325000,200068,335627,514244,414069,208 days,20.62,21.68
SA5,242595,-,114584,245839,323743,509999,112 days,32.68,100
SA6,266906,115000,137676,218070,391901,476667,158 days,26.58,103.57
SA61,253966,170000,126717,225068,319104,303663,185 days,25.46,34.39
SA62,414532,190000,228090,344547,516700,645439,202 days,56.58,31.5
SA63,460313,-,500000,387500,455000,420000,150 days,3.2,50
SA64,318686,-,208492,271214,456417,363990,301 days,2.89,34.48
SA65,310487,128315,253951,336104,408091,316650,188 days,13.88,14.94
SA66,399051,-,259742,329998,558321,572500,203 days,6.5,29.55
SA67,414608,110000,178775,308062,788591,704167,193 days,20.52,38.64
SA68,372875,287500,262250,315865,431923,850000,203 days,7.83,54.72
SA69,395063,218750,257056,416463,482298,577500,184 days,16.63,20.59
SA7,258171,100000,189643,205250,307750,390000,174 days,10.52,78.69
SA70,384827,213460,264946,355128,484761,615364,248 days,32.06,18.49
SA71,358038,120000,147803,277996,380865,558073,239 days,19.96,39.62
SA72,228240,48990,133998,196860,319107,477490,158 days,19.37,38.24
SA73,277826,114000,181239,231833,320670,426345,219 days,27.12,36.36
SA8,267195,-,172492,239326,371782,420000,163 days,14.91,79.01
SA9,252748,-,154150,232670,358120,453000,168 days,24.46,48.91
SE1,1101302,610225,1149106,1841853,3574612,7196667,275 days,132.11,20.48
SE10,565324,388459,549102,738019,1405248,1300000,171 days,114.04,29.69
SE11,854187,555293,810012,1278915,1736768,1671875,215 days,32.23,32.03
SE12,534778,234412,369347,575077,679037,1045707,162 days,31.67,42.11
SE13,536174,297281,413341,660114,1000867,1229706,159 days,76.6,41.63
SE14,491929,324693,454596,725833,946500,1291667,181 days,38.62,31.33
SE15,574230,347129,507293,759383,952647,1670385,153 days,94.9,36.98
SE16,595139,402257,583318,854571,1070476,2037500,161 days,86.65,34.41
SE17,587846,458728,576600,851359,731875,1550000,209 days,32.58,30.4
SE18,467071,340500,454223,565171,618125,640000,203 days,79.66,46.57
SE19,558168,284981,433519,616100,906818,1251786,169 days,44.91,67.59
SE2,379593,258625,272181,440500,516154,633332,170 days,15.18,93.02
SE20,432017,268862,381459,539219,809615,930000,201 days,26.12,59.43
SE21,898025,334991,421290,623611,1733000,3575000,150 days,15.2,84.21
SE22,718589,372212,525116,812298,1125860,1414630,162 days,47.41,60.16
SE23,604550,312954,465819,682812,1011200,817000,146 days,48.9,85.29
SE24,770463,404000,561096,789188,1080625,1850000,174 days,14.31,69.88
SE25,382991,242997,328860,470121,620589,775588,194 days,51.96,47.32
SE26,560720,303480,419402,594877,1188889,1442857,134 days,42.09,81.91
SE27,617519,296500,453756,663065,905789,1354375,141 days,31.7,57.72
SE28,346155,260841,337619,480660,484999,-,178 days,24.78,59.18
SE3,658611,349408,495820,671251,1221000,1757885,195 days,76.62,33.73
SE4,645279,353660,507143,719310,986111,1539000,158 days,32.47,46.2
SE5,684762,352857,506187,586208,1215400,1946333,191 days,43.82,57.71
SE6,465557,260417,377942,560120,731362,872727,172 days,60.87,45.85
SE7,501402,271438,417628,590947,766361,973750,169 days,24.14,27.94
SE8,457021,354660,478735,587995,1000000,-,157 days,44.33,43.1
SE9,507547,276988,375133,541059,692656,896393,141 days,49.79,105.98
SG1,389948,186997,258022,417088,599340,742724,134 days,79.48,56.34
SG10,1877284,-,282778,498989,941250,1329375,393 days,2.67,20
SG11,737098,231250,425417,584032,754548,1415000,121 days,30.25,34.43
SG12,635909,215500,328625,527984,765000,1696087,151 days,57.42,62.28
SG13,687568,281140,377300,569134,876421,1452500,146 days,45.21,55.91
SG14,724400,219411,398921,692750,983906,1784000,151 days,30.4,83.01
SG15,372454,178750,309333,377663,535000,800000,110 days,9.27,138.24
SG16,510858,80000,249403,383235,608344,948883,118 days,18.31,59.72
SG17,521427,172500,297152,456284,609764,840480,151 days,26.82,54.81
SG18,480964,166143,250127,402799,590236,918555,148 days,55.34,75.09
SG19,520076,205000,288999,380222,624320,798526,128 days,49.69,59.43
SG2,482588,185933,317642,405394,689808,1033000,141 days,48.94,81.3
SG3,603703,276320,388962,581364,794643,1287500,159 days,14.15,72
SG4,633833,187270,316848,532870,848558,1638125,133 days,57.74,80.86
SG5,556184,260337,338929,511972,732974,1004000,164 days,48.11,87.83
SG6,452791,191517,319038,455256,664348,979000,124 days,35.08,88.28
SG7,492950,176304,331314,489748,722544,1063888,136 days,26.91,43.44
SG8,606967,162727,311239,512161,764632,1007594,140 days,81.64,59.84
SG9,678691,257857,408078,535599,716321,1243150,174 days,28.28,37.2
SK1,181255,152855,185669,237143,360000,-,57 days,64.21,54.1
SK10,770718,187487,314171,443573,747857,1702789,158 days,75.57,67.34
SK11,487821,117446,215443,342582,673063,875214,125 days,69.6,69.31
SK12,563066,163333,327801,460328,669625,1183550,167 days,38.44,56.54
SK13,350604,140533,211073,334126,484208,659938,149 days,48.52,74.27
SK14,308569,145375,195017,279367,439282,704993,136 days,75.88,67.15
SK15,371201,110750,170368,270632,503143,623769,137 days,34.16,78.21
SK16,262487,80000,180669,252443,351415,385833,137 days,22.99,63.81
SK17,371519,163874,242048,339155,469844,587893,167 days,70.6,44.78
SK2,350672,159673,228295,331744,468409,506200,98 days,40.41,118.94
SK22,416793,148613,260748,326943,515963,785905,170 days,27.88,38.61
SK23,437454,136667,233674,359952,611144,736662,167 days,40.96,49.12
SK3,277537,142500,195531,303877,379073,537498,95 days,28.42,146.67
SK4,405324,168627,259431,381042,542406,867450,97 days,45.46,120.41
SK5,288724,163889,188648,249895,355454,390000,93 days,35.16,141.28
SK6,416852,170745,261490,369244,556367,891389,145 days,80.07,68.22
SK7,583077,138279,332284,444338,704370,1139428,111 days,94.59,73.43
SK8,434614,149330,285681,415249,557732,771888,140 days,106.93,62.53
SK9,726556,220836,348533,564246,815922,1495305,187 days,78.61,59.18
SL0,819489,221667,423705,604446,801757,1227155,179 days,24.13,47.92
SL1,375036,196234,317837,482620,686516,899658,198 days,95.91,38.23
SL2,777255,210327,324412,513408,975395,1516731,204 days,48.68,41.39
SL3,657248,278445,328849,578838,795351,1563046,180 days,62.67,38.83
SL4,706919,260329,433566,673418,963955,1399372,179 days,85.64,43.84
SL5,1154574,248322,490791,835573,1113850,1843372,188 days,82.18,33.98
SL6,777790,237337,395240,635173,1133122,1644933,163 days,151.66,53.52
SL7,1229621,373358,466976,908857,1103284,2474643,244 days,23.24,53.44
SL8,1079723,311238,451517,699993,1096975,1930000,240 days,11.62,45.16
SL9,1186887,340584,498919,781917,1139708,1832037,195 days,49.54,27.64
SM1,408857,219964,350796,553362,732609,1250000,160 days,43.69,100
SM2,526135,222478,342830,591425,862868,1425000,143 days,45.52,82.95
SM3,502840,260452,387386,583873,691917,811661,156 days,29.62,66.88
SM4,501595,279444,365923,556369,707353,924988,108 days,43.33,90.38
SM5,510904,226533,365832,554964,669523,957136,119 days,34.79,129.71
SM6,421681,221427,316444,567880,738412,846000,159 days,40,82.08
SM7,678489,279313,395159,667611,975130,1044692,158 days,28.1,66.89
SN1,255427,108720,181188,291223,418801,513389,146 days,72.53,60.91
SN10,450103,149409,287155,389793,568457,776053,121 days,57.52,86.64
SN11,376102,197983,250847,326973,518967,576495,119 days,76.89,43.93
SN12,394248,154444,202346,322483,465749,731916,105 days,53.14,108.6
SN13,678424,190714,278788,388966,646103,926667,104 days,36.06,73.6
SN14,613711,240000,297924,474223,653579,1102136,135 days,38,77.19
SN15,430587,154629,238413,428226,582444,704208,177 days,55.76,67.78
SN16,589453,297136,285126,471767,678061,1154375,186 days,29.84,48.65
SN2,255724,132431,188655,288272,356212,508333,118 days,55.17,89.4
SN25,334148,132955,180638,311535,421099,526165,133 days,66.99,105.05
SN26,500235,-,262500,373050,572691,-,163 days,6.63,36.11
SN3,340693,176447,201498,309140,435894,598200,115 days,86.09,82.12
SN4,601607,139705,250006,361888,651398,1144565,138 days,35.65,96.95
SN5,360419,138507,207894,337352,451915,598417,103 days,65.83,77.43
SN6,915990,157500,290381,373855,577455,905000,163 days,38.47,64.59
SN7,501709,139000,308735,450434,538554,707941,150 days,32,50.62
SN8,617962,191711,348946,488902,764069,983600,194 days,37.89,42.86
SN9,647172,135000,279929,447121,848500,966667,121 days,17.11,56.52
SO14,261335,143774,242573,355255,394056,570625,225 days,44.13,31.42
SO15,318598,137778,219743,357926,522024,557211,142 days,58.52,74.37
SO16,402647,130000,241762,361303,609457,880190,153 days,71.18,58.4
SO17,314538,155544,237579,374030,452885,762499,166 days,24.76,52.55
SO18,275960,134018,218631,328915,476000,360000,109 days,61.65,79.46
SO19,272311,137551,234090,318558,411277,397500,119 days,75.13,87.58
SO20,765151,325000,450714,614333,853929,1067692,145 days,17.17,38.55
SO21,880353,193961,359023,648146,981428,1501429,148 days,37.5,47.57
SO22,696548,183636,420793,632027,869534,1532692,173 days,43.18,72.29
SO23,554722,203329,414202,626921,982895,940000,209 days,36.32,59.29
SO24,783738,268700,395056,704582,921000,1378077,219 days,16.03,47.01
SO30,447046,147500,258692,369882,533928,768093,128 days,57.89,71.26
SO31,547949,201587,267969,457198,664476,1423421,146 days,120.82,42.35
SO32,624184,171245,349895,504593,711497,1209653,139 days,80.5,30.56
SO40,450626,186243,306602,435304,601823,931231,148 days,55.95,81.16
SO41,710153,201469,327099,628839,1017269,1532930,235 days,93.32,30.64
SO42,980966,192857,440850,765294,1161617,1510000,202 days,9.21,40.32
SO43,854855,182000,410000,615748,1323747,1396111,177 days,13.05,42.86
SO45,429469,152453,281224,395433,582078,711429,209 days,39.76,71.12
SO50,347443,176180,262364,361830,530408,628077,137 days,77.52,75.14
SO51,631286,210969,351123,496693,781131,1236346,160 days,55.88,63.76
SO52,485589,130000,249272,457706,625498,823571,133 days,16.02,61.97
SO53,477725,189125,308119,423775,658464,765500,117 days,37.69,129.93
SP1,353280,180882,253569,388073,606520,821000,128 days,37.73,85.71
SP10,327315,130954,228656,332878,520648,606806,145 days,31.03,134
SP11,588992,142494,283337,437988,715105,1053095,126 days,53.81,96.46
SP2,356440,130509,237061,355179,600640,810549,161 days,40.99,75.45
SP3,737683,-,289756,443438,697382,898222,141 days,23.19,46.79
SP4,494233,164125,231325,347166,489904,755278,124 days,49.11,66.5
SP5,828184,262500,300190,518004,740122,1192063,168 days,36.43,52.94
SP6,590074,225181,251042,503938,747654,1042644,209 days,30.72,40.19
SP7,536984,191250,284222,375372,687378,1143889,145 days,40.76,42.64
SP8,453580,103606,216307,381804,552076,916429,143 days,42.8,50.49
SP9,530082,-,296992,299986,493333,-,136 days,4.85,145.45
SR1,109938,51604,56145,107083,134975,-,319 days,4.89,23.08
SR2,186405,61179,97804,162444,348558,326943,240 days,34.62,55.23
SR3,266590,53300,149727,198897,354711,427652,159 days,42.45,60.44
SR4,163862,63740,110218,162120,288700,363750,137 days,33.94,137.42
SR5,136426,58579,110358,127109,220817,228483,146 days,21.78,82.08
SR6,336627,112859,173902,290999,506159,769395,149 days,35.44,91.48
SR7,203828,82475,115291,161191,349987,518985,142 days,52.82,51.2
SR8,121197,-,73138,118270,250371,256238,141 days,51.06,72.92
SS0,431362,182817,331541,417927,653873,893030,147 days,106.12,40
SS1,454868,168926,331707,526312,713088,917750,164 days,65.85,39.72
SS11,459845,172255,315703,513807,562889,849499,126 days,48.81,55.61
SS12,464343,188222,296200,471691,590263,881249,108 days,34.44,82.26
SS13,355687,177727,253471,360618,496016,646667,125 days,34.32,60.14
SS14,291394,158800,260960,327857,410250,408333,143 days,33.15,77.22
SS15,372138,173034,263000,391236,502797,637500,155 days,41.23,73.71
SS16,425038,179100,276717,409117,572108,700234,141 days,47.02,57.47
SS17,476154,184374,284655,434000,562674,831471,116 days,56.64,75.34
SS2,333428,167495,278514,379418,495323,452222,140 days,73.71,59.3
SS3,470216,179906,331307,418250,626902,710250,176 days,48.24,48.06
SS4,419321,166379,303178,439160,601667,751071,132 days,44.55,64.8
SS5,533721,141176,320321,461862,616458,840312,125 days,47.52,70.2
SS6,517425,222500,336272,436875,638694,968913,124 days,59.03,78.28
SS7,455603,213409,324882,426129,581499,704537,158 days,83.54,67.95
SS8,347980,218611,281304,348781,452281,622750,146 days,64.73,74.29
SS9,498932,251999,353211,492041,711384,979288,125 days,132.48,60.51
ST1,152047,87545,103411,172705,240923,243317,172 days,30.87,89.27
ST10,376046,129869,220311,321507,436741,617564,164 days,67.32,29.62
ST11,343822,82500,215586,299616,445278,462500,173 days,20.98,42.98
ST12,515161,-,268333,324300,506273,719444,153 days,8.63,40.91
ST13,391623,163590,203809,289006,633890,651182,172 days,37.33,63.08
ST14,381423,98250,190436,278624,458231,760829,147 days,45.51,55.61
ST15,381361,127078,199881,285917,436736,676247,178 days,46.35,53.82
ST16,262073,145454,184402,249107,365322,489833,146 days,55.48,55.93
ST17,372564,105000,221682,310547,446480,806538,168 days,42.5,78.57
ST18,507478,85000,267448,368479,548099,912381,202 days,28.96,50.26
ST19,430069,235667,189250,372819,517339,653246,187 days,17.49,65.14
ST2,217624,150000,172383,213901,360219,-,108 days,35.83,92.25
ST20,448425,-,259541,401250,508433,532990,130 days,16.15,32.86
ST21,604231,-,362500,417500,629286,775000,146 days,13.36,41.54
ST3,238213,93625,166669,212897,366634,491535,144 days,82.08,58.12
ST4,224239,86563,136769,227748,347136,435666,136 days,68.82,89.1
ST5,262403,91141,163536,241336,404932,596905,142 days,95.49,78.32
ST6,173259,59233,118740,190790,257066,500000,151 days,52.45,105.3
ST7,310708,93285,191537,250592,427700,608893,132 days,90,79.29
ST8,300862,130000,200967,274927,459112,589279,129 days,35.12,78.81
ST9,370843,-,200222,336026,450727,607667,175 days,21.43,43.2
SW1,3528219,924130,1784151,3736693,7163770,10659109,300 days,167,13.41
SW10,2068505,813123,1270826,2304175,4123457,6792205,286 days,53.18,14.79
SW11,1159703,624285,1015742,1754111,2853224,3139273,266 days,165.68,24.91
SW12,844620,468816,684081,874000,1297654,1806250,126 days,67.38,53.71
SW13,1614346,429583,827627,1111600,1998800,3141923,267 days,14.61,51.54
SW14,964096,363125,638373,924333,1418177,2110000,231 days,14.81,74.56
SW15,907043,387735,580181,799249,1167714,1927000,186 days,93.39,42.49
SW16,581735,313784,426312,597425,887233,1162361,131 days,160.76,44.3
SW17,693580,373059,546058,747734,1113431,1302500,135 days,125.33,50
SW18,792196,416355,620860,1163510,1407788,2013810,202 days,124.75,43.69
SW19,1089376,386612,599329,904472,1405842,2335308,195 days,109.54,54.21
SW2,627841,365459,501182,655160,955536,1263435,161 days,79.94,44.06
SW20,900579,354883,545144,840980,1329271,2215882,148 days,64.05,50.32
SW3,2373651,862109,1640225,3289632,5114153,6182045,291 days,68.04,18.18
SW4,735731,417568,635367,786386,1112600,1741875,141 days,88.72,32.13
SW5,1395559,711331,1163623,1722071,2935575,3425385,244 days,46.48,14.02
SW6,1243876,609853,937093,1618151,2225294,2659355,264 days,126.7,26.91
SW7,3152297,1004910,1958333,3311503,5145000,8925600,303 days,57.23,12.8
SW8,1659985,663456,974463,2094619,2993652,8621550,316 days,84.68,13.45
SW9,614578,414528,539631,624740,1226731,2017857,150 days,57.2,52.8
SY1,313487,147771,257341,275438,392373,650707,157 days,38.03,70.35
SY10,474984,66150,208476,318402,496153,635000,172 days,31.57,59.67
SY11,296262,155445,197669,272298,425566,496106,151 days,46.69,84.68
SY12,355254,145850,165826,297299,471607,550714,121 days,20.08,97.53
SY13,387472,102333,231950,300982,433043,657407,143 days,44.9,38.79
SY14,546830,110000,278000,365414,499998,852666,208 days,13.27,38.04
SY15,445090,-,216658,336246,470521,632486,191 days,8.17,55.77
SY16,356298,-,189272,268293,416344,422500,236 days,13.47,54.72
SY17,360330,95000,158539,365785,467985,793750,310 days,5.61,50
SY18,276178,81900,158023,261826,431243,515000,322 days,6.15,24.24
SY19,333265,-,171000,427500,320000,750000,338 days,1.51,41.18
SY2,377825,197644,266446,320060,455142,813883,141 days,39.79,70.05
SY20,328442,128317,177274,327497,338495,455556,205 days,11.71,45
SY21,361289,-,197506,293430,553999,419800,177 days,24.41,49.31
SY22,448702,-,207600,356092,496707,554994,182 days,18.13,33.64
SY23,332374,142390,209403,296862,411401,463655,252 days,38.81,37.12
SY24,326290,131000,195338,269873,453050,424222,168 days,13.39,25.33
SY25,295650,-,201387,299833,355531,455825,206 days,10.92,25.33
SY3,388742,137740,245605,336751,490682,698864,147 days,64.9,66.98
SY4,439130,122238,263028,352846,555948,730689,149 days,64.43,42.81
SY5,454095,194667,243661,358772,563139,734521,144 days,52.92,40.16
SY6,582093,174650,310530,445186,793396,709995,164 days,17.38,33.68
SY7,493492,239500,312967,392725,576602,869666,163 days,33.87,24.46
SY8,403364,153823,259028,367020,506828,674200,198 days,41.52,38.69
SY9,479915,-,205481,387850,553333,795000,161 days,4.84,84.62
TA1,297455,153344,223551,309161,448776,659676,170 days,66.18,66.93
TA10,535208,-,198375,400498,665621,1135000,134 days,19.25,87.21
TA11,648376,265000,254327,423863,652934,957500,205 days,15.22,65.38
TA12,462317,-,227782,354318,486667,720500,102 days,18.53,73.02
TA13,539333,120000,238333,410769,660500,984167,144 days,9.38,82.22
TA14,554151,-,304700,390625,482222,724975,138 days,7.83,63.89
TA16,457188,140000,272500,476429,506250,1150000,108 days,4.44,93.75
TA18,350151,140990,235483,299603,405832,600000,128 days,28.36,64.46
TA19,465457,131667,253889,365773,588116,621429,191 days,20.73,70.45
TA2,341653,98000,223934,302969,419377,688889,127 days,52.68,73.99
TA20,453638,106333,200758,345107,498999,805000,181 days,37.29,62.22
TA21,378352,125415,220370,329443,476052,708155,162 days,43.89,44.73
TA22,424671,115000,290248,407934,618000,923333,233 days,7.08,38.18
TA23,339620,99950,228099,314707,424698,617495,245 days,15.18,39.52
TA24,427954,135951,220655,382156,590359,669806,245 days,56.94,23.23
TA3,570538,-,231579,454842,602151,892883,147 days,31.84,62.82
TA4,485097,151492,254113,376236,622556,776021,171 days,49.82,45.42
TA5,552613,196213,239991,383652,588192,681698,195 days,24.92,50.62
TA6,304806,115829,198719,257500,400849,563831,145 days,57.93,109.64
TA7,508072,177500,241337,349702,556907,778211,159 days,36.6,53.61
TA8,327420,105761,208331,330635,444502,507488,162 days,33.52,58.01
TA9,419580,99983,196862,326452,536930,769993,219 days,21.51,34.39
TF1,292953,97445,185336,252828,363128,577772,135 days,66,61.28
TF10,426037,192000,308802,330534,517551,698928,172 days,30,47.67
TF11,431126,145494,199828,368265,559520,963317,141 days,18.3,74.42
TF12,338465,175000,261135,316276,448921,585000,221 days,9.23,41.18
TF13,423425,219950,264327,351031,686804,725000,195 days,8.31,50
TF2,289846,104967,215077,251920,366187,463181,121 days,85.79,48.84
TF3,248699,85613,126755,225170,350147,336250,117 days,34.87,77.21
TF4,272751,117895,175992,239593,367176,442075,142 days,42.46,47.76
TF5,405132,-,219999,291762,484409,728625,100 days,14.7,28.57
TF6,498351,98950,248116,359548,607541,696000,163 days,18.22,46.46
TF7,225037,88939,159784,200915,312717,460493,197 days,16.75,73.64
TF8,395585,179975,225828,398443,509994,612500,239 days,8.28,25.76
TF9,406061,153950,234811,342005,479125,641842,184 days,64.89,34.67
TN1,406241,234996,344149,533498,817091,948750,166 days,31.63,53.14
TN10,571447,257500,390210,499499,743329,840455,143 days,32.52,34.19
TN11,886316,194143,386413,587639,992445,1390558,186 days,29.03,41.67
TN12,622778,269339,321503,476555,681438,1019900,186 days,61.45,38.32
TN13,919223,294889,468915,672209,1059756,1620114,214 days,31.54,62.22
TN14,927650,222313,419885,663952,1060140,1602141,145 days,39.1,36.51
TN15,808656,188719,340622,573158,866332,1274119,187 days,49.57,47.9
TN16,691476,211667,394724,552566,705560,1252885,176 days,39.2,56.09
TN17,736170,365000,375775,537350,883079,1124914,156 days,46.15,23.75
TN18,698539,214999,437058,485309,823179,1027500,158 days,19.56,24.27
TN19,775942,225000,261250,513333,739000,1139375,204 days,11.32,27.27
TN2,572299,200511,391974,521063,819498,1113808,143 days,52.87,63.89
TN20,916595,213750,426429,568925,919000,2215000,201 days,7.01,29.79
TN21,725779,160674,352135,561090,773703,1230161,211 days,28.15,64.65
TN22,687608,160234,300053,525613,839231,1024523,160 days,63.19,57.86
TN23,379195,165421,238448,325670,469758,663998,121 days,80.33,57.41
TN24,368190,158906,252673,357308,528383,645556,125 days,56.64,59.75
TN25,554812,193071,288139,424629,620956,922143,147 days,48.98,46.25
TN26,676255,240000,249727,437051,714326,978859,178 days,30.34,34.44
TN27,723949,194000,280448,509616,860210,967857,206 days,31.6,35.48
TN28,401388,115141,194895,339478,540235,577650,229 days,31.05,23.63
TN29,380458,172000,223628,376752,465033,743500,154 days,50.45,20.46
TN3,1082218,181421,490233,616250,1089759,1836944,180 days,24.67,35.81
TN30,602830,270628,375376,482956,698391,1107484,169 days,32.49,33.33
TN31,522354,219439,305006,482773,730566,936273,168 days,54.11,30.03
TN32,667981,-,413750,502075,719726,829444,156 days,10.19,32.08
TN33,556972,171039,255697,441562,749878,887908,155 days,44.9,26.72
TN34,401052,165289,270091,374697,551091,636873,131 days,92.98,48.77
TN35,484139,221238,222630,460181,630405,813580,148 days,52.91,40.61
TN36,372332,-,190413,472996,544841,644650,196 days,9.8,40.62
TN37,321320,170891,187566,357705,452858,590467,141 days,57.87,37.5
TN38,365369,171038,264732,361790,550803,602060,116 days,83.02,58.88
TN39,494133,203771,313507,475484,643874,784432,141 days,98.72,54.31
TN4,557899,217944,377851,552692,859564,1378684,164 days,54.33,54.88
TN40,332041,143376,270325,350119,483037,535624,139 days,74.03,42.57
TN5,792364,229167,378017,578542,824313,1278846,143 days,22.45,56.07
TN6,655955,170313,351641,497768,675724,954619,150 days,77,45.19
TN7,1002172,-,385000,597227,1105000,1558333,192 days,5,40.62
TN8,693015,129057,310206,540719,861628,1839318,206 days,29.85,30.73
TN9,420509,223416,304248,483279,620227,981000,162 days,39.44,64.32
TQ1,378374,129872,235217,317205,569338,884277,181 days,122.98,26.82
TQ10,453092,-,192100,393500,536667,1025000,112 days,14.2,45.28
TQ11,436035,164990,231000,357833,558750,941667,148 days,8.31,58.54
TQ12,397354,148862,246252,347500,514475,722152,145 days,135.93,47.49
TQ13,486834,179036,197454,353279,638847,1037353,177 days,71.36,37.77
TQ14,453248,162833,282697,392417,574671,890741,178 days,44.33,50.95
TQ2,365275,137562,252374,328962,547670,564593,164 days,87.99,28.27
TQ3,326613,130520,240821,320930,434802,601205,151 days,91.59,33.84
TQ4,282082,109649,189638,292866,413285,530102,179 days,75.42,28.22
TQ5,384214,151846,268020,369298,586564,799538,190 days,76.74,19.96
TQ6,577612,213000,323674,482296,799898,1246157,228 days,42.89,21.47
TQ7,642481,190829,367980,474388,878564,1271897,162 days,60.56,43.73
TQ8,1280255,164950,796869,837000,1325000,2218750,200 days,11.1,64.86
TQ9,673812,236284,358828,493416,726202,1303333,169 days,56.63,43.89
TR1,458218,189185,240798,383733,590641,768746,184 days,50.87,32.37
TR10,353798,181553,270538,337380,668925,575000,149 days,17.92,69.66
TR11,588318,251682,354356,438780,769107,1220303,145 days,61.86,60.2
TR12,571606,219490,251640,449283,797671,953125,166 days,39.4,29.36
TR13,450182,203227,299587,417813,530638,736500,150 days,58.2,48.8
TR14,328678,109368,208312,304545,519560,650500,143 days,45.1,66.98
TR15,274663,104556,221411,300831,408857,458990,141 days,34.04,85
TR16,403654,174000,234153,371392,555257,709121,176 days,38.69,38.77
TR17,567086,273333,438750,422579,780000,655000,135 days,10.22,10.87
TR18,347223,169963,276818,371024,539683,621875,162 days,50.19,42.44
TR19,485523,231977,300367,470151,714586,909615,167 days,35.93,28
TR2,734337,153333,400025,510637,982558,1308421,203 days,25.86,28
TR20,509274,185000,220994,461682,683515,902500,160 days,38.06,24.14
TR26,583388,288500,415074,565567,799499,1418750,201 days,59.7,14
TR27,334853,208429,219499,290976,494384,777735,198 days,46.21,24.26
TR3,606650,-,349679,518715,792656,1379995,180 days,26.5,39.62
TR4,521277,145000,273709,411590,745348,719091,151 days,30.99,35.9
TR5,522887,269000,382000,329700,788214,942500,135 days,12,31.48
TR6,558437,180000,300187,449742,808093,663113,174 days,13.28,41.56
TR7,427612,170715,313482,412299,610884,685150,167 days,48.5,63.33
TR8,393053,221250,167725,289123,568392,1003611,204 days,49.71,31.07
TR9,331616,144231,205986,327203,460176,812481,198 days,19.7,28.46
TS1,125584,57990,78762,97904,113571,196333,158 days,13.86,79.45
TS10,225364,97105,120588,175428,281692,287475,144 days,35.83,115.7
TS11,204836,-,154150,181106,262492,349750,93 days,16.45,94.12
TS12,240792,138877,156704,203118,302023,698455,113 days,46.99,64.41
TS13,334941,266667,178090,241989,1058883,290000,137 days,26.06,33.61
TS14,254108,109990,167641,204604,321965,462778,189 days,22.38,58.87
TS15,410422,110707,187495,322075,481498,666376,175 days,29.83,54.6
TS16,318430,115000,150934,251251,351741,538000,147 days,27.76,52.94
TS17,226640,49556,119385,160215,316202,432883,190 days,42.47,66.17
TS18,198615,65744,117132,193803,292232,398125,178 days,31.52,61.5
TS19,186647,125666,136686,162778,267534,275000,139 days,47.27,57.99
TS20,207290,97500,137306,162543,274478,454495,136 days,26.47,87.5
TS21,300904,82770,152327,192707,379864,501997,163 days,28.71,37.18
TS22,475131,-,146056,218416,378879,721475,174 days,33.45,35.05
TS23,153163,85000,111108,144877,247908,-,116 days,23.02,110.11
TS24,132056,49439,110150,103424,232592,262142,215 days,24,45.93
TS25,129421,45000,84183,134173,211155,221667,150 days,53.2,58.65
TS26,226776,83316,86036,160041,302121,384333,145 days,63.93,44.66
TS27,262105,44950,124282,188423,381322,533214,198 days,17.88,41.53
TS28,178831,99950,72600,153957,248750,350000,149 days,9.87,20.41
TS29,149181,-,53800,139308,220493,-,194 days,5.26,117.65
TS3,97899,129975,92819,90626,162500,140000,145 days,19.86,90.62
TS4,138008,64000,89173,143712,250416,360000,168 days,15.89,55.06
TS5,194072,78492,117253,181040,282111,388631,156 days,57.31,64.43
TS6,171559,100375,108443,144144,269006,363000,155 days,33.68,63.22
TS7,335317,56875,175158,215139,379539,463057,116 days,47.59,61.96
TS8,218391,67000,139861,184899,295604,356237,142 days,25.56,66.12
TS9,367773,171990,194940,311265,497066,647363,155 days,23.42,80.99
TW1,1070198,354257,597191,1003077,1512237,2104375,139 days,57.19,48.3
TW10,1146026,463807,699277,1094970,1902598,2911786,151 days,34.77,54.86
TW11,844383,413250,582144,991243,1326133,2150919,176 days,45.68,32.09
TW12,799110,313524,522050,726229,1140828,1538997,168 days,31.43,46.02
TW13,399004,207357,311801,495626,600381,675800,173 days,35.03,45.54
TW14,400796,210287,320623,473033,633632,676000,194 days,22.27,47.22
TW15,486257,227704,362517,537629,702283,664395,138 days,46.09,85.38
TW16,592394,221188,384950,626819,870898,1751995,165 days,34.55,35.26
