outcode,in_employment,unemployed,unemployment_pct
LD8,1422,1554,52.22
LE1,8589,11455,57.15
LE10,26911,17250,39.06
LE11,26685,30247,53.13
LE12,34822,23577,40.37
LE13,13944,9409,40.29
LE14,9436,6438,40.56
LE15,16753,13876,45.3
LE16,19349,13552,41.19
LE17,11701,7452,38.91
LE18,15900,12108,43.23
LE19,9925,5535,35.8
LE2,52976,49281,48.19
LE3,50861,36668,41.89
LE4,47645,38205,44.5
LE5,39859,32234,44.71
LE55,295,136,31.55
LE6,41186,28426,40.83
LE65,474,147,23.67
LE67,3311,1299,28.18
LE7,23997,15437,39.15
LE8,19721,12840,39.43
LE9,27470,17930,39.49
LL11,21960,15470,41.33
LL12,11587,9588,45.28
LL13,14383,12204,45.9
LL14,15218,12081,44.25
LL15,5400,4157,43.5
LL16,7156,5802,44.78
LL17,2705,2232,45.21
LL18,16488,17041,50.82
LL19,7756,8408,52.02
LL20,3270,2748,45.66
LL21,3078,2254,42.27
LL22,7786,8518,52.24
LL23,1779,1213,40.54
LL24,1228,782,38.91
LL25,218,178,44.95
LL26,2041,1536,42.94
LL27,302,242,44.49
LL28,5866,6686,53.27
LL29,7917,6850,46.39
LL30,8817,10196,53.63
LL31,4233,3391,44.48
LL32,2801,2469,46.85
LL33,2002,1845,47.96
LL34,1883,1625,46.32
LL35,414,452,52.19
LL36,1688,1938,53.45
LL37,277,348,55.68
LL38,211,405,65.75
LL39,125,138,52.47
LL40,1962,1700,46.42
LL41,2693,2274,45.78
LL42,907,920,50.36
LL43,197,228,53.65
LL44,275,372,57.5
LL45,368,442,54.57
LL46,741,861,53.75
LL48,1314,1066,44.79
LL49,1616,1557,49.07
LL51,590,455,43.54
LL52,1201,1336,52.66
LL53,7019,5893,45.64
LL54,5365,4342,44.73
LL55,9880,7272,42.4
LL56,1207,680,36.04
LL57,10342,10973,51.48
LL58,1554,1834,54.13
LL59,2453,2052,45.55
LL60,1590,1069,40.2
LL61,2305,2303,49.98
LL62,1193,1107,48.13
LL63,659,712,51.93
LL64,266,249,48.35
LL65,10156,9419,48.12
LL66,786,867,52.45
LL67,334,480,58.97
LL68,1984,2198,52.56
LL69,129,126,49.41
LL70,131,153,53.87
LL71,885,729,45.17
LL72,206,300,59.29
LL73,224,205,47.79
LL74,883,1260,58.8
LL75,589,606,50.71
LL76,174,174,50.0
LL77,2726,2087,43.36
LN1,15780,17163,52.1
LN10,2917,3626,55.42
LN11,13156,12794,49.3
LN12,3778,8802,69.97
LN13,3112,3955,55.96
LN2,19860,15868,44.41
LN3,7516,6574,46.66
LN4,19674,15122,43.46
LN5,16939,11403,40.23
LN6,29295,21179,41.96
LN7,3001,2718,47.53
LN8,3443,3353,49.34
LN9,3957,3793,48.94
LS1,7129,8631,54.77
LS10,18586,12441,40.1
LS11,17021,12936,43.18
LS12,20472,14935,42.18
LS13,18869,12411,39.68
LS14,18209,13582,42.72
LS15,16318,12370,43.12
LS16,18745,14501,43.62
LS17,20781,14878,41.72
LS18,10827,6747,38.39
LS19,9829,6401,39.44
LS2,3781,6763,64.14
LS20,6299,4234,40.2
LS21,8559,6436,42.92
LS22,7304,6709,47.88
LS23,4288,3908,47.68
LS24,6547,4197,39.06
LS25,21775,14922,40.66
LS26,15432,10530,40.56
LS27,19334,11274,36.83
LS28,19400,11736,37.69
LS29,14637,11855,44.75
LS3,645,1084,62.7
LS4,5108,3452,40.33
LS5,3661,2115,36.62
LS6,19235,24069,55.58
LS7,14165,10214,41.9
LS8,21559,17075,44.2
LS9,16416,13873,45.8
LU1,22520,17322,43.48
LU2,31805,19339,37.81
LU3,27594,22109,44.48
LU4,22834,19005,45.42
LU5,21870,12780,36.88
LU6,16092,10165,38.71
LU7,31247,17785,36.27
M1,8695,9092,51.12
M10,20593,18255,46.99
M11,9727,8937,47.88
M12,8046,9296,53.6
M13,8263,14196,63.21
M14,18848,28320,60.04
M15,12206,7845,39.13
M16,16809,12519,42.69
M17,1233,612,33.17
M18,9451,9042,48.89
M19,16098,12999,44.67
M2,227,52,18.64
M20,25877,14938,36.6
M21,15065,7947,34.53
M22,19394,15898,45.05
M23,14991,11259,42.89
M24,24145,18433,43.29
M25,26274,18001,40.66
M26,16191,11231,40.96
M27,21199,15278,41.88
M28,26946,19456,41.93
M29,21662,15460,41.65
M3,11232,4668,29.36
M30,28236,19837,41.26
M31,23511,16407,41.1
M32,13262,8376,38.71
M33,29055,18901,39.41
M34,22946,16961,42.5
M35,21175,15012,41.48
M4,11620,2680,18.74
M40,481,445,48.06
M41,81,99,55.0
M43,291,273,48.4
M44,669,171,20.36
M46,814,162,16.6
M5,14202,9049,38.92
M50,2315,586,20.2
M6,13868,12073,46.54
M7,13351,11121,45.44
M8,11045,12284,52.66
M9,15399,14292,48.14
ME1,17987,11973,39.96
ME10,25694,16661,39.34
ME11,2153,1791,45.41
ME12,17314,16887,49.38
ME13,13715,10639,43.68
ME14,19752,12391,38.55
ME15,25938,17220,39.9
ME16,16816,10088,37.5
ME17,12535,8472,40.33
ME18,3724,2732,42.32
ME19,13153,7506,36.33
ME2,20628,13142,38.92
ME20,10341,6503,38.61
ME3,14238,9605,40.28
ME4,15365,10716,41.09
ME5,25803,16079,38.39
ME6,5590,3189,36.33
ME7,23763,16326,40.72
ME8,23422,17275,42.45
ME9,10099,6770,40.13
MK1,5599,3778,40.29
MK10,13525,4297,24.11
MK11,5874,3543,37.62
MK12,8741,5214,37.36
MK13,8197,5350,39.49
MK14,9608,6078,38.75
MK15,3384,2412,41.61
MK16,10110,6557,39.34
MK17,11020,6681,37.74
MK18,16883,10779,38.97
MK19,6420,3516,35.39
MK2,6307,4580,42.07
MK3,12348,7699,38.4
MK4,13247,5913,30.86
MK40,21137,13708,39.34
MK41,20425,13957,40.59
MK42,27985,15292,35.34
MK43,20894,12362,37.17
MK44,8219,5930,41.91
MK45,24851,14832,37.38
MK46,4253,3031,41.61
MK5,7813,4223,35.09
MK6,11982,8545,41.63
MK7,7839,3514,30.95
MK8,6485,2833,30.4
MK9,2375,905,27.59
N1,49391,28539,36.62
N10,14841,8385,36.1
N11,17651,10983,38.36
N12,16052,10693,39.98
N13,18128,12348,40.52
N14,13606,9796,41.86
N15,26925,17260,39.06
N16,31316,16839,34.97
N17,30602,24103,44.06
N18,13827,12455,47.39
N19,21071,12700,37.61
N1C,590,680,53.54
N2,12745,7979,38.5
N20,8273,5499,39.93
N21,10179,6804,40.06
N22,20913,13076,38.47
N3,13000,8007,38.12
N4,30312,15208,33.41
N5,14087,6088,30.18
N6,9627,5133,34.78
N7,24843,16113,39.34
N8,20548,9841,32.38
N9,19076,18210,48.84
NE1,7441,14064,65.4
NE10,16054,14563,47.57
NE11,7781,5882,43.05
NE12,18732,12979,40.93
NE13,11531,6952,37.61
NE15,16142,13577,45.68
NE16,10815,9370,46.42
NE17,2070,2035,49.57
NE18,449,338,42.95
NE19,2067,1543,42.74
NE2,10961,17032,60.84
NE20,4809,4679,49.31
NE21,8345,6562,44.02
NE22,9143,7705,45.73
NE23,18244,14936,45.02
NE24,17188,15101,46.77
NE25,14775,11775,44.35
NE26,7877,6438,44.97
NE27,8091,4246,34.42
NE28,21351,16672,43.85
NE29,16297,14022,46.25
NE3,22163,17919,44.71
NE30,9011,7209,44.45
NE31,11346,8414,42.58
NE32,9486,9373,49.7
NE33,12298,12254,49.91
NE34,19757,20148,50.49
NE35,3122,2616,45.59
NE36,3053,2510,45.12
NE37,9113,8355,47.83
NE38,13110,11450,46.62
NE39,3464,3287,48.69
NE4,13247,16278,55.13
NE40,6953,5383,43.64
NE41,798,728,47.71
NE42,5569,4449,44.41
NE43,2072,1851,47.18
NE44,689,707,50.64
NE45,1246,1408,53.05
NE46,6568,6237,48.71
NE47,3306,2653,44.52
NE48,1324,1097,45.31
NE49,1491,1358,47.67
NE5,19888,18152,47.72
NE6,21962,19521,47.06
NE61,15748,15002,48.79
NE62,3632,3476,48.9
NE63,11814,10788,47.73
NE64,1901,2423,56.04
NE65,8485,8590,50.31
NE66,7591,7094,48.31
NE67,389,460,54.18
NE68,709,778,52.32
NE69,116,189,61.97
NE7,7092,4528,38.97
NE70,867,890,50.65
NE71,1110,1290,53.75
NE8,13995,11219,44.5
NE9,15070,13136,46.57
NG1,6999,13528,65.9
NG10,23675,15431,39.46
NG11,18516,14827,44.47
NG12,17847,13655,43.35
NG13,10517,8308,44.13
NG14,9488,8148,46.2
NG15,22401,15836,41.42
NG16,28915,23108,44.42
NG17,34237,27105,44.19
NG18,24011,16933,41.36
NG19,23087,17971,43.77
NG2,27642,18609,40.23
NG20,12875,10060,43.86
NG21,11549,8312,41.85
NG22,13574,10671,44.01
NG23,8265,6729,44.88
NG24,22264,16105,41.97
NG25,3381,3781,52.79
NG3,24257,19177,44.15
NG31,23180,16228,41.18
NG32,5183,4707,47.59
NG33,4661,3473,42.7
NG34,20178,15260,43.06
NG4,19205,12880,40.14
NG5,40552,30692,43.08
NG6,16289,13560,45.43
NG7,19162,36496,65.57
NG8,25904,22774,46.78
NG9,33223,25924,43.83
NN1,20421,11314,35.65
NN10,20737,12869,38.29
NN11,21729,13295,37.96
NN12,14067,8091,36.52
NN13,12428,6010,32.6
NN14,24590,15500,38.66
NN15,21555,13417,38.36
NN16,14622,8737,37.4
NN17,17796,9781,35.47
NN18,20015,10348,34.08
NN2,21233,13250,38.42
NN29,5979,4079,40.55
NN3,36465,23560,39.25
NN4,28503,13088,31.47
NN5,22476,13058,36.75
NN6,18092,11527,38.92
NN7,13643,9086,39.98
NN8,27170,17020,38.52
NN9,13580,8701,39.05
NP1,26219,20637,44.04
NP10,4655,1700,26.75
NP11,536,237,30.66
NP12,13866,12132,46.67
NP13,8180,7578,48.09
NP15,5165,4574,46.97
NP16,10830,8019,42.54
NP18,8378,6701,44.44
NP19,25550,18329,41.77
NP2,10370,10426,50.13
NP20,23142,20096,46.48
NP23,13688,12283,47.3
NP25,6473,5822,47.35
NP26,11200,7981,41.61
NP3,182,124,40.52
NP4,20481,17758,46.44
NP44,20697,17115,45.26
NP7,11255,10542,48.36
NP8,1901,1985,51.08
NR1,15879,12407,43.86
NR10,12808,9400,42.33
NR11,8578,8944,51.04
NR12,9084,9915,52.19
NR13,14235,11208,44.05
NR14,13216,9903,42.83
NR15,7994,5954,42.69
NR16,5976,4360,42.18
NR17,8467,5934,41.21
NR18,10080,6730,40.04
NR19,9946,7878,44.2
NR2,14352,10714,42.74
NR20,9311,7900,45.9
NR21,7359,6752,47.85
NR22,238,279,53.97
NR23,1340,1519,53.13
NR24,1920,1763,47.87
NR25,2852,4411,60.73
NR26,2818,4263,60.2
NR27,4211,5852,58.15
NR28,6747,6786,50.14
NR29,8991,9668,51.81
NR3,16656,10745,39.21
NR30,12134,13437,52.55
NR31,21433,20178,48.49
NR32,16364,16794,50.65
NR33,16591,16659,50.1
NR34,9241,8776,48.71
NR35,4534,4227,48.25
NR4,9929,12350,55.43
NR5,13859,12047,46.5
NR6,10984,8106,42.46
NR7,14773,11138,42.99
NR8,10757,6507,37.69
NR9,8191,6313,43.53
NW1,28804,25401,46.86
NW10,47130,36222,43.46
NW11,16387,11102,40.39
NW2,31810,22629,41.57
NW3,27764,15995,36.55
NW4,16783,10755,39.06
NW5,11625,8247,41.5
NW6,33972,19395,36.34
NW7,12864,8150,38.78
NW8,13038,12309,48.56
NW9,35408,23210,39.6
OL1,11883,11531,49.25
OL10,13014,9988,43.42
OL11,20710,20324,49.53
OL12,19923,17644,46.97
OL13,7415,5597,43.01
OL14,7365,5720,43.71
OL15,7326,5284,41.9
OL16,13885,12019,46.4
OL2,18180,14739,44.77
OL3,7426,5627,43.11
OL4,18512,16922,47.76
OL5,5975,3780,38.75
OL6,13492,11672,46.38
OL7,6605,6053,47.82
OL8,15873,17630,52.62
OL9,14468,13944,49.08
OX1,11022,18536,62.71
OX10,15068,8889,37.1
OX11,25647,10815,29.66
OX12,15633,9244,37.16
OX13,9051,4866,34.96
OX14,21952,13176,37.51
OX15,11338,7129,38.6
OX16,27487,14730,34.89
OX17,7584,5012,39.79
OX18,15648,7452,32.26
OX2,18512,13469,42.12
OX20,3576,2077,36.74
OX25,7744,3551,31.44
OX26,20601,8983,30.36
OX27,3763,1699,31.11
OX28,15310,8991,37.0
OX29,12052,7826,39.37
OX3,23792,16525,40.99
OX33,3600,2474,40.73
OX39,4291,2466,36.5
OX4,31841,22681,41.6
OX44,3944,2440,38.22
OX49,2234,1377,38.13
OX5,11969,7403,38.21
OX7,10464,7431,41.53
OX9,7831,4800,38.0
PE1,25614,18799,42.33
PE10,12401,8561,40.84
PE11,23943,15651,39.53
PE12,19085,16647,46.59
PE13,17815,14738,45.27
PE14,10594,8820,45.43
PE15,14177,11879,45.59
PE16,5515,3681,40.03
PE17,32009,20501,39.04
PE18,27802,17820,39.06
PE19,20992,12620,37.55
PE2,26749,15923,37.31
PE20,7480,5793,43.64
PE21,22871,14735,39.18
PE22,6585,6919,51.24
PE23,3498,3902,52.73
PE24,3976,6114,60.59
PE25,8200,10936,57.15
PE27,139,50,26.46
PE28,1338,388,22.48
PE29,888,209,19.05
PE3,14774,11843,44.49
PE30,23263,15798,40.44
PE31,7627,9906,56.5
PE32,6836,6350,48.16
PE33,7312,5362,42.31
PE34,5961,4907,45.15
PE36,1779,3077,63.36
PE37,4464,5279,54.18
PE38,6383,6216,49.34
PE4,14205,9886,41.04
PE5,608,526,46.38
PE6,18606,13345,41.77
PE7,23763,13522,36.27
PE8,8177,6016,42.39
PE9,14813,10779,42.12
PL1,14087,12914,47.83
PL10,1628,1712,51.26
PL11,4471,3941,46.85
PL12,10124,8789,46.47
PL13,4460,5089,53.29
PL14,10831,9659,47.14
PL15,10187,8485,45.44
PL16,414,344,45.38
PL17,4394,4167,48.67
PL18,2319,2094,47.45
PL19,6698,6668,49.89
PL2,15574,10895,41.16
PL20,5606,5810,50.89
PL21,10441,6895,39.77
PL22,1913,1705,47.13
PL23,1378,1490,51.95
PL24,4852,4368,47.38
PL25,12805,11402,47.1
PL26,12875,10833,45.69
PL27,5782,4904,45.89
PL28,1778,1661,48.3
PL29,748,603,44.63
PL3,14539,10319,41.51
PL30,4618,4051,46.73
PL31,6821,5419,44.27
PL32,1746,1590,47.66
PL33,910,743,44.95
PL34,639,674,51.33
PL35,295,341,53.62
PL4,13865,13406,49.16
PL5,19934,16496,45.28
PL6,18775,15015,44.44
PL7,15760,10849,40.77
PL8,2132,2296,51.85
PL9,13051,11010,45.76
PO1,13240,16812,55.94
PO10,9617,8102,45.72
PO11,6896,8423,54.98
PO12,22276,16470,42.51
PO13,16578,12626,43.23
PO14,17642,13526,43.4
PO15,12268,6792,35.63
PO16,15150,11370,42.87
PO17,3944,2902,42.39
PO18,7766,6223,44.48
PO19,14917,13299,47.13
PO2,21395,12421,36.73
PO20,15135,13959,47.98
PO21,20481,18323,47.22
PO22,13022,11436,46.76
PO3,10116,5676,35.94
PO30,14451,13007,47.37
PO31,6651,5357,44.61
PO32,3751,3576,48.81
PO33,12936,13605,51.26
PO34,671,971,59.14
PO35,1093,1893,63.4
PO36,6895,8093,54.0
PO37,3472,4282,55.22
PO38,4505,5643,55.61
PO39,1186,1809,60.4
PO4,21138,14095,40.01
PO40,1718,2485,59.12
PO41,560,922,62.21
PO5,11527,10565,47.82
PO6,20672,13669,39.8
PO7,21586,15331,41.53
PO8,16654,12167,42.22
PO9,23051,17248,42.8
PR0,203,134,39.76
PR1,33792,30120,47.13
PR11,139,96,40.85
PR2,36192,25977,41.78
PR25,17848,11779,39.76
PR26,6284,5311,45.8
PR3,19040,14692,43.56
PR4,30287,21463,41.47
PR5,19404,12755,39.66
PR6,18426,12163,39.76
PR7,29885,19036,38.91
PR8,25406,22558,47.03
PR9,18422,17389,48.56
RG1,29494,17975,37.87
RG10,9996,6391,39.0
RG11,39575,24197,37.94
RG12,45463,21736,32.35
RG13,22082,12059,35.32
RG14,14928,8290,35.71
RG15,8604,5760,40.1
RG16,9807,5965,37.82
RG17,3570,2344,39.63
RG18,571,186,24.57
RG19,916,313,25.47
RG2,23645,13308,36.01
RG21,17659,9050,33.88
RG22,21938,11951,35.27
RG23,6355,4311,40.42
RG24,22030,9802,30.79
RG25,7977,5034,38.69
RG26,11829,7114,37.55
RG27,10844,6395,37.1
RG28,3560,2028,36.29
RG3,39891,22852,36.42
RG30,296,78,20.86
RG31,202,113,35.87
RG4,20851,12968,38.35
RG40,1294,299,18.77
RG41,584,113,16.21
RG42,2109,961,31.3
RG5,13791,8365,37.76
RG6,17636,10138,36.5
RG7,15493,8986,36.71
RG8,7403,5356,41.98
RG9,9964,7604,43.28
RH1,28228,14907,34.56
RH10,40216,23119,36.5
RH11,27586,17092,38.26
RH12,27419,16205,37.15
RH13,19893,12364,38.33
RH14,7968,5064,38.86
RH15,17770,10644,37.46
RH16,20403,12092,37.21
RH17,8371,5237,38.48
RH18,2723,1907,41.19
RH19,17267,10787,38.45
RH2,11862,7210,37.8
RH20,11315,10188,47.38
RH3,2206,1589,41.87
RH4,8798,5732,39.45
RH5,6576,4414,40.16
RH6,17753,9722,35.38
RH7,4374,2945,40.24
RH8,7305,5009,40.68
RH9,2205,1377,38.44
RM1,14784,9241,38.46
RM10,19886,14203,41.66
RM11,17683,11791,40.0
RM12,16918,11722,40.93
RM13,14839,10300,40.97
RM14,12498,9554,43.32
RM15,15344,9017,37.01
RM16,30328,16322,34.99
RM17,14236,7716,35.15
RM18,8768,5428,38.24
RM19,342,100,22.62
RM2,6148,3884,38.72
RM3,21590,14525,40.22
RM4,1759,1313,42.74
RM5,9910,7216,42.13
RM6,16258,11746,41.94
RM7,13330,8576,39.15
RM8,20590,14473,41.28
RM9,15743,11443,42.09
S1,8574,14442,62.75
S10,21373,22881,51.7
S11,17304,13034,42.96
S12,17455,13837,44.22
S13,14510,11414,44.03
S14,3581,4177,53.84
S17,7223,6205,46.21
S18,10976,9703,46.92
S19,13959,10230,42.29
S2,17298,15706,47.59
S20,736,220,23.01
S21,9425,6928,42.37
S25,9859,8098,45.1
S26,12212,8820,41.94
S3,6099,6654,52.18
S30,37844,29494,43.8
S35,934,724,43.67
S36,316,94,22.93
S4,4504,5954,56.93
S40,18630,16006,46.21
S41,15907,12133,43.27
S42,13455,11213,45.46
S43,18667,14423,43.59
S44,9194,7796,45.89
S45,5438,4712,46.42
S5,23114,23153,50.04
S6,26321,18048,40.68
S60,21049,17081,44.8
S61,14891,13078,46.76
S62,10237,8280,44.72
S63,19165,15298,44.39
S64,12000,10849,47.48
S65,12654,13235,51.12
S66,19832,15694,44.18
S7,7265,4906,40.31
S70,20633,15964,43.62
S71,21253,17867,45.67
S72,11885,9708,44.96
S73,12902,9975,43.6
S74,7572,6261,45.26
S75,20558,15092,42.33
S8,19800,14214,41.79
S80,13694,10866,44.24
S81,17834,12290,40.8
S9,9960,10790,52.0
SA1,21340,26447,55.34
SA10,14465,12459,46.27
SA11,14051,14557,50.88
SA12,13580,13595,50.03
SA13,6793,6923,50.47
SA14,17526,14861,45.89
SA15,15260,13783,47.46
SA16,3397,3866,53.23
SA17,3887,3829,49.62
SA18,12705,12521,49.64
SA19,4866,4430,47.65
SA2,14869,16719,52.93
SA20,1220,1176,49.08
SA3,9846,11112,53.02
SA31,8717,7275,45.49
SA32,2540,2105,45.32
SA33,5865,5071,46.37
SA34,2755,2162,43.97
SA35,635,545,46.19
SA37,1168,1045,47.22
SA38,2093,2138,50.53
SA39,1482,1278,46.3
SA4,21232,15999,42.97
SA40,1552,1413,47.66
SA41,869,582,40.11
SA42,1044,1207,53.62
SA43,4582,5096,52.66
SA44,4389,4411,50.12
SA45,454,549,54.74
SA46,1306,1397,51.68
SA47,53,74,58.27
SA48,3507,3258,48.16
SA5,14892,13872,48.23
SA6,14073,12028,46.08
SA61,6927,5877,45.9
SA62,10266,8786,46.12
SA63,378,293,43.67
SA64,867,809,48.27
SA65,1328,1634,55.17
SA66,1666,1390,45.48
SA67,2626,2283,46.51
SA68,2113,2122,50.11
SA69,1465,1868,56.05
SA7,6448,4357,40.32
SA70,3153,3186,50.26
SA71,4415,5041,53.31
SA72,3912,3654,48.3
SA73,8099,7888,49.34
SA8,5592,4618,45.23
SA9,6019,5604,48.21
SE1,46474,27007,36.75
SE10,24909,10301,29.26
SE11,12322,6933,36.01
SE12,15859,9530,37.54
SE13,25900,12506,32.56
SE14,17553,9922,36.11
SE15,35863,19961,35.76
SE16,29858,13998,31.92
SE17,16711,10624,38.87
SE18,43025,27232,38.76
SE19,17042,8686,33.76
SE2,11227,7903,41.31
SE20,13019,6692,33.95
SE21,9967,5569,35.85
SE22,16763,7063,29.64
SE23,20301,9380,31.6
SE24,12344,5496,30.81
SE25,16958,9643,36.25
SE26,14423,8214,36.29
SE27,10412,5748,35.57
SE28,13197,9122,40.87
SE3,17574,10061,36.41
SE4,14310,6620,31.63
SE5,25631,13420,34.37
SE6,24897,16206,39.43
SE7,10230,6062,37.21
SE8,13976,8088,36.66
SE9,29299,20788,41.5
SG1,28984,15724,35.17
SG10,1471,1160,44.09
SG11,4285,2621,37.95
SG12,15256,8983,37.06
SG13,9142,4618,33.56
SG14,10024,5906,37.07
SG15,3545,1539,30.27
SG16,3955,2056,34.2
SG17,7702,3978,34.06
SG18,16569,8577,34.11
SG19,12335,7538,37.93
SG2,21914,12338,36.02
SG3,3086,2026,39.63
SG4,15612,9089,36.8
SG5,16236,9113,35.95
SG6,15860,11348,41.71
SG7,7410,4342,36.95
SG8,20003,12190,37.87
SG9,6057,3872,39.0
SK1,8005,5064,38.75
SK10,21946,15587,41.53
SK11,16719,11636,41.04
SK12,24781,18240,42.4
SK13,16592,11240,40.39
SK14,23636,17173,42.08
SK15,13275,9444,41.57
SK16,8398,6469,43.51
SK17,14185,10229,41.9
SK2,15110,9808,39.36
SK22,132,100,43.1
SK23,106,43,28.86
SK3,14080,8379,37.31
SK4,17675,10910,38.17
SK5,13537,9948,42.36
SK6,22019,18569,45.75
SK7,19354,14807,43.34
SK8,27473,19919,42.03
SK9,18850,13601,41.91
SL0,6742,3780,35.92
SL1,40532,24829,37.99
SL2,25321,16983,40.15
SL3,23325,13731,37.05
SL4,22970,14097,38.03
SL5,10831,7740,41.68
SL6,40501,24160,37.36
SL7,9469,6532,40.82
SL8,3145,2223,41.41
SL9,10519,7612,41.98
SM1,25022,13394,34.87
SM2,14255,10353,42.07
SM3,10175,5909,36.74
SM4,19885,12385,38.38
SM5,20030,11601,36.68
SM6,16965,10530,38.3
SM7,7737,5764,42.69
SN1,21567,10242,32.2
SN10,15739,12077,43.42
SN11,13470,8687,39.21
SN12,14011,9524,40.47
SN13,9077,6144,40.37
SN14,15068,8989,37.37
SN15,17415,10047,36.59
SN16,7018,4833,40.78
SN17,164,89,35.18
SN2,34675,21333,38.09
SN25,12275,3445,21.91
SN3,25713,18679,42.08
SN38,478,273,36.35
SN4,13177,9658,42.29
SN5,17231,9858,36.39
SN6,10413,7246,41.03
SN7,7152,4179,36.88
SN8,11539,8943,43.66
SN9,3619,2751,43.19
SO1,59372,39768,40.11
SO14,6568,6284,48.9
SO15,477,230,32.53
SO16,5898,6715,53.24
SO17,6545,7151,52.21
SO18,19870,12972,39.5
SO19,27491,17891,39.42
SO20,4633,3324,41.77
SO21,12064,7970,39.78
SO22,14668,12737,46.48
SO23,9384,6857,42.22
SO24,4401,3614,45.09
SO3,46239,30363,39.64
SO30,2003,499,19.94
SO31,937,309,24.8
SO32,832,130,13.51
SO4,52025,44241,45.96
SO40,414,153,26.98
SO41,361,275,43.24
SO45,31,94,75.2
SO5,54094,35938,39.92
SO50,1061,366,25.65
SO51,1537,727,32.11
SO53,1828,685,27.26
SP1,11512,8285,41.85
SP10,21912,12758,36.8
SP11,17143,8304,32.63
SP2,15656,9861,38.64
SP3,5891,4572,43.7
SP4,19987,9613,32.48
SP5,10227,7971,43.8
SP6,6172,5023,44.87
SP7,6821,5502,44.65
SP8,6405,5219,44.9
SP9,6096,2044,25.11
SR1,3766,5204,58.02
SR2,14055,12877,47.81
SR3,15446,14664,48.7
SR4,15762,15574,49.7
SR5,13799,13698,49.82
SR6,12178,11054,47.58
SR7,12724,11971,48.48
SR8,13232,14632,52.51
SS0,22893,16034,41.19
SS1,13228,11600,46.72
SS11,9212,6804,42.48
SS12,9542,5826,37.91
SS13,10591,8200,43.64
SS14,13012,8491,39.49
SS15,16267,10424,39.05
SS16,14902,9291,38.4
SS17,15626,10987,41.28
SS2,16464,12213,42.59
SS22,114,143,55.64
SS3,12571,9770,43.73
SS4,10514,7315,41.03
SS5,10203,8336,44.96
SS6,16050,11547,41.84
SS7,23421,17877,43.29
SS8,16747,14985,47.22
SS9,22425,16588,42.52
ST1,15714,12762,44.82
ST10,12677,9729,43.42
ST11,4820,3949,45.03
ST12,2678,2241,45.56
ST13,12787,9890,43.61
ST14,10803,7642,41.43
ST15,11649,8284,41.56
ST16,18208,11511,38.73
ST17,17511,13307,43.18
ST18,7862,6209,44.13
ST19,7511,6048,44.61
ST2,15390,13858,47.38
ST20,3822,2893,43.08
ST21,2447,1809,42.5
ST3,29369,24713,45.7
ST4,26354,20383,43.61
ST5,36859,31074,45.74
ST6,28110,23950,46.0
ST7,25357,19828,43.88
ST8,8386,6858,44.99
ST9,4246,3687,46.48
SW10,9269,6873,42.58
SW11,50676,20745,29.05
SW12,23128,7400,24.24
SW13,8600,5635,39.59
SW14,8628,4580,34.68
SW15,34981,19039,35.24
SW16,44255,23401,34.59
SW17,36872,16309,30.67
SW18,38952,14594,27.26
SW19,42572,20365,32.36
SW1A,1132,866,43.34
SW1E,1485,735,33.11
SW1H,453,413,47.69
SW1P,6277,4567,42.12
SW1V,10697,7487,41.17
SW1W,3364,2839,45.77
SW1X,2999,2113,41.33
SW1Y,194,77,28.41
SW2,32278,14280,30.67
SW20,13940,7247,34.2
SW3,8984,6978,43.72
SW4,25835,9539,26.97
SW5,7705,5668,42.38
SW6,37445,19693,34.47
SW7,5975,5211,46.59
SW8,19763,10006,33.61
SW9,23642,11520,32.76
SY1,14878,9942,40.06
SY10,10133,8230,44.82
SY11,11526,8580,42.67
SY12,3812,3338,46.69
SY13,10253,8000,43.83
SY14,2602,1884,42.0
SY15,3905,2818,41.92
SY16,7460,5702,43.32
SY17,1777,1368,43.5
SY18,1912,1599,45.54
SY19,394,402,50.5
SY2,8978,7038,43.94
SY20,3292,2414,42.31
SY21,8173,6341,43.69
SY22,2854,2095,42.33
SY23,11907,13071,52.33
SY24,2012,1666,45.3
SY25,1379,1293,48.39
SY3,16878,12939,43.39
SY4,11966,8831,42.46
SY5,10227,7389,41.94
SY6,3510,3984,53.16
SY7,4396,3948,47.32
SY8,7712,7446,49.12
SY9,842,859,50.5
TA1,21308,15515,42.13
TA10,4979,4348,46.62
TA11,3918,3614,47.98
TA12,2823,2347,45.4
TA13,1901,1995,51.21
TA14,1517,1335,46.81
TA15,211,191,47.51
TA16,931,819,46.8
TA17,312,326,51.1
TA18,4224,3682,46.57
TA19,5713,4977,46.56
TA2,15495,9193,37.24
TA20,9509,8100,46.0
TA21,10385,7813,42.93
TA22,1036,1106,51.63
TA23,2913,3185,52.23
TA24,6780,8064,54.32
TA3,5797,5034,46.48
TA4,8047,6837,45.94
TA5,6029,4478,42.62
TA6,26459,16370,38.22
TA7,6827,5624,45.17
TA8,7092,7687,52.01
TA9,5406,4761,46.83
TD12,572,610,51.61
TD15,6865,6576,48.92
TF1,22242,16085,41.97
TF10,10363,9109,46.78
TF11,7505,4092,35.28
TF12,2685,2290,46.03
TF13,1526,1604,51.25
TF2,18233,12850,41.34
TF3,13301,9012,40.39
TF4,9599,5707,37.29
TF5,2557,1576,38.13
TF6,1691,1417,45.59
TF7,7895,7563,48.93
TF8,309,218,41.37
