outcode,in_employment,unemployed,unemployment_pct
CA25,2555,2047,44.48
CA26,1389,1208,46.52
CA27,710,525,42.51
CA28,12605,9992,44.22
CA3,7137,5300,42.61
CA4,5423,4474,45.21
CA5,9233,7584,45.1
CA6,5645,4161,42.43
CA7,3809,2924,43.43
CA8,2306,2152,48.27
CA9,960,797,45.36
CB1,39977,27894,41.1
CB10,9249,5651,37.93
CB11,8325,5485,39.72
CB2,23429,19149,44.97
CB23,19594,9849,33.45
CB24,18669,10500,36.0
CB25,9925,6090,38.03
CB3,6908,8012,53.7
CB4,22901,13393,36.9
CB5,5316,3322,38.46
CB6,21262,12700,37.39
CB7,13907,7727,35.72
CB8,18070,11293,38.46
CB9,16668,9683,36.75
CF1,25428,24128,48.69
CF10,2291,807,26.05
CF11,4202,1772,29.66
CF14,36501,29716,44.88
CF15,9166,6494,41.47
CF2,34230,33967,49.81
CF23,7449,5023,40.27
CF24,1648,1204,42.22
CF3,19495,15189,43.79
CF31,22000,16623,43.04
CF32,14445,12206,45.8
CF33,7157,5904,45.2
CF34,8018,8235,50.67
CF35,9347,7374,44.1
CF36,6192,7350,54.28
CF37,17433,15910,47.72
CF38,10704,7355,40.73
CF39,13385,11313,45.81
CF4,277,139,33.41
CF40,7931,7469,48.5
CF41,4664,4269,47.79
CF42,5165,5316,50.72
CF43,4347,4920,53.09
CF44,17326,16670,49.04
CF45,7796,7563,49.24
CF46,6685,5919,46.96
CF47,9909,8675,46.68
CF48,11287,9715,46.26
CF5,28023,23227,45.32
CF6,45859,37556,45.02
CF61,641,512,44.41
CF62,2688,1044,27.97
CF63,873,373,29.94
CF64,477,284,37.32
CF7,14345,11080,43.58
CF72,1856,606,24.61
CF8,33011,28397,46.24
CF82,561,159,22.08
CF83,6340,4816,43.17
CH1,19617,16266,45.33
CH2,15470,10844,41.21
CH25,166,144,46.45
CH26,158,115,42.12
CH27,278,212,43.27
CH28,277,293,51.4
CH29,101,256,71.71
CH3,17324,12450,41.82
CH30,259,58,18.3
CH31,124,165,57.09
CH32,176,112,38.89
CH33,153,94,38.06
CH34,483,256,34.64
CH4,17029,11852,41.04
CH41,9284,9506,50.59
CH42,13894,12267,46.89
CH43,15033,12962,46.3
CH44,12276,11554,48.49
CH45,13210,10947,45.32
CH46,10354,9157,46.93
CH47,4782,4166,46.56
CH48,6623,6163,48.2
CH49,13090,11357,46.46
CH5,20593,13916,40.33
CH6,8899,6448,42.01
CH60,5783,5860,50.33
CH61,6673,6173,48.05
CH62,14649,10774,42.38
CH63,12590,10682,45.9
CH64,7551,7857,50.99
CH65,14067,10050,41.67
CH66,15867,11522,42.07
CH7,24150,18634,43.55
CH8,8516,7283,46.1
CM0,8333,6593,44.17
CM1,37689,23430,38.34
CM11,10863,7525,40.92
CM12,9065,6440,41.53
CM13,13705,9246,40.29
CM14,11366,6090,34.89
CM15,10797,8050,42.71
CM16,12096,8730,41.92
CM17,14060,6923,32.99
CM18,12829,8204,39.01
CM19,10450,6995,40.1
CM2,29563,18413,38.38
CM20,12840,7679,37.42
CM21,5276,3313,38.57
CM22,9982,5753,36.56
CM23,22320,12015,34.99
CM24,3888,2124,35.33
CM3,27291,19061,41.12
CM4,4077,3444,45.79
CM5,4711,3583,43.2
CM6,13665,8366,37.97
CM7,33078,20843,38.65
CM8,17613,11230,38.93
CM9,16292,12188,42.79
CO1,11760,7377,38.55
CO10,23948,20138,45.68
CO11,6742,4942,42.3
CO12,9961,9465,48.72
CO13,4805,7212,60.01
CO14,2067,3543,63.16
CO15,16165,23491,59.24
CO16,9635,10770,52.78
CO2,19156,12549,39.58
CO3,15473,10412,40.22
CO4,24898,17116,40.74
CO5,13295,11111,45.53
CO6,12940,9867,43.26
CO7,15765,12883,44.97
CO8,642,517,44.61
CO9,12904,8856,40.7
CR0,85966,55219,39.11
CR2,40574,26318,39.34
CR3,35200,21722,38.16
CR4,54304,35472,39.51
CR5,789,338,29.99
CR6,141,105,42.68
CR7,1559,1052,40.29
CR8,567,370,39.49
CR9,156,147,48.51
CT1,13809,14179,50.66
CT10,11626,11703,50.17
CT11,13267,11117,45.59
CT12,7889,7253,47.9
CT13,4263,4304,50.24
CT14,15009,15036,50.04
CT15,6953,6173,47.03
CT16,10075,8693,46.32
CT17,8167,6210,43.19
CT18,7911,6525,45.2
CT19,13598,10434,43.42
CT2,13503,16989,55.72
CT20,9885,8375,45.87
CT21,6729,7455,52.56
CT3,8919,6504,42.17
CT4,6359,5098,44.5
CT5,14483,13761,48.72
CT6,17232,15966,48.09
CT7,4824,6245,56.42
CT8,3649,3416,48.35
CT9,17916,16468,47.89
CV1,13838,21108,60.4
CV10,28426,18828,39.84
CV11,19552,13962,41.66
CV12,14828,12631,46.0
CV13,5280,4029,43.28
CV2,31558,23479,42.66
CV21,23791,12309,34.1
CV22,17644,11924,40.33
CV23,17423,10978,38.65
CV3,32276,25978,44.59
CV31,18418,12553,40.53
CV32,15940,11204,41.28
CV33,11036,6067,35.47
CV34,18033,10364,36.5
CV35,13149,8777,40.03
CV36,5698,4436,43.77
CV37,20790,14861,41.68
CV4,14394,15506,51.86
CV5,22116,16544,42.79
CV6,40712,29165,41.74
CV7,10465,7906,43.04
CV8,13645,10534,43.57
CV9,9744,7222,42.57
CW1,23480,15272,39.41
CW10,8890,5652,38.87
CW11,13877,8943,39.19
CW12,16734,11994,41.75
CW2,21611,13894,39.13
CW3,5289,4408,45.46
CW4,4506,3966,46.81
CW5,15027,11493,43.34
CW6,6249,5036,44.63
CW7,16338,11281,40.85
CW8,19524,13534,40.94
CW9,16997,11315,39.97
DA1,34459,18401,34.81
DA10,6086,2626,30.14
DA11,20330,13236,39.43
DA12,22067,15642,41.48
DA13,7045,5358,43.2
DA14,12027,9300,43.61
DA15,14793,9322,38.66
DA16,19433,11978,38.13
DA17,10869,6757,38.34
DA18,2610,1985,43.2
DA2,11734,7513,39.03
DA3,8000,6696,45.56
DA4,4054,2682,39.82
DA5,9979,6697,40.16
DA6,5457,3508,39.13
DA7,16050,11221,41.15
DA8,15754,10436,39.85
DA9,7793,2953,27.48
DE1,12177,11155,47.81
DE11,23918,14909,38.4
DE12,11011,7484,40.46
DE13,22385,16127,41.88
DE14,15681,9725,38.28
DE15,10917,8377,43.42
DE2,49305,37792,43.39
DE21,1268,629,33.16
DE22,22381,16374,42.25
DE23,25636,22516,46.76
DE24,2992,1004,25.13
DE3,8668,6480,42.78
DE4,20693,18324,46.96
DE5,37333,28180,43.01
DE55,15343,10842,41.41
DE56,2841,2034,41.72
DE6,20911,15475,42.53
DE65,3161,904,22.24
DE7,56713,41533,42.27
DE72,179,87,32.71
DE73,2390,847,26.17
DE74,403,80,16.56
DE75,195,67,25.57
DH1,20742,30132,59.23
DH2,15135,12523,45.28
DH3,11482,9917,46.34
DH4,16238,12744,43.97
DH5,8422,8094,49.01
DH6,15729,12862,44.99
DH7,18383,15774,46.18
DH8,18687,14316,43.38
DH9,15863,14703,48.1
DH98,102,141,58.02
DL1,23706,19409,45.02
DL10,10250,8103,44.15
DL11,1971,1543,43.91
DL12,5640,5594,49.8
DL13,6243,5896,48.57
DL14,16648,15426,48.1
DL15,9241,8828,48.86
DL16,9698,7842,44.71
DL17,7611,7424,49.38
DL2,9006,6358,41.38
DL3,17717,14137,44.38
DL4,3733,3857,50.82
DL5,11810,10597,47.29
DL6,9248,7049,43.25
DL7,6599,4536,40.74
DL8,8467,6898,44.89
DL9,7706,3277,29.84
DN1,5901,5100,46.36
DN10,6950,5545,44.38
