outcode,Avg asking rent(p/m),Avg asking rent(1 bed),Avg asking rent(2 beds),Avg asking rent(3 beds),Avg asking rent(4 beds),Avg asking rent(5 beds),avg_gross_yield
BD15,925.0,-,744,1017,-,1100,3.89
BD16,957.0,838,998,1150,-,-,3.91
BD17,900.0,708,942,1200,-,-,3.22
BD18,754.0,603,762,898,1225,2000,3.29
BD19,1049.0,-,656,966,1650,-,4.04
BD2,829.0,602,733,1188,900,-,4.59
BD20,811.0,541,868,1046,-,1495,2.85
BD21,636.0,505,667,774,860,-,3.97
BD22,788.0,588,721,926,923,-,2.91
BD23,1535.0,744,897,1425,2137,3468,4.02
BD24,725.0,-,725,-,-,-,2.26
BD3,956.0,605,1076,1311,1000,-,9.25
BD4,933.0,525,637,852,-,-,4.85
BD5,619.0,588,688,900,1200,-,3.05
BD6,831.0,450,750,1019,-,-,5.19
BD7,679.0,547,855,1075,1084,-,4.33
BD8,769.0,636,768,-,1250,-,5.31
BD9,801.0,655,863,964,1013,1500,3.6
BH1,1280.0,992,1364,1805,1900,2500,4.87
BH10,1475.0,898,1250,1723,2000,-,4.95
BH11,1343.0,875,1217,1548,-,2250,4.35
BH12,1453.0,688,1216,1617,2125,2750,4.83
BH13,2503.0,925,1758,2673,5317,2995,2.45
BH14,1926.0,875,1937,2325,2956,3320,2.54
BH15,1386.0,911,1382,1742,2625,-,4.46
BH16,1475.0,938,1300,1200,3000,-,3.34
BH17,1279.0,910,1244,1487,1800,-,4.35
BH18,2675.0,-,1400,-,2500,3250,5.13
BH19,980.0,900,1020,1030,-,-,2.34
BH2,1410.0,943,1482,1791,2800,4000,5.54
BH20,1600.0,-,1110,1579,2933,2750,3.04
BH21,1839.0,1591,1372,1710,2389,3500,3.57
BH22,1504.0,798,1375,1617,2300,2000,3.87
BH23,1590.0,937,1340,1833,2233,-,3.53
BH24,1960.0,958,1217,1350,3000,4000,3.54
BH25,1614.0,850,1175,1548,-,4250,4.12
BH3,1529.0,863,1338,1583,-,2900,2.9
BH31,1525.0,-,1100,-,2300,3000,3.91
BH4,1301.0,925,1339,1750,2350,-,3.35
