outcode,Avg asking rent(p/m),Avg asking rent(1 bed),Avg asking rent(2 beds),Avg asking rent(3 beds),Avg asking rent(4 beds),Avg asking rent(5 beds),avg_gross_yield
DN21,664.0,534,583,800,931,-,3.06
DN22,810.0,663,737,917,1550,1068,2.58
DN3,976.0,575,781,1064,1433,-,4.74
DN31,604.0,420,575,650,-,-,6.76
DN32,603.0,473,659,648,1023,491,4.9
DN33,1040.0,725,942,780,950,-,5.86
DN34,1007.0,495,750,1022,1333,-,6.97
DN35,836.0,659,913,825,2283,860,5.23
DN36,1180.0,1050,740,911,1625,2500,5.11
DN37,1090.0,798,1600,1081,1300,-,4.31
DN38,,-,-,-,-,-,
DN39,1324.0,-,-,1073,1500,1650,5.45
DN4,689.0,534,777,922,1338,477,3.09
DN40,759.0,895,667,783,-,-,4.61
DN41,1004.0,-,650,1069,1100,-,4.11
DN5,687.0,507,706,865,1400,362,2.95
DN6,635.0,432,665,767,1800,-,2.8
DN7,754.0,424,679,833,1295,-,3.24
DN8,668.0,544,681,794,700,-,3.12
DN9,876.0,-,801,900,-,1350,2.89
DT1,1383.0,1135,1332,1530,1850,2250,4.98
DT10,1079.0,-,1000,1232,-,-,2.41
DT11,1683.0,875,1217,1691,1875,-,4.28
DT2,1579.0,770,1025,1558,2325,2750,2.83
DT3,1317.0,675,1150,1400,2000,-,3.35
DT4,1121.0,723,1060,1449,1400,-,4.0
DT5,916.0,713,1190,1130,-,-,3.75
DT6,1556.0,907,2222,1424,1925,-,3.83
DT7,1757.0,844,1033,7583,-,-,3.88
DT8,1447.0,-,995,-,1673,-,3.43
DT9,1110.0,733,937,1180,2000,1800,2.63
DY1,855.0,695,899,1074,1475,-,4.27
DY10,1098.0,739,772,1156,1295,-,3.58
DY11,863.0,648,802,1081,1450,-,2.95
DY12,1302.0,750,857,1298,2500,2000,3.61
DY13,834.0,678,865,950,1695,-,2.83
DY14,1143.0,695,-,1000,1510,-,2.89
DY2,920.0,660,808,1112,1500,2000,5.06
DY3,918.0,715,814,1159,-,-,3.46
DY4,1062.0,723,885,1152,1392,1962,5.62
DY5,1098.0,704,1502,1064,-,550,5.75
DY6,1035.0,658,1005,1130,1400,-,3.89
DY7,1200.0,1200,-,-,-,-,2.52
DY8,1156.0,775,874,1636,1250,-,4.24
DY9,1266.0,573,916,1388,2370,-,2.78
E1,3332.0,2765,3680,4724,4033,4192,5.39
E10,2051.0,1459,1884,2933,3176,3720,5.08
E11,2250.0,1613,1953,2509,4154,4038,4.2
E12,2109.0,1431,1933,2547,3051,4500,5.09
E13,2164.0,1864,2060,2804,2785,3450,6.49
E14,3085.0,2482,3569,4251,4557,4762,5.53
E15,2420.0,2007,2408,3483,3546,3788,5.89
E16,2418.0,2019,2464,3341,3791,4210,6.11
E17,2220.0,1634,2268,2632,3681,2850,4.88
E18,2359.0,1617,2182,2400,-,7651,5.67
E2,2802.0,2354,2977,3824,3928,5413,5.33
E3,2479.0,2010,2675,3243,3434,4250,6.59
E4,2013.0,1428,1779,2399,2883,3700,4.27
E5,2625.0,2104,2705,2916,4128,6380,4.73
E6,2166.0,1501,1985,2797,2721,4450,6.62
E7,2111.0,1382,1863,2575,2985,5750,5.4
E8,2972.0,2604,3144,4263,7950,6370,5.12
E9,2975.0,2280,2765,3373,4775,11433,5.71
EC1,3705.0,2976,4114,5108,4742,4403,4.64
EC2,4082.0,3421,4644,7922,15603,-,2.07
EC3,5500.0,3403,5819,8848,22315,-,4.38
EC4,4848.0,4552,5172,8085,10133,-,4.23
EN1,2045.0,1425,1827,2394,2916,3000,5.04
EN10,1640.0,1167,1381,1807,3225,-,2.96
EN11,1522.0,998,1481,1775,2213,3500,3.98
EN2,2233.0,1510,2067,2511,3867,4000,4.56
EN3,1983.0,1381,1740,2264,2760,3933,6.4
EN4,3816.0,1591,2572,4306,3578,5863,4.47
EN5,2548.0,1376,2142,2829,3143,5107,3.37
EN6,3088.0,1348,1798,2143,3365,9249,4.5
EN7,3541.0,1400,1661,2200,2717,5850,6.15
EN8,1546.0,1210,1538,2054,1448,-,4.74
EN9,2709.0,1192,1625,2275,2659,3975,5.69
EX1,1637.0,792,1650,1566,1991,2851,5.36
EX10,1418.0,750,1050,1470,2250,2000,3.31
EX11,1003.0,1835,-,-,-,-,1.97
EX12,914.0,811,842,1098,1300,-,2.58
EX13,960.0,598,863,1267,-,-,2.6
EX14,1018.0,650,931,1133,1700,-,2.9
EX15,1061.0,685,848,1211,1250,2800,2.82
EX16,1135.0,738,964,1127,1869,-,3.06
EX17,891.0,661,817,1038,1325,-,1.99
EX18,1225.0,-,-,1225,-,-,2.96
EX19,1100.0,-,600,1225,-,-,3.28
EX2,1523.0,775,1341,1834,2162,563,4.9
EX20,990.0,612,871,1215,-,1900,2.75
EX21,1156.0,-,925,598,1550,-,3.1
EX22,927.0,-,863,979,-,-,2.53
EX23,1164.0,-,950,1180,1300,-,3.62
EX24,1643.0,630,-,-,1800,2500,2.94
EX3,2198.0,3393,1200,1900,3000,-,3.45
EX31,917.0,615,842,1133,-,1995,2.36
EX32,900.0,652,900,1065,-,2700,2.79
EX33,1234.0,-,973,-,1625,-,2.7
EX34,844.0,541,833,1119,1117,-,2.82
EX35,,-,-,-,-,-,
EX36,1017.0,-,800,1138,-,-,3.07
EX37,1167.0,800,-,1350,-,-,2.25
EX38,886.0,-,-,947,1850,-,3.27
EX39,1085.0,738,772,1283,2083,1500,3.35
EX4,1555.0,758,1407,1975,2403,2434,5.36
EX5,1270.0,825,998,1640,1323,-,3.09
EX6,1303.0,750,913,1400,1963,-,3.37
EX7,1290.0,733,900,1700,2700,-,4.61
EX8,1388.0,991,1182,1607,2171,-,4.25
EX9,1550.0,-,1470,1600,1700,-,3.57
FY1,650.0,530,682,752,675,2147,6.34
FY2,620.0,485,713,878,-,-,3.87
FY3,794.0,600,686,899,-,2650,4.98
FY4,624.0,504,707,862,1100,-,3.53
FY5,896.0,843,763,829,950,-,4.73
FY6,1103.0,1628,995,931,1500,-,4.57
FY7,637.0,463,619,786,1325,-,4.11
FY8,986.0,640,1041,1238,1591,1950,3.18
GL1,1301.0,771,1153,2250,1676,2740,6.68
GL10,1399.0,650,-,1565,1815,-,4.01
GL11,1906.0,750,1350,-,1925,5250,5.29
GL12,1529.0,1500,1423,1549,1695,-,3.37
GL13,2982.0,-,1250,2595,-,7000,7.35
GL14,826.0,723,1023,995,-,-,3.08
GL15,1508.0,-,844,1509,1861,2750,4.7
GL16,900.0,575,775,981,-,2200,2.78
GL17,1200.0,-,-,1400,-,-,3.72
GL18,960.0,659,873,1350,-,-,2.63
GL19,1300.0,1300,-,1300,-,-,1.93
GL2,1445.0,975,1668,1537,1882,-,4.27
GL20,1795.0,610,1063,1133,2600,2950,5.7
GL3,1285.0,838,1010,1342,1890,-,4.3
GL4,1431.0,767,998,1572,1900,-,4.18
GL5,1157.0,750,892,1300,1849,-,2.87
GL50,1387.0,933,1618,2232,2483,563,3.49
GL51,1382.0,1060,1292,1487,1649,2900,4.09
GL52,1807.0,1021,1272,1949,2560,-,3.91
GL53,1318.0,838,1388,2495,2750,-,2.22
GL54,3113.0,1665,2059,3185,4473,6500,4.81
GL55,1749.0,-,1748,1650,1850,-,2.82
GL56,3124.0,1000,1278,1483,9648,2625,5.2
GL6,2691.0,-,1331,1881,1950,5749,3.92
GL7,2249.0,899,1414,2419,3233,2300,3.78
GL8,2231.0,-,1891,2285,-,4950,4.05
GU1,1938.0,1422,2066,2354,3153,4663,4.65
GU10,3500.0,-,1361,2871,4383,5064,3.78
GU11,1383.0,865,1286,1925,2367,-,5.2
GU12,2021.0,974,1423,2083,3625,3250,5.79
GU14,1617.0,1447,1657,1769,2375,-,5.21
GU15,1747.0,1124,1393,1710,2672,2867,4.02
GU16,2412.0,1400,1415,1830,4000,3300,5.46
GU17,1870.0,600,1350,-,3250,-,4.15
GU18,3300.0,1300,1600,3500,2000,7500,6.23
GU19,1809.0,1164,2025,1595,2900,5500,4.53
GU2,2108.0,1248,1747,2275,3027,3650,4.95
GU20,2792.0,-,2000,1800,3000,5950,2.17
GU21,2046.0,1235,1904,2334,2831,4187,4.89
GU22,2360.0,1345,1893,2233,3222,4858,4.1
GU23,3758.0,1150,-,2650,5990,4500,4.44
GU24,3792.0,1635,1610,2058,4533,4750,5.24
GU25,5528.0,1200,2483,2993,5572,6986,2.66
GU26,2450.0,1050,1550,3250,3250,3250,4.44
GU27,1586.0,1063,1492,1713,2750,3500,2.28
GU28,1900.0,1250,1750,2750,1850,-,2.71
GU29,2926.0,625,1426,1530,3625,3950,5.54
GU3,2497.0,1350,1592,2200,4300,-,3.67
GU30,2657.0,-,1750,2925,2575,-,3.77
GU31,2531.0,900,1600,1998,2313,2723,4.18
GU32,1579.0,1365,1412,2400,-,-,2.35
GU33,2267.0,873,1465,2367,3350,5000,3.49
GU34,1674.0,1027,1333,1558,2995,3470,3.29
GU35,2844.0,1050,1175,1750,2590,4850,6.61
GU4,2600.0,1465,1918,2016,4725,4908,3.96
GU46,2260.0,1200,1800,1660,-,8300,4.9
GU47,1681.0,973,-,1850,1950,-,3.71
GU5,3545.0,1582,1700,2921,4400,5370,4.49
GU51,1817.0,1036,1495,1982,2883,4250,4.49
GU52,1313.0,1167,1450,1995,2800,-,2.7
GU6,2074.0,1271,1859,2250,3065,-,3.34
GU7,2852.0,1323,1525,2025,3118,-,5.56
GU8,6677.0,-,1974,1998,4250,17483,7.3
GU9,2376.0,1037,1606,2020,3080,9995,4.74
HA0,2048.0,1651,2243,2904,3156,3950,4.72
HA1,2037.0,1587,1974,2617,3503,4731,5.08
HA2,1947.0,1302,1756,2285,2827,3192,4.9
HA3,2087.0,1300,1754,2433,3438,4606,4.41
HA4,1988.0,1309,1894,2193,3416,3525,4.11
HA5,2151.0,1580,1946,2568,2671,3439,3.49
HA6,2445.0,1445,1931,2630,3608,5900,2.43
HA7,3010.0,1651,2010,2894,3790,4478,4.06
HA8,2205.0,1401,1892,2674,3344,4084,4.64
HA9,2187.0,1903,2482,3205,3873,4333,4.87
HD1,760.0,630,849,900,954,973,4.67
HD2,950.0,841,943,1141,1750,-,3.25
HD3,773.0,585,750,1259,1348,-,3.33
HD4,967.0,513,1357,905,761,924,3.54
HD5,817.0,937,752,914,941,-,3.74
HD6,1057.0,945,1067,1074,1600,-,4.29
HD7,774.0,600,746,843,-,-,2.86
HD8,1099.0,673,744,1250,1865,-,3.28
HD9,1235.0,-,1265,1219,-,1995,3.31
HG1,1530.0,1374,1412,1648,2214,4480,4.57
HG2,1395.0,1217,1438,1324,1799,-,2.91
HG3,1494.0,1125,1312,1355,2891,-,2.65
HG4,1321.0,659,1676,1279,1698,1950,4.48
HG5,2057.0,773,919,1460,2538,5167,4.95
HP1,1676.0,1532,1475,2019,2430,-,4.52
HP10,2634.0,2030,2145,1917,2650,3500,4.03
HP11,1809.0,1183,1532,1759,3047,3500,3.76
HP12,1713.0,1144,1494,1746,2479,-,4.88
HP13,1350.0,1068,1344,1868,1769,1866,3.92
HP14,2993.0,1017,1395,1963,2517,-,4.36
HP15,1805.0,967,1500,1517,2492,2200,3.33
HP16,2010.0,1013,2283,1999,2618,3500,2.6
HP17,2111.0,950,-,2331,2250,-,2.99
HP18,2099.0,1035,1388,1617,2367,3600,4.29
HP19,1449.0,1516,1312,1640,2000,-,5.77
HP2,1741.0,1016,1411,2015,2441,-,5.23
HP20,1446.0,1197,1473,1760,-,-,5.52
HP21,1708.0,984,1384,2160,2520,-,5.83
HP22,2075.0,995,1398,1705,2364,3900,3.62
HP23,3216.0,800,1429,2375,5650,7497,5.07
HP27,2580.0,-,-,1967,2500,-,4.1
HP3,1642.0,1149,1527,2053,2833,-,3.21
HP4,2156.0,1320,1761,2298,3130,4000,3.26
HP5,1631.0,1155,1515,1967,3600,3350,2.94
HP6,1986.0,1250,1675,2198,2550,3450,2.73
HP7,2330.0,1158,2911,2475,-,-,3.27
HP8,3589.0,1200,1600,-,3450,-,3.28
HP9,7123.0,995,1828,3390,3785,7190,5.14
HR1,1228.0,684,1053,1299,2033,3500,3.49
HR2,1243.0,583,1145,1124,1388,2033,2.75
HR3,1100.0,-,-,1000,1200,-,2.23
HR4,970.0,705,867,1273,1721,-,3.16
HR5,1133.0,500,775,-,1583,-,3.18
HR6,1105.0,730,658,1081,1600,-,2.45
HR7,750.0,-,750,-,-,-,2.53
HR8,939.0,723,-,925,1175,-,2.48
HR9,1222.0,618,979,1361,3500,2350,2.78
HU1,834.0,687,1060,1533,-,-,6.88
HU10,1008.0,513,886,1386,-,-,3.65
HU11,824.0,-,781,880,-,-,3.55
HU12,984.0,-,768,850,1000,-,4.63
HU13,888.0,943,660,1081,1500,-,4.06
HU14,1456.0,725,1257,695,-,2500,3.53
HU15,913.0,600,765,1051,1100,1300,2.99
HU16,1269.0,1401,1431,944,1750,-,5.34
HU17,902.0,667,739,961,1429,-,3.21
HU18,717.0,-,717,-,-,-,3.5
HU19,653.0,425,573,650,750,950,3.88
HU2,692.0,675,713,-,-,-,6.24
HU3,560.0,534,576,733,910,1300,5.18
HU4,724.0,450,628,1100,1100,-,4.86
HU5,720.0,557,681,823,974,1029,4.51
HU6,721.0,647,809,835,1367,-,3.98
HU7,700.0,595,667,785,-,-,4.41
HU8,686.0,521,635,771,1350,-,4.75
HU9,734.0,494,645,1228,-,-,6.54
HX1,679.0,570,765,925,1200,-,5.28
HX2,856.0,519,804,975,1525,-,3.7
HX3,998.0,425,742,1158,1700,1900,3.68
HX4,861.0,721,999,1000,-,-,2.65
HX5,820.0,-,757,1200,-,-,4.25
HX6,787.0,525,754,1225,-,-,2.77
HX7,1426.0,-,975,1025,-,-,4.74
IG1,1699.0,1474,1857,2303,3042,2287,3.94
IG10,2363.0,1494,1963,2400,3772,5750,3.24
IG11,1784.0,1460,1953,2358,4042,3110,6.58
IG2,1820.0,1340,1761,2306,2790,3500,5.31
IG3,1819.0,1362,1794,2374,2891,4200,4.29
IG4,1781.0,1505,1729,2500,2700,3300,3.38
IG5,2258.0,983,1817,2377,2650,7625,4.54
IG6,1840.0,1219,1761,2341,2767,3430,4.06
IG7,3869.0,1800,2371,2658,3171,4229,4.43
IG8,2231.0,1254,1870,2473,3150,4000,3.78
IG9,2273.0,1650,1832,2433,3749,3750,4.34
IP1,1403.0,941,978,1694,3367,1513,5.93
IP10,3675.0,-,-,1350,6000,-,9.2
IP11,1179.0,871,959,1300,2878,-,4.52
IP12,1453.0,842,1165,1404,2775,-,3.26
IP13,1728.0,825,1136,1555,2265,2750,3.64
IP14,1225.0,759,1109,1517,1498,-,3.88
IP15,2467.0,-,1235,1200,4333,-,4.14
IP16,1083.0,-,-,875,-,1700,3.88
IP17,1233.0,873,1012,1289,1788,1900,3.5
IP18,1807.0,850,1500,2060,-,-,3.24
IP19,1327.0,848,1008,950,1585,-,1.8
IP2,1149.0,832,1164,1779,1350,-,5.82
IP20,1594.0,700,725,1208,2000,3348,5.89
IP21,1492.0,-,1100,1500,-,1850,4.0
IP22,1306.0,667,700,1206,1750,-,3.55
IP23,1513.0,-,1425,1600,-,-,4.25
IP24,1300.0,858,1050,1168,1557,1913,5.2
IP25,1228.0,710,-,1129,1517,-,4.03
IP26,1318.0,-,1069,1329,2250,-,3.23
IP27,1369.0,1125,1180,1357,1672,-,5.58
IP28,1352.0,976,1205,1320,1571,2450,4.28
IP29,1983.0,-,1200,2083,2225,-,3.04
IP3,1464.0,685,929,1900,2718,600,6.2
IP30,1290.0,650,1323,1350,-,2500,3.32
IP31,1349.0,895,900,1350,1800,-,3.01
IP32,1454.0,883,1270,1385,2092,-,5.39
IP33,1520.0,912,1256,1925,2114,2600,5.46
IP4,1520.0,1069,1575,2177,3428,2699,5.98
IP5,1184.0,813,1090,1249,1750,-,3.65
IP6,1212.0,-,850,1259,-,2200,3.66
IP7,868.0,733,1000,1113,-,-,2.06
IP8,1200.0,750,1100,2200,-,-,3.27
IP9,1300.0,-,1200,1175,2000,-,3.18
KT1,2567.0,1900,2571,2851,3271,5050,4.67
KT10,4082.0,2000,1913,3058,4019,7614,3.79
KT11,5251.0,1350,2538,2787,4410,7116,4.34
KT12,2822.0,1804,2298,3153,3756,6784,4.19
KT13,3914.0,1424,1970,2999,4109,6231,3.54
KT14,2925.0,1267,1461,2083,4289,4250,6.07
KT15,2023.0,1224,1670,2411,2630,4935,5.06
KT16,2242.0,1462,1645,2368,3046,7115,4.5
KT17,2473.0,1827,1764,2450,3485,4800,4.53
KT18,2680.0,1430,1922,2421,3154,4117,5.14
KT19,2197.0,1420,1823,2325,2922,3500,5.12
KT2,3127.0,1919,2324,3314,3727,6998,3.22
KT20,3892.0,1200,1650,2533,2796,10500,4.83
KT21,2803.0,1389,1750,2800,-,4750,4.47
KT22,7629.0,2023,2175,2538,3362,11540,9.67
KT23,2988.0,1200,3585,2649,3317,4750,3.95
KT24,4306.0,1600,2300,3732,3850,5500,4.53
KT3,2613.0,1701,2160,2919,3291,4593,3.93
KT4,2901.0,1367,1804,2520,3679,5600,5.53
KT5,2966.0,1588,1974,2616,3484,3317,5.61
KT6,2419.0,1828,1993,2507,3449,4885,4.91
KT7,3813.0,-,1800,3115,3966,4100,5.64
KT8,4005.0,2499,1869,2335,4141,5432,7.41
KT9,1821.0,883,1644,2370,2595,-,4.8
L1,1291.0,980,1358,2796,4085,2244,8.01
L10,829.0,650,858,950,-,-,4.84
L11,816.0,601,854,933,-,-,6.74
L12,1267.0,675,900,1345,2175,2800,4.91
L13,867.0,812,730,966,-,-,7.44
L14,759.0,740,738,942,-,-,4.7
L15,1380.0,595,945,1236,1690,1030,7.05
L16,1250.0,-,-,1125,2000,-,3.98
L17,1091.0,798,1083,1394,1274,406,4.41
L18,1405.0,625,1361,1350,1610,-,3.76
L19,954.0,800,915,1000,1900,-,4.07
L2,1299.0,898,1459,2097,3251,-,10.8
L20,882.0,651,745,849,967,1000,8.79
L21,815.0,621,869,903,923,-,5.65
L22,830.0,794,963,1275,-,-,3.98
L23,1681.0,771,1613,1699,1958,3950,5.11
L24,1181.0,595,850,1100,1450,-,5.32
L25,1250.0,1005,1089,1333,1099,1950,3.7
L26,1023.0,750,825,-,1495,-,3.69
L27,838.0,-,838,-,-,-,5.63
L28,791.0,-,-,791,-,-,9.26
L3,1170.0,907,1392,1994,814,583,6.85
L30,1278.0,433,900,-,-,-,8.06
L31,1189.0,914,1050,1025,-,2200,4.45
L32,859.0,-,-,859,-,-,5.31
L33,774.0,563,788,874,-,-,5.49
L34,1975.0,550,857,1200,2173,5929,7.29
L35,935.0,500,788,929,2000,-,3.57
L36,1290.0,550,850,1097,-,4513,6.54
L37,2777.0,850,1214,1507,3500,6875,6.24
L38,,-,-,-,-,-,
L39,728.0,678,868,970,795,504,1.78
L4,884.0,645,914,907,1190,2166,8.39
L40,1276.0,-,923,1216,1750,-,3.56
L5,1273.0,683,1277,911,1950,3251,10.41
L6,1247.0,631,785,1433,2242,1316,9.5
L7,991.0,549,947,1132,1326,1427,5.9
L8,1023.0,1001,1050,1347,650,2000,6.04
L9,866.0,666,780,983,1200,-,6.26
LA1,950.0,950,901,1066,1219,1193,4.9
LA10,,-,-,-,-,-,
LA11,923.0,700,898,-,1650,-,2.98
LA12,1102.0,625,813,1264,-,-,3.15
LA13,1095.0,-,932,845,1283,1950,4.48
LA14,781.0,637,679,738,1286,1218,4.94
LA15,875.0,-,650,1100,-,-,4.84
LA16,,-,-,-,-,-,
LA17,,-,-,-,-,-,
LA18,653.0,-,450,855,-,-,3.09
LA19,,-,-,-,-,-,
LA2,1030.0,775,790,1000,1650,1760,2.79
LA21,1950.0,-,-,1950,-,-,3.0
LA22,899.0,-,1075,850,-,-,1.83
LA23,803.0,790,913,-,-,-,2.03
LA3,874.0,675,749,-,1695,-,4.92
LA4,1194.0,1178,1297,858,1450,1250,6.8
LA5,921.0,1470,800,950,-,-,3.06
LA6,1365.0,595,653,1648,1600,-,4.18
LA7,998.0,-,748,1200,1098,-,2.91
LA8,1302.0,-,883,995,1875,-,3.09
LA9,874.0,692,766,1132,1350,1900,3.09
LD1,567.0,475,-,775,-,-,2.31
LD2,400.0,400,-,-,-,-,1.45
LD3,964.0,-,-,933,1400,-,2.26
LD6,,-,-,-,-,-,
LD7,1409.0,1514,550,750,1978,-,5.08
LD8,798.0,-,700,-,895,-,2.17
LE1,1038.0,879,1229,1351,1079,1089,7.48
LE10,1019.0,739,806,1158,2107,2183,3.52
LE11,1027.0,665,873,1009,1416,1794,4.29
LE12,1093.0,738,875,1270,1713,2050,3.25
LE13,870.0,613,874,993,1000,-,3.38
LE14,1324.0,750,824,1449,1649,2373,2.64
LE15,1440.0,760,917,1549,1911,2200,2.9
LE16,1584.0,1255,1025,1516,2198,1975,4.23
LE17,1376.0,-,1095,1411,1808,-,3.4
LE18,1025.0,724,926,1249,1350,-,4.29
LE19,957.0,750,983,1125,-,-,3.32
LE2,1057.0,750,1000,1207,1457,1350,3.93
LE3,1016.0,772,1023,1143,1516,1412,4.52
LE4,1128.0,1201,921,1147,1416,1967,4.62
LE5,1242.0,655,970,1248,1510,1773,4.72
LE6,928.0,792,-,1065,-,-,2.37
LE65,932.0,795,725,1006,1600,-,3.0
LE67,953.0,570,766,928,1525,-,3.15
LE7,1178.0,762,950,1368,1650,2800,3.0
LE8,1255.0,735,911,1258,1814,1900,3.6
LE9,965.0,662,893,1200,-,1775,3.07
LL11,802.0,595,762,1188,-,-,3.47
LL12,1148.0,850,881,1333,1550,-,3.59
LL13,879.0,596,727,757,1608,-,3.14
LL14,1125.0,-,681,881,2500,-,5.41
LL15,969.0,750,795,1300,1250,-,3.21
LL16,1354.0,-,-,1225,1800,-,4.65
LL17,,-,-,-,-,-,
LL18,667.0,525,695,-,1100,-,3.59
LL19,900.0,-,900,-,-,-,4.14
LL20,983.0,-,700,950,1300,-,3.45
LL21,,-,-,-,-,-,
LL22,973.0,495,748,1550,-,-,3.77
LL23,550.0,550,-,-,-,-,1.95
LL24,,-,-,-,-,-,
LL26,725.0,-,-,1050,-,-,2.5
LL28,999.0,-,794,1113,-,1800,3.65
LL29,840.0,640,735,888,1350,1650,3.66
LL30,2995.0,633,4226,-,4077,-,10.56
LL31,1369.0,-,975,1325,1850,-,4.84
LL32,924.0,-,823,1025,-,-,3.32
LL33,550.0,550,-,-,-,-,1.93
LL34,732.0,673,850,-,-,-,3.1
LL35,,-,-,-,-,-,
LL36,810.0,-,895,725,-,-,3.75
LL38,,-,-,-,-,-,
LL40,,-,-,-,-,-,
LL41,750.0,650,-,800,-,-,4.22
LL42,,-,-,-,-,-,
LL43,900.0,-,900,-,-,-,4.94
LL44,750.0,-,750,-,-,-,2.96
LL46,625.0,550,-,700,-,-,1.7
LL48,795.0,-,795,-,-,-,2.86
LL49,2500.0,-,-,-,2500,-,11.46
LL52,,-,-,-,-,-,
LL53,925.0,-,725,913,1138,-,2.76
LL54,795.0,-,795,-,-,-,3.26
LL55,542.0,438,-,750,-,-,2.44
LL56,950.0,-,-,950,-,-,2.99
LL57,825.0,479,963,-,1206,571,3.59
LL58,995.0,895,1095,-,-,-,2.55
LL59,687.0,-,995,-,-,-,2.38
LL60,1350.0,-,-,-,1350,-,4.54
LL61,895.0,-,-,895,-,-,3.5
LL64,2400.0,-,-,-,2400,-,5.5
LL65,806.0,673,873,988,1000,-,2.35
LL67,1250.0,-,-,1250,-,-,5.25
LL68,523.0,420,625,-,-,-,1.73
LL71,,-,-,-,-,-,
LL74,1488.0,-,1980,995,-,-,4.42
LL77,573.0,575,570,-,-,-,2.13
LN1,1148.0,1043,1079,1176,1386,1630,4.28
LN10,1189.0,1605,850,-,-,1450,3.29
LN11,789.0,513,611,848,1210,-,2.72
LN12,1088.0,-,-,1088,-,-,5.4
LN13,975.0,400,600,725,-,1575,3.98
LN2,1010.0,713,994,956,1637,1279,3.11
LN3,1455.0,650,-,838,2500,-,5.32
LN4,1272.0,825,955,1050,2250,-,5.59
LN5,937.0,677,1112,1283,1288,1375,4.06
LN6,969.0,711,876,1041,1775,2750,4.0
LN7,1200.0,-,875,940,1225,1495,4.51
LN8,805.0,513,758,959,995,-,2.63
LN9,837.0,625,855,923,950,-,2.65
LS1,1306.0,1057,1510,2032,-,-,5.58
LS10,1201.0,990,1265,1325,1667,-,6.17
LS11,972.0,849,1100,1288,967,3400,6.06
LS12,1159.0,865,1118,2042,1993,3500,6.0
LS13,763.0,600,953,955,1400,475,4.0
LS14,1382.0,941,989,1296,2506,1500,3.51
LS15,983.0,639,1106,1123,1667,1400,3.41
LS16,1161.0,609,1147,1285,1706,-,3.15
LS17,1546.0,808,1101,1492,1898,8333,3.25
LS18,1252.0,1266,1002,1266,1663,1750,3.95
LS19,967.0,792,871,1333,-,-,3.27
LS2,1595.0,1129,1543,2362,2445,2776,10.06
LS20,1280.0,-,950,1495,1395,-,3.63
LS21,1024.0,668,1054,1223,1100,-,2.53
LS22,1929.0,-,1124,2517,2575,-,3.74
LS23,1270.0,-,1095,1238,1575,-,2.74
LS24,1324.0,-,815,-,1383,-,2.92
LS25,1059.0,710,869,1341,1332,-,3.32
LS26,1097.0,-,815,1160,1625,-,3.88
LS27,929.0,759,884,1172,1732,-,4.2
LS28,1025.0,853,919,1245,1540,-,3.9
LS29,1309.0,1118,1240,1471,2113,-,3.05
LS3,1647.0,1018,1317,1400,1573,2639,10.72
LS4,1580.0,846,1118,1698,1821,2415,8.26
LS5,1163.0,871,1460,1233,1613,1842,5.65
LS6,2090.0,805,1334,1573,1914,2320,6.64
LS7,1213.0,781,1081,1374,1644,-,5.27
LS8,1008.0,732,987,1416,1321,1450,3.07
LS9,1091.0,888,1183,1277,1480,1500,7.14
LU1,1139.0,901,1382,1800,1925,2704,5.06
LU2,1376.0,1054,1398,1655,2125,3050,4.49
LU3,1320.0,902,1268,1678,2100,2560,4.41
LU4,1345.0,1040,1306,1560,1830,3750,4.35
LU5,1334.0,950,1222,1653,2200,1800,4.12
LU6,1293.0,1128,1165,1525,1867,-,2.89
LU7,1427.0,953,1210,1480,2281,4500,3.55
M1,1830.0,1454,1859,2828,4770,-,7.74
M11,1513.0,1254,1138,1699,3050,-,8.88
M12,1242.0,800,1099,1383,1495,2495,6.91
M13,1603.0,1266,1206,1799,2936,-,5.89
M14,2309.0,1481,1411,1539,2336,2543,9.46
M15,1928.0,1414,1887,2720,2894,4000,7.56
M16,1330.0,994,1331,1906,2170,-,4.86
M18,1278.0,823,1073,1571,-,-,7.13
M19,1911.0,783,1152,1529,2273,2925,6.9
M2,1613.0,1310,2017,-,-,-,6.94
M20,1672.0,987,1384,1762,2226,4659,4.43
M21,1539.0,1121,1236,1540,2382,2450,3.56
M22,1129.0,817,1150,1271,1733,-,5.02
M23,1273.0,-,1122,1483,2000,-,5.03
M24,1058.0,734,951,1264,1800,-,4.35
M25,1263.0,782,925,1529,1917,-,3.92
M26,905.0,623,857,1013,1375,-,4.11
M27,1146.0,793,997,1268,2025,1800,4.63
M28,1573.0,875,994,1341,1936,3283,4.56
M29,968.0,706,860,1299,1650,-,3.65
M3,1908.0,1265,1804,3429,2104,12000,7.91
M30,1244.0,1099,1056,1445,2129,2425,4.2
M31,1042.0,-,888,1350,-,-,4.4
M32,1474.0,-,1548,1345,2150,-,4.7
M33,1435.0,950,1243,1606,2025,2570,3.77
M34,1035.0,746,910,1313,1682,1200,4.61
M35,930.0,828,905,1299,-,-,3.56
M38,1000.0,653,873,1085,-,1950,5.99
M4,1610.0,1334,1554,2287,3574,5748,6.96
M40,1287.0,853,1197,1385,2615,-,6.02
M41,1212.0,945,1131,1533,1713,-,3.75
M43,955.0,625,1050,1260,-,-,4.66
M44,1088.0,-,900,1150,-,-,4.85
M45,1053.0,-,1039,1250,2400,-,2.51
