outcode,Total households,One Person household,Single family Household,Other household type
L6,9807,3963,4718,1126
L67,100,49,51,0
L68,234,60,168,6
L69,2535,1364,900,271
L7,6554,2661,2673,1220
L70,54,24,26,4
L8,11719,4857,5863,999
L9,11796,4079,7141,576
LA1,22860,7480,13014,2366
LA10,1665,522,1085,58
LA11,5382,1756,3437,189
LA12,9422,3047,6046,329
LA13,9477,2862,6317,298
LA14,16621,6740,9362,519
LA15,3357,1186,2081,90
LA16,1406,421,963,22
LA17,556,169,366,21
LA18,3720,1246,2378,96
LA19,329,115,208,6
LA2,9654,2751,6509,394
LA20,505,135,345,25
LA21,633,210,390,33
LA22,2159,762,1249,148
LA23,3660,1255,2218,187
LA3,11199,3751,6841,607
LA4,11264,4133,6631,500
LA5,7727,2383,5087,257
LA6,5175,1563,3448,164
LA7,2095,621,1402,72
LA8,3770,1049,2553,168
LA9,14052,4730,8754,568
LD1,5959,2112,3619,228
LD2,2602,869,1629,104
LD3,8344,2772,5205,367
LD4,354,116,220,18
LD5,384,134,236,14
LD6,1252,447,761,44
LD7,2169,718,1358,93
LD8,1614,525,1027,62
LE1,8382,3853,3491,1038
LE10,23528,6893,15664,971
LE11,24487,7339,14225,2923
LE12,30063,8269,20681,1113
LE13,12505,3755,8255,495
LE14,8090,2075,5696,319
LE15,14785,4238,10015,532
LE16,16661,4650,11391,620
LE17,9580,2325,6783,472
LE18,14522,4321,9482,719
LE19,8028,2248,5453,327
LE2,45544,13035,27233,5276
LE3,42500,11853,26438,4209
LE4,38062,9457,24137,4468
LE5,29314,6220,18940,4154
LE55,225,61,156,8
LE6,36435,10203,24896,1336
LE65,330,77,244,9
LE67,2415,558,1774,83
LE7,20083,5191,14002,890
LE8,16803,4476,11745,582
LE9,23576,6256,16423,897
LL11,19868,6139,12925,804
LL12,11132,3209,7551,372
LL13,13410,4133,8498,779
LL14,14640,4534,9570,536
LL15,5105,1675,3258,172
LL16,6765,2126,4372,267
LL17,2605,814,1662,129
LL18,18103,6169,11000,934
LL19,8819,2921,5519,379
LL20,3178,1028,2038,112
LL21,2795,849,1850,96
LL22,8861,2890,5627,344
LL23,1646,603,980,63
LL24,1026,321,660,45
LL25,206,64,134,8
LL26,1869,593,1203,73
LL27,282,80,178,24
LL28,6801,2436,4100,265
LL29,7979,2757,4849,373
LL30,10539,4078,6002,459
LL31,4149,1357,2640,152
LL32,2818,871,1829,118
LL33,2074,739,1211,124
LL34,1970,709,1175,86
LL35,516,228,279,9
LL36,2050,796,1180,74
LL37,341,125,197,19
LL38,366,168,191,7
LL39,148,63,80,5
LL40,1955,676,1203,76
LL41,2813,1098,1639,76
LL42,1045,426,562,57
LL43,236,87,135,14
LL44,366,122,231,13
LL45,450,185,245,20
LL46,943,386,530,27
LL48,1298,467,783,48
LL49,1722,649,993,80
LL51,522,141,355,26
LL52,1309,482,773,54
LL53,6871,2360,4228,283
LL54,5041,1552,3291,198
LL55,9169,3021,5723,425
LL56,1056,378,616,62
LL57,9729,3166,5539,1024
LL58,1848,632,1157,59
LL59,2443,898,1458,87
LL60,1409,409,938,62
LL61,2417,771,1567,79
LL62,1172,348,769,55
LL63,727,243,450,34
LL64,286,104,169,13
LL65,10667,3554,6674,439
LL66,881,273,565,43
LL67,464,164,285,15
LL68,2266,727,1456,83
LL69,145,56,88,1
LL70,156,48,101,7
LL71,837,227,566,44
LL72,293,100,189,4
LL73,213,52,149,12
LL74,1201,446,718,37
LL75,619,208,383,28
LL76,170,45,119,6
LL77,2633,888,1659,86
LN1,14712,4944,8237,1531
LN10,3400,976,2299,125
LN11,14049,4321,9154,574
LN12,6845,2281,4230,334
LN13,3704,1050,2487,167
LN2,18449,5690,11607,1152
LN3,7395,2037,5072,286
LN4,17838,4788,12393,657
LN5,14398,4428,8633,1337
LN6,26275,7365,17798,1112
LN7,3058,912,2010,136
LN8,3740,1259,2359,122
LN9,4298,1418,2746,134
LS1,6216,3136,2257,823
LS10,16822,5302,10366,1154
LS11,16291,6039,8789,1463
LS12,19689,7229,11242,1218
LS13,17231,5774,10574,883
LS14,17534,5693,10950,891
LS15,15218,4554,10026,638
LS16,17596,5673,11084,839
LS17,18508,5501,12041,966
LS18,9215,2666,6194,355
LS19,8825,2722,5772,331
LS2,3847,1909,1166,772
LS20,5466,1407,3878,181
LS21,8185,2630,5321,234
LS22,7335,2051,5046,238
LS23,4019,1178,2728,113
LS24,5702,1621,3910,171
LS25,19157,5091,13360,706
LS26,13720,3905,9340,475
LS27,16955,5659,10643,653
LS28,16655,5264,10740,651
LS29,14209,4413,9381,415
LS3,750,294,264,192
LS4,4153,1473,1663,1017
LS5,3069,1011,1731,327
LS6,17264,5607,6193,5464
LS7,13141,4909,7019,1213
LS8,18773,5614,11453,1706
LS9,17116,6442,9388,1286
LU1,18851,5900,10701,2250
LU2,24874,6663,15761,2450
LU3,22179,5387,14355,2437
LU4,17948,4331,11120,2497
LU5,17401,4645,11515,1241
LU6,13359,3569,9047,743
LU7,25450,6573,17865,1012
M1,7682,3662,2633,1387
M10,20975,7226,12140,1609
M11,9762,3006,5819,937
M12,8224,2437,4816,971
M13,7229,2207,3492,1530
M14,17637,5187,7686,4764
M15,10941,4469,4555,1917
M16,14419,5134,7509,1776
M17,977,287,605,85
M18,9801,3037,5955,809
M19,14038,4020,8440,1578
M2,187,103,63,21
M20,20824,6989,11235,2600
M21,11952,3968,6787,1197
M22,18877,5882,11486,1509
M23,14493,4973,8642,878
M24,22963,7311,14455,1197
M25,22796,7002,14541,1253
M26,14977,4948,9355,674
M27,19163,5913,12285,965
M28,24780,7294,16384,1102
M29,19989,6159,13062,768
M3,9142,3975,3417,1750
M30,26239,9128,15397,1714
M31,20701,6040,13823,838
M32,11320,3512,7078,730
M33,25254,7557,16675,1022
M34,21667,7166,13539,962
M35,19233,6036,12251,946
M4,8546,3358,3320,1868
M40,458,109,290,59
M41,125,66,57,2
M43,277,64,202,11
M44,441,110,304,27
M46,532,139,379,14
M5,11927,4204,5780,1943
M50,1809,860,721,228
M6,13116,4804,6910,1402
M7,12178,4111,6932,1135
M8,10154,2768,6063,1323
M9,16077,5384,9485,1208
ME1,15098,4580,9600,918
ME10,21200,5449,14298,1453
ME11,2019,551,1310,158
ME12,16351,4575,10629,1147
ME13,12680,3615,8396,669
ME14,16031,4586,10374,1071
ME15,21785,5705,14590,1490
ME16,13565,3737,8959,869
ME17,10252,2414,7227,611
ME18,3237,842,2249,146
ME19,10371,2337,7574,460
ME2,16692,4131,11411,1150
ME20,8572,2163,5982,427
ME3,11683,2722,8229,732
ME4,13483,4215,8148,1120
ME5,20908,5305,14382,1221
ME6,4625,1309,3109,207
ME7,19742,5546,12425,1771
ME8,20516,5459,13975,1082
ME9,8104,1728,5840,536
MK1,4615,1343,2768,504
MK10,8827,1827,6223,777
MK11,5075,1508,3298,269
MK12,7097,1938,4542,617
MK13,6808,1879,4324,605
MK14,7745,2111,4816,818
MK15,3011,913,1883,215
MK16,8486,2199,5887,400
MK17,9087,2292,6355,440
MK18,13896,3508,9812,576
MK19,5100,1193,3696,211
MK2,5376,1353,3496,527
MK3,10126,2462,6957,707
MK4,9178,2079,6495,604
MK40,17866,6479,9958,1429
MK41,17516,4865,11708,943
MK42,21573,5719,13997,1857
MK43,16393,3728,11853,812
MK44,7112,1681,5109,322
MK45,20211,5058,14357,796
MK46,3799,1076,2600,123
MK5,5950,1529,4030,391
MK6,10037,2847,5944,1246
MK7,5813,1551,3923,339
MK8,4667,1130,3233,304
MK9,1960,876,871,213
N1,41549,14826,21074,5649
N10,11797,3425,7343,1029
N11,13756,3796,8342,1618
N12,13018,3727,7988,1303
N13,13841,3545,8376,1920
N14,10645,2507,6989,1149
N15,20622,6338,10930,3354
N16,23706,7279,13125,3302
N17,25295,7303,14334,3658
N18,11921,2881,7444,1596
N19,17878,6359,9107,2412
N1C,550,206,276,68
N2,10313,2968,6298,1047
N20,6686,1739,4367,580
N21,8085,2105,5276,704
N22,16225,4999,8744,2482
N3,10414,2952,6295,1167
N4,23227,7667,11890,3670
N5,10503,3568,5635,1300
N6,8134,2946,4488,700
N7,20922,7498,10324,3100
N8,16029,5287,8913,1829
N9,17204,4566,10623,2015
NE1,6501,3226,2213,1062
NE10,17056,5907,10525,624
NE11,7467,2407,4802,258
NE12,17696,5815,11353,528
NE13,9974,2996,6660,318
NE15,16172,5338,10175,659
NE16,10956,3456,7235,265
NE17,2376,903,1395,78
NE18,405,107,285,13
NE19,1899,513,1311,75
NE2,10553,3621,3786,3146
NE20,4747,1201,3369,177
NE21,8236,2691,5285,260
NE22,9276,3066,5941,269
NE23,18056,5822,11778,456
NE24,18143,6271,11325,547
NE25,14479,4621,9519,339
NE26,7589,2451,4887,251
NE27,6752,1895,4663,194
NE28,21751,7949,13077,725
NE29,17605,7003,9995,607
NE3,21459,6992,13523,944
NE30,9242,3403,5628,211
NE31,11004,3685,6979,340
NE32,10514,3677,6504,333
NE33,14528,6672,7364,492
NE34,22354,7422,14288,644
NE35,3144,1007,2061,76
NE36,2959,901,1992,66
NE37,9616,3102,6179,335
NE38,13040,3766,8878,396
NE39,3631,1137,2373,121
NE4,13749,4324,7815,1610
NE40,6695,2082,4436,177
NE41,822,249,556,17
NE42,5395,1717,3533,145
NE43,2029,554,1430,45
NE44,687,178,490,19
NE45,1513,582,901,30
NE46,7103,2454,4447,202
NE47,3174,935,2149,90
NE48,1321,400,880,41
NE49,1628,620,974,34
NE5,20989,7057,13095,837
NE6,22832,8716,11803,2313
NE61,16024,4942,10672,410
NE62,3943,1276,2561,106
NE63,12966,4662,7936,368
NE64,2518,982,1437,99
NE65,9323,2856,6238,229
NE66,8084,2783,5129,172
NE67,484,159,312,13
NE68,862,325,508,29
NE69,177,75,100,2
NE7,5967,1605,4051,311
NE70,949,283,628,38
NE71,1393,535,817,41
NE8,14008,5912,7104,992
NE9,15414,5284,9624,506
NG1,7216,3499,2098,1619
NG10,21271,6778,13719,774
NG11,16903,5117,10837,949
NG12,16548,4558,11385,605
NG13,9584,2617,6708,259
NG14,8735,2363,6090,282
NG15,20121,5646,13602,873
NG16,27593,8088,18470,1035
NG17,32546,9702,21402,1442
NG18,21944,6983,13704,1257
NG19,21741,6263,14480,998
NG2,24071,7920,13976,2175
NG20,11975,3420,7890,665
NG21,10406,2891,7068,447
NG22,12756,3628,8633,495
NG23,7712,1949,5477,286
NG24,20871,6715,13123,1033
NG25,3538,1121,2300,117
NG3,22988,8001,13390,1597
NG31,21268,6405,13903,960
NG32,5132,1329,3630,173
NG33,4255,1118,2956,181
NG34,18705,5520,12507,678
NG4,17504,5628,11123,753
NG5,37725,12283,23157,2285
NG6,16450,5576,9945,929
NG7,19248,6004,7956,5288
NG8,24328,6664,15780,1884
NG9,30863,9577,19323,1963
NN1,15805,5732,7951,2122
NN10,17592,5062,11622,908
NN11,18063,4874,12112,1077
NN12,11355,2772,8136,447
NN13,9302,2380,6536,386
NN14,20653,5338,14406,909
NN15,17934,4823,12222,889
NN16,12447,4024,7469,954
NN17,14064,3624,9344,1096
NN18,14986,3414,10096,1476
NN2,17422,5094,10892,1436
NN29,5260,1476,3578,206
NN3,29686,7782,19476,2428
NN4,20455,4536,14273,1646
NN5,18513,5395,11690,1428
NN6,15140,3788,10762,590
NN7,11738,3020,8254,464
NN8,22546,6437,14280,1829
NN9,11701,3295,7880,526
NP1,24874,7585,16342,947
NP10,3233,749,2355,129
NP11,385,71,303,11
NP12,13533,3816,9178,539
NP13,8774,3009,5480,285
NP15,4719,1248,3243,228
NP16,9763,2840,6509,414
NP18,7667,2106,5227,334
NP19,22867,6930,14411,1526
NP2,11513,3914,7191,408
NP20,22618,7657,13602,1359
NP23,14174,4672,8991,511
NP25,6537,2093,4211,233
NP26,9852,2618,6838,396
NP3,161,49,107,5
NP4,20439,6234,13445,760
NP44,20283,6217,13200,866
NP7,11673,3803,7405,465
NP8,2030,593,1363,74
NR1,16248,7504,7747,997
NR10,11201,2976,7781,444
NR11,9370,2825,6168,377
NR12,10169,3182,6576,411
NR13,13110,3389,9218,503
NR14,12037,3207,8412,418
NR15,7056,1821,4941,294
NR16,5221,1274,3721,226
NR17,7379,1954,5054,371
NR18,8874,2584,5998,292
NR19,9396,2780,6197,419
NR2,14191,5947,6659,1585
NR20,8645,2248,5958,439
NR21,7642,2441,4932,269
NR22,296,128,153,15
NR23,1643,622,978,43
NR24,1978,625,1275,78
NR25,4081,1525,2428,128
NR26,3859,1334,2398,127
NR27,5687,2238,3225,224
NR28,7404,2517,4606,281
NR29,9563,2652,6487,424
NR3,15670,6122,8282,1266
NR30,14267,5301,8078,888
NR31,22296,7027,14232,1037
NR32,18109,6100,11219,790
NR33,18000,6070,11163,767
NR34,9698,3053,6308,337
NR35,4628,1469,2982,177
NR4,9596,2856,5768,972
NR5,12971,3690,7859,1422
NR6,10166,3052,6681,433
NR7,13998,4367,9115,516
NR8,8922,2389,6167,366
NR9,7556,1975,5277,304
NW1,27482,10709,12732,4041
NW10,39655,12463,21791,5401
NW11,13698,4499,7735,1464
NW2,26053,8213,14041,3799
NW3,24154,9159,12861,2134
NW4,12848,3687,7099,2062
NW5,10070,3583,5242,1245
NW6,28660,10526,14596,3538
NW7,9849,2468,6448,933
NW8,13087,4937,6583,1567
NW9,25712,6551,15248,3913
OL1,11755,3617,7192,946
OL10,12594,4082,7951,561
OL11,20209,5971,12785,1453
OL12,19182,6057,12041,1084
OL13,7042,2219,4483,340
OL14,7230,2535,4354,341
OL15,6669,2016,4400,253
OL16,12640,3476,8255,909
OL2,17774,5746,11358,670
OL3,6872,2088,4565,219
OL4,16937,4558,11033,1346
OL5,5444,1879,3381,184
OL6,13358,4368,8183,807
OL7,6732,2341,3980,411
OL8,15254,3908,9806,1540
OL9,13715,4114,8651,950
OX1,8115,2607,4487,1021
OX10,12151,3267,8316,568
OX11,18675,4560,12973,1142
OX12,12995,3597,8862,536
OX13,6849,1573,4916,360
OX14,18152,5220,11925,1007
OX15,9486,2357,6748,381
OX16,21648,6410,13536,1702
OX17,6360,1540,4585,235
OX18,11225,2769,7985,471
OX2,15597,4809,9308,1480
OX20,3022,907,1955,160
OX25,5624,1224,4058,342
OX26,14862,3597,10230,1035
OX27,2703,638,1929,136
OX28,12788,3887,8180,721
OX29,10090,2484,7149,457
OX3,17695,4762,10389,2544
OX33,3021,804,2039,178
OX39,3421,760,2497,164
OX4,23430,6421,12727,4282
OX44,3199,778,2267,154
OX49,1875,548,1244,83
OX5,9821,2684,6458,679
OX7,9396,2826,6188,382
OX9,6453,1691,4511,251
PE1,21383,6188,12242,2953
PE10,10925,2930,7518,477
PE11,20366,5526,13204,1636
PE12,18515,5104,12384,1027
PE13,16782,4892,10545,1345
PE14,9616,2394,6592,630
PE15,13466,3889,8879,698
PE16,4878,1474,3163,241
PE17,27415,7728,18555,1132
PE18,23190,6558,15349,1283
PE19,17836,5226,11860,750
PE2,22513,6475,14337,1701
PE20,6833,1824,4623,386
PE21,19401,5469,12150,1782
PE22,6660,1699,4576,385
PE23,3838,1108,2549,181
PE24,5374,1620,3483,271
PE25,10560,3740,6264,556
PE27,96,19,74,3
PE28,924,177,699,48
PE29,594,138,418,38
PE3,12710,3479,7904,1327
PE30,20747,6456,12965,1326
PE31,9588,3180,6098,310
PE32,6820,1799,4725,296
PE33,6267,1534,4449,284
PE34,5428,1320,3781,327
PE36,2777,1118,1576,83
PE37,5273,1659,3423,191
PE38,6872,2218,4375,279
PE4,12920,3939,8238,743
PE5,573,135,417,21
PE6,16504,4179,11647,678
PE7,19230,4878,13218,1134
PE8,7162,1968,4939,255
PE9,13920,4445,9005,470
PL1,15165,7087,6910,1168
PL10,1808,571,1149,88
PL11,4535,1513,2856,166
PL12,9915,2839,6656,420
PL13,5039,1609,3167,263
PL14,10936,3338,7074,524
PL15,9622,2729,6381,512
PL16,384,111,256,17
PL17,4419,1302,2883,234
PL18,2345,670,1553,122
PL19,7108,2274,4551,283
PL2,14374,4614,8925,835
PL20,5610,1583,3769,258
PL21,8840,2226,6216,398
PL22,1913,590,1223,100
PL23,1560,517,966,77
PL24,4843,1432,3144,267
PL25,12922,4018,8253,651
PL26,12282,3407,8158,717
PL27,5664,1808,3578,278
PL28,1844,571,1162,111
PL29,735,257,447,31
PL3,12937,3809,8366,762
PL30,4347,1113,2935,299
PL31,6530,2033,4071,426
PL32,1762,477,1183,102
PL33,897,291,556,50
PL34,711,252,410,49
PL35,367,133,213,21
PL4,12581,4860,5568,2153
PL5,19710,6047,12714,949
PL6,17569,4798,12074,697
PL7,13795,3671,9617,507
PL8,2327,643,1590,94
PL9,12588,3523,8596,469
PO1,13857,5208,7221,1428
PO10,8947,2787,5818,342
PO11,8182,2718,5075,389
PO12,20951,7111,12844,996
PO13,15278,4378,10039,861
PO14,15734,4263,10825,646
PO15,9638,2293,6860,485
PO16,13743,3969,9136,638
PO17,3508,999,2352,157
PO18,7277,2084,4812,381
PO19,14705,5264,8363,1078
PO2,17514,5107,10911,1496
PO20,15096,4534,9734,828
PO21,20033,6597,12027,1409
PO22,12806,3747,8336,723
PO3,7970,2122,5322,526
PO30,14258,4503,9000,755
PO31,6544,2221,3969,354
PO32,4012,1326,2511,175
PO33,14753,5470,8602,681
PO34,897,271,591,35
PO35,1630,560,1004,66
PO36,8050,2751,4850,449
PO37,4188,1612,2346,230
PO38,5628,2046,3321,261
PO39,1601,565,961,75
PO4,18123,5865,10066,2192
PO40,2351,854,1411,86
PO41,832,314,490,28
PO5,11781,4977,5210,1594
PO6,17147,4378,11536,1233
PO7,18973,5428,12552,993
PO8,14587,3693,10201,693
PO9,20933,5947,13781,1205
PR0,182,82,87,13
PR1,31232,10601,18115,2516
PR11,121,27,90,4
PR2,32778,10526,20485,1767
PR25,15843,4742,10518,583
PR26,5057,1319,3524,214
PR3,17280,4825,11846,609
PR4,26532,7001,18485,1046
PR5,17262,5435,11173,654
PR6,16203,4800,10803,600
PR7,26195,7770,17513,912
PR8,25212,8378,15487,1347
PR9,19449,7171,11436,842
RG1,21471,7045,11068,3358
RG10,8233,2032,5846,355
RG11,31329,7546,22279,1504
RG12,34547,9481,22836,2230
RG13,17829,5306,11504,1019
RG14,12214,3597,7993,624
RG15,7170,1692,5115,363
RG16,7668,1744,5498,426
RG17,3242,1079,2034,129
RG18,353,47,298,8
RG19,596,118,444,34
RG2,17148,4119,11095,1934
RG21,14047,4656,8300,1091
RG22,17166,4374,11786,1006
RG23,5321,1243,3791,287
RG24,16422,4190,11300,932
RG25,6479,1706,4540,233
RG26,9627,2467,6723,437
RG27,8889,2231,6323,335
RG28,2879,743,2029,107
RG3,31191,8163,20517,2511
RG30,211,68,121,22
RG31,143,12,120,11
RG4,16914,4165,11699,1050
RG40,863,185,644,34
RG41,351,41,293,17
RG42,1659,472,1125,62
RG5,11072,2701,7706,665
RG6,13032,2981,8930,1121
RG7,12335,3180,8619,536
RG8,6409,1517,4629,263
RG9,8952,2714,5791,447
RH1,21988,6132,14475,1381
RH10,31070,7764,20627,2679
RH11,21450,5377,13835,2238
RH12,22839,6631,15169,1039
RH13,16150,4268,11160,722
RH14,6702,1701,4725,276
RH15,14425,3872,9858,695
RH16,17198,5053,11382,763
RH17,6883,1742,4808,333
RH18,2364,685,1504,175
RH19,14395,4076,9626,693
RH2,9748,2651,6673,424
RH20,11186,3022,7694,470
RH3,1940,556,1300,84
RH4,7672,2534,4785,353
RH5,5545,1568,3706,271
RH6,13859,3636,9320,903
RH7,3632,975,2460,197
RH8,6135,1590,4268,277
RH9,1832,509,1219,104
RM1,12012,3451,7543,1018
RM10,16022,4065,9944,2013
RM11,13905,3358,9511,1036
RM12,13720,3483,9293,944
RM13,11965,3008,7853,1104
RM14,10505,2472,7504,529
RM15,12040,3146,7850,1044
RM16,22442,5260,15267,1915
RM17,10786,2857,6852,1077
RM18,6907,1515,4711,681
RM19,252,72,161,19
RM2,4966,1334,3328,304
RM3,17996,4999,11447,1550
RM4,1446,362,973,111
RM5,8064,1814,5582,668
RM6,12442,2865,7913,1664
RM7,10334,2709,6559,1066
RM8,16030,3605,10355,2070
RM9,12463,2745,8047,1671
S1,7616,3533,3025,1058
S10,19463,6127,10573,2763
S11,14745,4236,8860,1649
S12,16692,5196,10964,532
S13,14004,4487,9028,489
S14,4529,1771,2564,194
S17,7168,2149,4842,177
S18,11076,3369,7411,296
S19,12950,3908,8627,415
S2,17435,6030,9915,1490
S20,489,110,368,11
S21,8672,2647,5727,298
S25,9443,2656,6463,324
S26,11028,2952,7747,329
S3,6380,2920,2802,658
S30,35538,10152,24303,1083
S35,884,324,504,56
S36,206,43,157,6
S4,4909,1612,2788,509
S40,19653,7334,11713,606
S41,15737,5494,9733,510
S42,13332,4102,8819,411
S43,17830,5652,11588,590
S44,9209,2937,5967,305
S45,5691,2035,3474,182
S5,24544,7601,15589,1354
S6,24424,8364,14890,1170
S60,19387,5684,12647,1056
S61,15176,5087,9506,583
S62,10076,3153,6558,365
S63,18549,5496,12314,739
S64,12672,4136,8073,463
S65,13723,4443,8514,766
S66,18913,5562,12712,639
S7,5833,1754,3394,685
S70,20488,7271,12189,1028
S71,21010,6287,13869,854
S72,11476,3346,7646,484
S73,12404,3703,8155,546
S74,7514,2407,4844,263
S75,18945,5577,12804,564
S8,19027,6533,11740,754
S80,13418,4382,8407,629
S81,15830,4394,10893,543
S9,9985,2974,6125,886
SA1,24880,10437,12258,2185
SA10,14160,4303,9347,510
SA11,15947,5606,9774,567
SA12,14863,4943,9263,657
SA13,7426,2451,4632,343
SA14,16807,4751,11309,747
SA15,15740,5258,9743,739
SA16,3846,1221,2454,171
SA17,4024,1187,2626,211
SA18,13351,4146,8595,610
SA19,4772,1480,3033,259
SA2,15341,5009,9188,1144
SA20,1207,432,711,64
SA3,11284,3815,7075,394
SA31,8834,3165,5312,357
SA32,2292,571,1584,137
SA33,5482,1505,3672,305
SA34,2496,700,1627,169
SA35,614,194,380,40
SA37,1133,325,744,64
SA38,2204,678,1400,126
SA39,1438,432,924,82
SA4,19659,5981,12917,761
SA40,1542,491,956,95
SA41,764,243,481,40
SA42,1253,471,713,69
SA43,5462,1981,3245,236
SA44,4609,1409,2964,236
SA45,560,212,322,26
SA46,1497,537,888,72
SA47,81,33,47,1
SA48,3451,1087,2159,205
SA5,15743,5185,9898,660
SA6,14153,4655,8905,593
SA61,7225,2592,4329,304
SA62,9675,2806,6410,459
SA63,326,73,230,23
SA64,932,331,564,37
SA65,1685,639,983,63
SA66,1552,492,969,91
SA67,2635,837,1665,133
SA68,2216,668,1447,101
SA69,1758,602,1079,77
SA7,5649,1539,3893,217
SA70,3464,1270,2030,164
SA71,5307,1799,3331,177
SA72,4222,1578,2473,171
SA73,8963,3119,5542,302
SA8,5353,1601,3549,203
SA9,6389,2212,3976,201
SE1,37840,14326,17374,6140
SE10,18817,5908,10862,2047
SE11,10192,3750,4810,1632
SE12,12935,3714,7972,1249
SE13,20110,6536,11175,2399
SE14,12973,3859,6841,2273
SE15,27909,8866,14873,4170
SE16,22908,7633,11736,3539
SE17,13808,4629,6747,2432
SE18,34655,10696,19543,4416
SE19,14093,4784,8165,1144
SE2,9039,2363,5493,1183
SE20,10954,3856,6300,798
SE21,7791,2045,5008,738
SE22,12346,3542,7409,1395
SE23,15499,4477,9367,1655
SE24,8933,2591,5013,1329
SE25,14153,4665,8161,1327
SE26,12053,3852,7107,1094
SE27,8402,2613,4859,930
SE28,10411,2891,6260,1260
SE3,14635,4657,8764,1214
SE4,10390,2898,6053,1439
SE5,19343,6312,9781,3250
SE6,20228,6228,11622,2378
SE7,7714,2138,4546,1030
SE8,11151,3715,5828,1608
SE9,24657,7060,15449,2148
SG1,23057,6916,14602,1539
SG10,1248,315,872,61
SG11,3396,803,2465,128
SG12,12731,3908,8345,478
SG13,7252,2054,4885,313
SG14,8642,2658,5667,317
SG15,2688,781,1805,102
SG16,3073,793,2167,113
SG17,5759,1435,4078,246
SG18,12962,3333,9049,580
SG19,10226,2699,7107,420
SG2,17199,4421,11729,1049
SG3,2683,803,1794,86
SG4,13046,3932,8584,530
SG5,13406,3800,9093,513
SG6,14516,4619,9217,680
SG7,6216,1958,4019,239
SG8,16584,4341,11599,644
SG9,4947,1116,3635,196
SK1,7962,3380,4223,359
SK10,20148,6495,13038,615
SK11,15511,5276,9686,549
SK12,22697,6642,15368,687
SK13,15084,4731,9819,534
SK14,21865,6875,13939,1051
SK15,12302,3839,7951,512
SK16,8009,2673,4992,344
SK17,13127,4348,8236,543
SK2,13101,3938,8553,610
SK22,153,76,74,3
SK23,80,16,61,3
SK3,12220,3879,7743,598
SK4,15229,5036,9476,717
SK5,13190,4643,7921,626
SK6,21552,6667,14140,745
SK7,17327,4594,12113,620
SK8,23888,6734,15886,1268
SK9,17255,5561,11094,600
SL0,4963,1301,3195,467
SL1,29517,7216,18575,3726
SL2,18620,4182,12098,2340
SL3,16830,3961,10859,2010
SL4,18596,5713,11698,1185
SL5,9116,2451,6192,473
SL6,31945,8230,21460,2255
SL7,8325,2294,5709,322
SL8,2821,853,1853,115
SL9,8484,2021,5919,544
SM1,19525,5463,12561,1501
SM2,12085,3837,7461,787
SM3,7404,1674,5146,584
SM4,14591,3298,9496,1797
SM5,15369,3667,10623,1079
SM6,14013,4153,8892,968
SM7,6590,1724,4555,311
SN1,15746,5060,8801,1885
SN10,14575,4442,9580,553
SN11,11478,3050,7997,431
SN12,12193,3407,8255,531
SN13,8033,2314,5422,297
SN14,12061,3008,8526,527
SN15,13222,3758,8880,584
SN16,6079,1661,4142,276
SN17,119,20,91,8
SN2,28741,8021,18896,1824
SN25,8179,1892,5822,465
SN3,22748,6446,14937,1365
SN38,413,119,258,36
SN4,11682,3176,8030,476
SN5,14086,3870,9553,663
SN6,9167,2523,6282,362
SN7,5994,1679,4090,225
SN8,10325,3038,6883,404
SN9,3371,1014,2224,133
SO1,50140,16800,28646,4694
SO14,5370,1809,2381,1180
SO15,399,158,206,35
SO16,4821,1270,2825,726
SO17,6275,2201,2804,1270
SO18,17289,5473,10840,976
SO19,24420,7706,15287,1427
SO20,4031,982,2839,210
SO21,9786,2288,7055,443
SO22,12053,3077,7898,1078
SO23,8832,3339,4962,531
SO24,4118,1203,2740,175
SO3,39280,10506,27068,1706
SO30,1291,263,961,67
SO31,627,105,495,27
SO32,495,60,415,20
SO4,50223,14522,33338,2363
SO40,274,50,200,24
SO41,392,178,205,9
SO45,77,34,42,1
SO5,46348,12497,31597,2254
SO50,763,176,542,45
SO51,1230,320,879,31
SO53,1192,181,965,46
SP1,10579,3617,6337,625
SP10,17995,5235,11669,1091
SP11,12691,2984,9008,699
SP2,13725,4385,8551,789
SP3,5514,1593,3677,244
SP4,14283,3246,10323,714
SP5,9101,2209,6481,411
SP6,5762,1578,3932,252
SP7,6366,1984,4119,263
SP8,6245,1936,4066,243
SP9,3580,593,2766,221
SR1,4955,2428,2215,312
SR2,14445,4987,8762,696
SR3,16380,5316,10524,540
SR4,16522,5466,10306,750
SR5,15308,5274,9546,488
SR6,12541,4188,8026,327
SR7,13567,4492,8635,440
SR8,15674,5421,9758,495
SS0,20975,7502,12138,1335
SS1,13468,4774,7917,777
SS11,8028,2105,5524,399
SS12,7786,2092,5323,371
SS13,9963,3140,6180,643
SS14,11131,3162,7115,854
SS15,13952,4032,9079,841
SS16,12342,3426,8081,835
SS17,13030,3130,9096,804
SS2,15517,5085,9538,894
SS22,128,38,85,5
SS3,11539,3312,7670,557
SS4,9214,2697,6075,442
SS5,9185,2325,6474,386
SS6,13800,3498,9733,569
SS7,20571,5337,14261,973
SS8,16208,4761,10546,901
SS9,20560,6316,13396,848
ST1,15156,5423,8764,969
ST10,11566,3220,7892,454
ST11,4456,1183,3105,168
ST12,2552,705,1758,89
