outcode,Total households,One Person household,Single family Household,Other household type
BR5,20901,5632,13977,1292
BR6,18288,4596,12702,990
BR7,7406,1980,5053,373
BR8,9766,2644,6571,551
BS0,130,37,90,3
BS1,10320,4444,4129,1747
BS10,14026,3968,8711,1347
BS11,7702,2250,4807,645
BS12,32346,8696,21439,2211
BS13,14186,4117,9028,1041
BS14,13313,3670,8808,835
BS15,35706,9902,23715,2089
BS16,34821,9567,22255,2999
BS17,22860,5709,16035,1116
BS18,23831,6129,16550,1152
BS19,15634,4181,10780,673
BS2,8033,2685,3670,1678
BS20,14539,4267,9711,561
BS21,10478,3446,6646,386
BS22,17670,5254,11632,784
BS23,17202,7256,8874,1072
BS24,10666,2506,7539,621
BS25,2031,583,1354,94
BS26,1746,490,1171,85
BS27,2985,882,1973,130
BS28,1372,310,981,81
BS3,17773,5063,10309,2401
BS31,727,231,482,14
BS32,831,175,599,57
BS34,2344,515,1591,238
BS35,358,48,294,16
BS36,111,23,87,1
BS37,747,228,496,23
BS39,368,94,258,16
BS4,19592,5409,12464,1719
BS49,138,48,88,2
BS5,21368,6943,11648,2777
BS6,14694,4254,7666,2774
BS7,14550,3678,8330,2542
BS8,10393,3564,4905,1924
BS9,11645,3174,7885,586
CA1,11881,4516,6774,591
CA10,7562,2132,5154,276
CA11,10392,3358,6583,451
CA12,3432,1161,2114,157
CA13,7529,2467,4841,221
CA14,16682,5839,10428,415
CA15,7323,2422,4668,233
CA16,2610,874,1667,69
CA17,2100,661,1363,76
CA18,239,90,141,8
CA19,706,186,476,44
CA2,19309,7222,11512,575
CA20,1371,507,828,36
CA21,428,120,294,14
CA22,3998,1371,2488,139
CA23,896,314,564,18
CA24,344,110,218,16
CA25,2577,929,1555,93
CA26,1519,581,882,56
CA27,685,213,459,13
CA28,12486,4316,7799,371
CA3,6747,2137,4409,201
CA4,5143,1457,3501,185
CA5,8860,2613,5962,285
CA6,5148,1563,3379,206
CA7,3626,1167,2350,109
CA8,2488,904,1523,61
CA9,963,342,578,43
CB1,30121,9013,17571,3537
CB10,7776,2208,5223,345
CB11,6962,1746,4961,255
CB2,18366,5146,11950,1270
CB23,15017,3594,10715,708
CB24,15136,4125,10352,659
CB25,8268,2307,5617,344
CB3,5614,1794,3356,464
CB4,17650,5815,9564,2271
CB5,4222,1302,2355,565
CB6,17456,4609,12064,783
CB7,11602,3531,7542,529
CB8,15566,5416,9309,841
CB9,13511,3627,9135,749
CF1,23125,9068,11568,2489
CF10,1861,807,807,247
CF11,3641,1499,1869,273
CF14,32584,9671,20886,2027
CF15,8096,2130,5684,282
CF2,31059,9940,15904,5215
CF23,6632,1892,4418,322
CF24,1370,440,708,222
CF3,18420,5390,11987,1043
CF31,20420,6086,13545,789
CF32,14109,4154,9309,646
CF33,6955,1991,4652,312
CF34,8654,2708,5592,354
CF35,7781,1870,5592,319
CF36,7148,2443,4405,300
CF37,17286,5517,10633,1136
CF38,9315,2391,6598,326
CF39,13140,4107,8484,549
CF4,252,85,155,12
CF40,8232,2582,5277,373
CF41,4867,1658,3047,162
