outcode,1 person,2 people,3 people,4 people,5 person plus
B64,2679,2564,1365,922,722
B65,3286,3294,1884,1351,869
B66,2929,2091,1549,1603,2209
B67,2519,2638,1593,1613,1385
B68,3619,3503,2098,1831,1329
B69,3273,3233,1993,1656,1172
B7,1087,576,453,377,619
B70,4000,3176,1990,1791,1955
B71,3670,3652,2071,1801,1316
B72,1725,1859,822,771,311
B73,2346,2934,1418,1263,505
B74,3656,4780,2048,2179,886
B75,2779,3699,1852,1846,726
B76,2453,2858,1254,1143,394
B77,5919,8578,4398,3324,1503
B78,2773,4045,1926,1374,564
B79,3113,3886,1747,1258,554
B8,2220,1967,1574,1774,4507
B80,1073,1332,601,458,194
B9,1271,1021,813,944,2190
B90,6008,6899,3434,3308,1300
B91,3801,4896,2222,2155,972
B92,4032,4511,2210,1943,961
B93,2186,2987,1216,1403,469
B94,658,1223,459,454,177
B95,1048,1211,407,334,115
B96,588,853,348,273,106
B97,4451,5338,2483,1912,860
B98,5059,6714,3462,2635,1383
BA1,7257,7693,2903,2528,973
BA10,669,809,325,242,115
BA11,4805,5997,2589,2082,864
BA12,4121,5396,1985,1386,595
BA13,2679,3554,1506,1178,525
BA14,6366,8028,3577,2979,1218
BA15,2075,2414,860,839,239
BA16,2050,2101,885,715,351
BA2,8230,10050,4430,4139,2019
BA20,2291,2417,886,702,264
BA21,4409,5254,2553,1981,855
BA22,2092,3351,1102,961,419
BA3,4053,5869,2624,2299,960
BA4,2185,2994,1240,1009,402
BA5,2958,3365,1097,945,399
BA6,1856,2285,874,549,233
BA7,650,676,240,157,71
BA8,626,974,322,263,118
BA9,982,1223,510,374,182
BB0,68,23,20,4,11
BB1,7160,7055,4119,3797,4644
BB10,5566,5488,2620,1948,1917
BB11,3805,3458,1855,1174,702
BB12,4692,5451,2398,1823,896
BB18,2462,2993,1255,901,415
BB2,7464,7207,3742,3149,2602
BB3,4932,4991,2259,1610,768
BB4,5791,6136,2864,2255,1115
BB5,8444,8239,4139,2801,2247
BB6,3296,3919,1672,1266,555
BB7,3474,4061,1713,1367,483
BB8,3714,3778,1604,1199,566
BB9,5096,4426,2294,1885,3065
BD1,2449,1100,550,405,627
BD10,4245,4592,2233,1649,853
BD11,1666,2178,895,819,280
BD12,2659,2878,1285,910,484
BD13,3914,4719,2219,1681,755
BD14,1105,1179,542,406,301
BD15,2057,2143,1057,868,870
BD16,4065,4423,1768,1403,565
BD17,3164,3247,1215,932,305
BD18,4071,3508,1644,1340,1048
BD19,3080,3474,1566,1223,448
BD2,3463,3211,1698,1486,1591
BD20,5181,6622,2469,2110,1088
BD21,3680,3040,1483,1166,1636
BD22,3385,4024,1670,1264,583
BD23,4677,5508,1779,1403,572
BD24,761,963,250,184,63
BD3,2218,1659,1344,1429,2996
BD4,4238,3582,2212,1620,1433
BD5,2765,1916,1369,1300,2371
BD6,3648,3860,2154,1652,1079
BD7,2574,1920,1420,1334,2476
BD8,2520,1643,1187,1226,2872
BD9,1662,1319,993,1066,2488
BH1,6250,4622,1874,1081,548
BH10,2949,3642,1649,1414,648
BH11,2373,3028,1456,1065,575
BH12,4789,5742,2701,2096,1023
BH13,1443,1806,377,296,105
BH14,3464,3820,1449,1268,445
BH15,5124,5455,2301,1764,794
BH16,1724,2550,1018,951,382
BH17,2556,3646,1711,1408,531
BH18,1154,1936,669,647,214
BH19,1814,2212,677,422,189
BH2,2445,1763,518,265,77
BH20,2520,3466,1253,1037,482
BH21,6205,9579,3692,3155,1236
BH22,3825,5522,1524,1154,495
BH23,7988,9589,3547,2884,1089
BH24,2894,4366,1454,1244,554
BH25,3843,5100,1478,1047,471
BH3,764,996,435,374,226
BH31,27,92,33,31,10
BH4,2043,1611,403,188,69
BH5,2310,1786,690,443,169
BH6,3639,3853,1511,1259,428
BH7,903,1229,640,569,240
BH8,3685,3831,2087,1591,780
BH9,2496,3202,1937,1925,1011
BL0,2512,3085,1382,1139,324
BL1,9470,8175,4512,3587,3192
BL11,67,23,9,2,5
BL2,6540,6863,3368,2454,1380
BL3,6984,6899,3953,3277,4192
BL4,4522,4064,2357,1822,1218
BL5,3519,4383,2128,1677,578
BL6,4084,4743,2159,1566,565
BL7,1735,2373,956,825,246
BL8,4148,5424,2502,2091,753
BL9,6911,6699,3365,2507,2042
BN1,13130,13052,5657,4445,1894
BN10,2675,3154,1379,1073,496
BN11,7841,5800,2172,1466,599
BN12,3083,4126,1477,1207,484
BN13,3646,4759,2201,1744,734
BN14,3591,4376,2145,1803,736
BN15,3871,4426,1873,1489,653
BN16,4441,5647,1849,1350,526
BN17,4377,4669,2199,1768,831
BN18,1829,2358,913,728,341
BN2,13724,13288,5889,4605,2461
BN20,4181,4463,1473,1215,515
BN21,5166,3711,1402,924,441
BN22,4175,4572,2251,1712,937
BN23,3947,4898,1920,1572,774
BN24,1046,1582,584,443,190
BN25,3845,4580,1432,1092,484
BN26,1948,2492,883,661,256
BN27,3892,5247,2087,1660,786
BN3,13675,12447,5252,4159,1493
BN4,7401,8773,4282,3739,1489
BN41,194,220,137,91,36
BN42,24,35,30,18,11
BN43,425,469,183,127,38
BN44,103,90,36,29,12
BN5,1011,1345,503,387,195
BN6,2082,2769,1164,1269,464
BN7,2877,3063,1392,1132,430
BN8,1748,2755,1023,959,394
BN9,1731,1934,952,726,371
BR1,7276,7886,4798,4091,2012
BR2,5595,6241,3761,3518,1228
BR3,6852,6802,3658,3174,1094
BR4,1554,2279,1248,1479,508
BR5,5619,6243,3996,3366,1634
BR6,4601,6063,3251,3238,1097
BR7,1976,2458,1342,1178,444
BR8,2661,3197,1755,1426,730
BS0,37,47,21,20,7
BS1,4441,3886,918,544,521
BS10,3965,4369,2472,2024,1181
BS11,2238,2420,1368,1051,631
BS12,8696,11514,5370,4948,1880
BS13,4107,4492,2494,1957,1140
BS14,3665,4656,2216,1910,839
BS15,9897,12805,5907,5118,1965
BS16,9568,11499,5823,5332,2623
BS17,5700,8734,3726,3343,1361
BS18,6122,8955,3643,3787,1331
BS19,4173,5992,2340,2313,812
BS2,2679,2691,1181,729,738
BS20,4282,5317,2175,2124,622
BS21,3444,3894,1430,1255,430
BS22,5225,6565,2784,2204,872
BS23,7259,5717,2096,1364,755
BS24,2497,4024,1879,1545,712
BS25,577,832,274,249,101
BS26,487,677,246,233,96
BS27,886,1118,445,386,151
BS28,310,598,190,184,81
BS3,5055,6516,2929,2380,874
BS31,227,259,118,100,27
BS32,174,270,175,158,50
BS34,513,766,499,390,172
BS35,48,127,87,75,20
BS36,23,40,21,23,4
BS37,228,212,150,107,49
BS39,95,124,83,47,20
BS4,5416,6482,3342,2894,1472
BS49,48,57,19,11,6
BS5,6943,6817,3470,2445,1732
BS6,4251,5228,1994,1996,1204
BS7,3688,4410,2439,2660,1354
BS8,3558,4104,1310,861,564
BS9,3161,4103,1713,1958,642
CA1,4530,3827,1788,1168,611
CA10,2121,3186,1046,834,376
CA11,3342,3949,1453,1107,504
CA12,1159,1396,410,322,134
CA13,2470,2965,1021,836,243
CA14,5835,5985,2450,1737,646
CA15,2409,2656,1110,829,326
CA16,877,1044,295,268,135
CA17,661,862,254,226,107
CA18,87,91,23,21,13
CA19,182,333,105,63,24
CA2,7224,6618,2770,1905,745
CA20,502,534,145,123,50
CA21,122,189,61,45,14
CA22,1378,1427,586,417,192
CA23,313,329,127,78,42
CA24,109,122,48,46,14
CA25,930,865,406,282,95
CA26,580,537,200,133,54
CA27,214,290,78,84,16
CA28,4313,4400,1827,1422,536
CA3,2128,2551,978,810,270
CA4,1449,2164,696,581,234
CA5,2617,3600,1194,987,465
CA6,1549,2074,709,512,282
CA7,1164,1370,500,415,173
CA8,902,942,299,221,121
CA9,337,375,121,76,48
CB1,9008,10279,4797,3975,2000
CB10,2213,2794,1190,1132,458
CB11,1753,2584,1154,1066,423
CB2,5159,6425,3062,2586,1155
CB23,3574,5111,2545,2713,1024
CB24,4126,5426,2452,2357,797
CB25,2296,3097,1345,1131,395
CB3,1797,1968,890,667,291
CB4,5811,5572,2742,2183,1400
CB5,1305,1398,673,529,319
CB6,4599,6481,2828,2520,1020
CB7,3538,4235,1774,1492,581
CB8,5422,5718,2143,1680,625
CB9,3633,4676,2331,1979,866
CF1,9067,6974,2934,2071,2043
CF10,815,793,150,69,45
CF11,1498,1330,460,223,121
CF14,9675,11060,5218,4793,1856
CF15,2137,2925,1389,1257,377
CF2,9934,9362,4633,4013,3119
CF23,1894,2125,1214,937,476
CF24,441,485,204,135,108
CF3,5401,5956,3272,2445,1381
CF31,6077,7287,3470,2522,1065
CF32,4146,5115,2412,1625,800
CF33,1995,2419,1193,889,432
CF34,2712,2987,1470,1007,472
CF35,1875,2969,1362,1115,445
CF36,2437,2719,1035,669,287
CF37,5529,5826,2956,2067,935
CF38,2397,3321,1693,1464,445
CF39,4099,4402,2259,1651,690
CF4,86,102,37,15,9
CF40,2580,2762,1490,947,453
CF41,1658,1591,855,518,259
CF42,2014,1895,884,663,291
CF43,1852,1665,797,589,289
CF44,5788,6447,3128,2095,927
CF45,2676,2775,1489,979,425
CF46,1905,2463,1124,821,301
CF47,3428,3256,1723,1216,562
CF48,3666,3846,2012,1333,535
CF5,8508,8939,4774,3514,1755
CF6,14581,15473,7085,5463,2304
CF61,238,251,98,58,22
CF62,464,713,368,305,114
CF63,78,196,131,124,45
CF64,115,152,53,67,22
CF7,3747,4906,2176,1912,629
CF72,225,381,276,289,68
CF8,9936,11518,5579,4000,1773
CF82,45,120,74,88,20
CF83,1641,1963,1051,846,339
CH1,6773,6265,2542,1839,912
CH2,4294,4872,2136,1686,630
CH25,142,57,9,8,1
CH26,34,61,25,15,7
CH27,86,84,46,28,22
CH28,118,95,31,38,12
CH29,98,58,23,10,5
CH3,4302,5705,2451,2289,729
CH30,57,52,33,29,9
CH31,80,55,13,21,8
CH32,71,46,35,13,11
CH33,69,55,18,11,2
CH34,102,100,87,66,34
CH4,4428,5548,2776,1930,654
CH41,5058,3253,1651,983,574
CH42,5600,4281,2372,1611,922
CH43,5619,4917,2345,1714,766
CH44,4971,3970,2226,1470,801
CH45,4824,4296,1874,1463,617
CH46,3520,3511,1727,1285,588
CH47,1442,1592,703,600,225
CH48,2197,2445,965,881,321
CH49,4385,4418,2215,1536,666
CH5,5221,6325,3161,2324,1011
CH6,2396,2785,1331,1064,429
CH60,1739,2396,883,761,248
CH61,2070,2548,1084,865,267
CH62,4256,4886,2212,1654,680
CH63,3389,4296,2007,1712,558
CH64,2534,3274,1125,887,361
CH65,4268,4302,2335,1601,727
CH66,4224,5297,2465,1859,599
CH7,6577,8654,3568,2758,1023
CH8,2526,2945,1334,987,480
CM0,2105,2937,1190,979,438
CM1,9111,10603,5088,4548,1917
CM11,2119,3158,1510,1586,597
CM12,2191,2749,1264,1338,399
CM13,3434,3953,1993,1769,635
CM14,3076,3078,1476,1271,491
CM15,2313,3245,1570,1555,608
CM16,2865,3627,1734,1597,633
CM17,2740,3506,2079,1695,717
CM18,3122,3226,1979,1640,870
CM19,2419,2791,1513,1326,720
CM2,7295,8487,3986,3739,1288
CM20,3331,3135,1894,1541,829
CM21,1395,1576,724,643,220
CM22,1804,2630,1424,1292,564
CM23,4397,5793,3063,2956,999
CM24,747,1049,551,507,185
CM3,5580,8726,3761,3466,1426
CM4,1145,1408,594,544,183
CM5,1067,1461,682,648,301
CM6,2755,3870,1901,1822,685
CM7,7304,9627,4762,3985,1723
CM8,4303,5304,2441,2106,924
CM9,4009,5461,2309,1951,763
CO1,4029,3492,1596,1044,520
CO10,6933,9238,3329,2596,1113
CO11,1833,2341,894,762,296
CO12,3455,3714,1460,1206,658
CO13,2148,2806,745,537,271
CO14,1248,1248,342,204,134
CO15,8562,7967,2671,1751,1135
CO16,3486,3974,1490,1146,679
CO2,4341,5303,2766,2254,1141
CO3,3691,4640,2216,2019,758
CO4,5762,6878,3608,3115,1392
CO5,3420,5000,1823,1596,633
CO6,3036,4469,1761,1709,608
CO7,4184,5807,2167,1839,774
CO8,173,244,81,81,33
CO9,3178,4224,1713,1470,680
CR0,20565,20319,12863,10010,6954
CR2,8070,10521,5870,5205,2544
CR3,7330,9368,5135,4716,1873
CR4,10291,10235,7689,6464,5757
CR5,100,158,118,121,52
CR6,22,54,14,16,8
CR7,354,320,209,180,170
CR8,139,154,86,69,25
CR9,26,33,23,29,26
CT1,4185,4149,2097,1545,944
CT10,3774,4636,1785,1365,652
CT11,5072,4447,2055,1429,684
CT12,2141,2780,1318,931,603
CT13,1398,1817,634,440,223
CT14,5453,6097,2349,1592,715
CT15,1558,2644,966,786,415
CT16,3525,3341,1545,1051,620
CT17,2308,2578,1299,981,500
CT18,1920,2824,1116,949,457
CT19,3784,4070,2106,1656,924
CT2,3359,4250,2163,1728,955
CT20,4454,3403,1232,888,409
CT21,2643,3071,933,712,315
CT3,1734,2841,1335,1097,537
CT4,1391,2226,920,773,368
CT5,4593,5838,2130,1685,699
CT6,5440,6214,2522,2066,1020
CT7,2131,2490,700,509,249
CT8,1441,1344,509,377,180
CT9,6275,6092,2862,2116,1244
CV1,5604,3515,1945,1435,1549
CV10,6963,8655,4434,3154,1598
CV11,4931,5969,2795,2255,1070
CV12,4313,5132,2500,1662,862
CV13,1197,2045,694,595,224
CV2,8450,8438,4960,3867,2601
CV21,5792,6096,3263,2533,1174
CV22,3838,5300,2503,2277,921
CV23,3161,5483,2292,1975,815
CV3,8149,8837,4865,4105,2331
CV31,4545,4809,2567,2039,1171
CV32,4663,5089,2084,1790,648
CV33,2336,3513,1513,1179,426
CV34,4763,5174,2511,2075,688
CV35,2920,4524,1826,1546,486
CV36,1691,2224,779,546,223
CV37,5940,7279,2850,2215,836
CV4,4170,4006,2190,1809,1068
CV5,6056,7090,3092,2643,1018
CV6,9326,9374,6111,5109,4180
CV7,2527,3310,1515,1336,574
CV8,3829,4769,1861,1760,500
CV9,2630,3221,1410,1119,507
CW1,6238,7096,3579,2399,1158
CW10,2150,2859,1290,934,374
CW11,3668,4755,1976,1476,470
CW12,4583,5841,2415,1802,676
CW2,5369,6645,3053,2294,1105
CW3,1421,2097,763,556,221
CW4,1098,1793,681,604,193
CW5,4401,5237,2010,1698,599
CW6,1423,2384,881,792,278
CW7,3958,5064,2655,1821,888
CW8,4990,6571,2841,2363,786
CW9,4258,5578,2488,1892,674
DA1,7133,7719,4933,4675,2278
DA10,1158,1358,933,723,385
DA11,4686,4771,2993,2634,1641
DA12,5090,5476,3226,2973,1881
DA13,1339,2336,964,950,361
DA14,3581,3407,1890,1479,689
DA15,2737,3642,2128,2120,858
DA16,3197,4214,2773,2833,1403
DA17,2328,2454,1608,1382,881
DA18,728,447,362,335,356
DA2,2337,2965,1683,1595,756
DA3,1825,2764,1102,1091,468
DA4,968,1215,561,496,212
DA5,1858,2670,1422,1496,562
DA6,1236,1358,848,719,299
DA7,3195,4253,2437,2278,995
DA8,3404,3449,2530,2112,1516
DA9,1725,1824,1052,835,347
DE1,5820,3524,1357,821,616
DE11,5935,7649,3466,2539,1081
DE12,2516,3824,1556,1157,500
DE13,5324,7654,3199,2622,1137
DE14,4037,3848,2078,1535,1417
DE15,3031,3593,1622,1193,623
DE2,13604,15467,7338,5731,3250
DE21,203,360,175,159,57
DE22,6367,7068,3335,2567,1097
DE23,5362,5567,3398,3142,3852
DE24,475,634,421,332,161
DE3,2106,3069,1209,1092,355
DE4,6559,8583,2749,2193,809
DE5,10803,13686,5230,4022,1444
DE55,4243,5234,2299,1605,598
DE56,695,857,395,432,137
DE6,5178,7418,2829,2281,846
DE65,503,634,432,378,155
DE7,15746,19533,8310,6217,2371
DE72,17,50,33,20,3
DE73,251,436,335,397,125
DE74,47,98,57,41,11
DE75,8,39,32,24,9
DH1,6786,7479,3073,2608,1375
DH2,5234,5568,2429,1628,533
DH3,3627,4445,1813,1277,437
DH4,4480,5747,2689,1858,598
DH5,2976,3275,1553,975,389
DH6,5387,5644,2614,1666,616
DH7,6700,6793,2967,1982,736
DH8,5955,6554,2950,2029,731
DH9,6108,6064,2672,1701,773
DH98,96,39,22,5,8
DL1,8622,8306,3669,2447,1208
DL10,3032,3984,1288,1045,374
DL11,528,861,226,187,55
DL12,2074,2455,758,551,209
DL13,2235,2628,960,579,246
DL14,6159,6471,2727,1815,768
DL15,3348,3560,1618,1023,460
DL16,3260,3550,1606,1069,339
DL17,3223,3117,1194,771,316
DL2,2131,3185,1265,1054,370
DL3,6327,6275,2553,1900,748
DL4,1791,1441,607,426,184
DL5,3943,4601,1956,1275,562
DL6,2729,3590,1230,926,365
DL7,1605,2337,862,679,219
DL8,2610,3582,1014,785,279
DL9,1014,1433,941,769,409
DN1,3028,1589,720,440,348
DN10,1868,2654,964,773,271
DN11,3886,5041,2191,1554,651
DN12,3463,3767,1792,1232,617
DN14,6091,8561,3592,2673,1125
DN15,4784,5612,2526,1965,1287
DN16,4493,4776,2371,1652,780
DN17,4457,5799,2474,1750,900
DN18,1880,2452,950,651,258
DN19,689,1118,405,302,138
DN2,3355,3483,1836,1425,749
DN20,2443,3543,1194,984,363
DN21,5560,6662,2604,1868,872
DN22,5247,6411,2416,1719,739
DN3,4022,5118,2131,1555,601
DN31,2804,2035,1006,551,312
DN32,4074,3684,1864,1245,758
DN33,2631,3295,1504,1134,565
DN34,2215,2568,1258,838,343
DN35,5329,5464,2265,1482,681
DN36,2406,3880,1334,1016,404
DN37,3423,4834,1759,1397,511
DN38,253,503,178,131,74
DN39,307,550,220,139,74
DN4,7118,7810,3649,2712,1345
DN40,1425,1726,749,580,286
DN41,11,36,38,20,8
DN5,5614,6650,3058,2168,816
DN6,3622,4476,2220,1463,728
DN7,2690,3382,1538,1148,515
DN8,2359,2790,1464,969,469
DN9,2048,3449,1401,1086,425
DT1,3722,3777,1375,1058,403
DT10,1658,2339,757,528,268
DT11,3531,5279,1774,1429,564
DT2,2965,4805,1469,1290,533
DT3,3607,4968,1641,1227,497
DT4,6073,5995,2289,1599,775
DT5,1732,2160,776,534,298
DT6,3686,4531,1232,900,377
DT7,906,1248,331,228,119
DT8,834,1230,320,262,106
DT9,3147,3793,1119,867,345
DY1,4919,4932,2854,2159,1407
DY10,5903,6549,2678,2048,907
DY11,4109,4938,2180,1703,747
DY12,2052,2867,810,618,256
DY13,3077,3758,1459,1024,435
DY14,958,1736,611,465,241
DY2,3728,3803,2266,1632,1415
DY3,4903,5639,2737,1960,776
DY4,5828,5431,3300,2607,1994
DY5,5700,6341,3131,2235,1223
DY6,3636,4954,2160,1696,574
DY7,967,1414,476,376,138
DY8,6792,7789,3312,2624,972
DY9,3438,3834,1835,1521,959
E1,12185,11161,4907,3823,4839
E10,4903,5321,3317,2738,2718
E11,6425,6675,3809,3082,2149
E12,2509,2458,2212,2420,3399
E13,4320,4072,3103,2890,3850
E14,14249,14053,6186,4242,4992
E15,6489,7191,3834,2748,2818
E16,6451,7360,4253,2777,2442
E17,10318,12402,7544,5790,4878
E18,2390,2533,1532,1349,578
E1W,169,121,29,34,59
E2,6364,6152,3033,1999,2190
E20,586,1225,631,297,251
E3,7517,7766,3885,2876,3115
E4,6835,7224,4603,4300,2608
E5,6596,5540,3371,2521,2625
E6,4507,4818,4032,4522,5999
E7,3075,3204,2477,2386,3610
E8,7309,7082,3310,1989,1338
E9,4752,4186,2601,1762,1307
EC1A,763,570,111,54,16
EC1M,655,569,116,54,40
EC1N,657,432,145,79,65
EC1R,1226,980,386,275,104
EC1V,3533,3073,1107,627,349
EC1Y,986,625,246,140,52
EC2A,315,306,50,16,5
EC2P,116,105,11,9,0
EC2Y,400,387,73,50,8
EC3N,75,72,8,1,1
EC4A,59,29,12,10,0
EC4Y,49,28,15,7,1
EN1,5267,5614,4009,3267,1987
EN10,1979,2585,1434,1310,577
EN11,2534,2890,1634,1525,619
EN2,3683,3746,2119,1848,769
EN3,4913,5200,4290,3532,3305
EN4,3281,3543,2338,2118,968
EN5,4625,4865,2864,2570,1155
EN6,3304,3959,2119,1930,788
EN7,2168,2713,1638,1610,718
EN8,4508,4463,2734,2213,1140
EN9,3001,3113,1701,1370,657
EX1,4711,4559,2125,1734,786
EX10,2955,3883,1047,723,372
EX11,1063,1619,612,577,277
EX12,1814,2170,564,382,158
EX13,2317,3283,1021,745,416
EX14,3033,4099,1311,1127,504
EX15,2763,3806,1580,1409,644
EX16,4488,6129,2064,1775,902
EX17,2676,3578,1273,1148,535
EX18,555,802,258,191,100
EX19,433,819,194,186,93
EX2,6179,7182,3053,2588,1109
EX20,2919,4103,1401,1141,604
EX21,464,884,249,207,110
EX22,1449,2170,719,580,353
EX23,2168,2818,944,768,361
EX3,766,801,201,167,46
EX31,3906,5556,1960,1640,730
EX32,3140,3518,1545,1221,572
EX33,1445,1821,685,645,227
EX34,2436,2453,898,680,357
EX35,258,328,67,57,15
EX36,1292,1710,568,442,250
EX37,297,483,170,139,53
EX38,1100,1588,541,435,225
EX39,5704,6803,2304,1666,810
EX4,6285,7079,3177,2509,1785
EX5,2384,3597,1470,1395,538
EX6,1921,2638,895,805,341
EX7,2237,2660,805,643,265
EX8,5373,6620,2241,1870,796
EX9,1079,1380,325,267,104
FY0,64,42,9,10,3
FY1,7561,4936,2300,1404,1142
FY2,4258,3995,1733,1020,493
FY3,4642,4759,2314,1546,664
FY4,7151,7278,3137,2090,847
FY5,7028,7853,2975,2010,723
FY6,4339,5535,1848,1279,468
FY7,3952,3956,1825,1211,609
FY8,8288,7895,2548,1835,674
GL1,6743,5468,2714,2029,1449
GL10,2051,2853,1160,1009,420
GL11,2483,3463,1319,1119,438
GL12,1481,2163,1000,910,342
GL13,703,934,387,308,129
GL14,2258,2776,1124,799,422
GL15,2780,4185,1515,1150,527
GL16,1885,2331,904,681,300
GL17,1469,2227,823,659,321
GL18,1222,1612,616,439,227
GL19,1036,1840,691,515,261
GL2,6060,8704,4143,3616,1428
GL20,3737,5031,1866,1639,571
GL3,4204,5568,2363,2026,779
GL4,5219,6823,3177,2598,1221
GL5,4810,5300,2107,1795,658
GL50,5830,4845,1509,1040,450
GL51,6925,7567,3354,2773,1185
GL52,6679,7787,3207,2886,982
GL53,2254,2687,1084,1205,353
GL54,3389,4700,1593,1344,491
GL55,830,1223,340,271,113
GL56,1439,1775,561,427,154
GL6,2814,3826,1361,1228,442
GL7,6132,8045,2994,2499,924
GL8,1332,1695,547,444,192
GL9,176,281,115,94,46
GU1,4734,5027,2432,2189,924
GU10,2844,4783,1988,2128,890
GU11,3182,3611,2020,1777,921
GU12,3338,4339,2233,1799,851
GU13,4044,5327,2472,2507,743
GU14,6033,7473,4049,3457,1789
GU15,4831,6758,3353,3238,1444
GU16,2151,2923,1527,1471,563
GU17,3209,5019,2423,2179,850
GU18,840,1189,504,437,138
GU19,769,896,423,384,131
GU2,2854,3672,2145,2102,953
GU20,455,695,325,279,85
GU21,5689,6742,3577,3513,1650
GU22,3790,4938,2449,2254,1158
GU23,801,1193,476,490,175
GU24,1335,2173,1144,1165,404
GU25,649,925,458,413,197
GU26,1121,1301,502,507,195
GU27,2051,2853,1235,1264,421
GU28,937,1238,418,346,138
GU29,1517,1794,565,488,174
GU3,944,1383,576,551,176
GU30,1151,1467,627,641,249
GU31,1798,2330,938,814,289
GU32,1470,1716,716,642,229
GU33,843,1329,524,497,188
GU34,3808,5588,2250,1890,759
GU35,2288,3472,1602,1280,541
GU4,1507,2002,897,859,302
GU47,15,29,11,19,7
GU5,1197,1691,738,711,299
GU51,403,656,452,545,142
GU52,83,134,120,146,69
GU6,1993,2531,927,842,320
GU7,2916,3580,1698,1532,452
GU8,1764,2382,1022,1060,418
GU9,3390,3905,1810,1846,683
HA0,3532,3984,3333,3159,4080
HA1,4772,4852,3318,2695,1901
HA2,4179,5099,4218,4179,3008
HA3,4987,6244,4945,4692,4597
HA4,5256,6507,4093,3697,1631
HA5,3981,5103,3148,3289,1474
HA6,2460,2799,1600,1425,673
HA7,3138,3823,2397,2391,1805
HA8,5257,6144,4518,4081,4129
HA9,4123,4601,3176,2845,3190
HD1,5865,3817,1852,1402,1778
HD2,3435,3452,1755,1497,1108
HD3,4751,4918,2174,1731,748
HD4,3810,3876,1663,1293,848
HD5,4357,4303,2026,1458,744
HD6,4382,4466,1809,1370,457
HD7,7053,9337,3791,3161,1028
HD8,3764,5444,2237,1919,623
HD9,40,52,14,16,4
HG1,6580,6410,2442,1624,543
HG2,4216,4803,2025,1932,635
HG3,3301,4908,1842,1637,602
HG4,3432,4363,1528,1287,487
HG5,2486,3373,1241,1120,340
HP1,3609,4079,2208,1868,648
HP10,2559,3423,1583,1555,619
HP11,2459,2378,1287,1061,728
HP12,2098,2041,1278,1101,1166
HP13,4520,4978,2830,2491,1676
HP14,1873,3120,1375,1248,518
HP15,1587,2349,1011,1145,396
HP16,1310,1975,832,845,319
HP17,3039,4332,1721,1564,562
HP18,1882,3229,1668,1655,688
HP19,3238,3509,1949,1555,1022
HP2,4963,5352,3072,2517,1283
HP20,2015,2013,1012,842,475
HP21,3974,4151,2295,1896,1096
HP22,2699,4216,2034,1850,669
HP23,2293,2843,1250,1220,466
HP3,3412,4446,2397,2075,917
HP4,2904,3484,1681,1652,478
HP5,3028,3513,1751,1673,808
HP6,1574,2235,1080,1301,394
HP7,1050,1329,640,727,186
HP8,599,980,428,518,170
HP9,1685,2206,1103,1248,456
HR1,5028,6007,2392,1974,791
HR2,4801,6107,2734,2114,1042
HR3,1235,1660,466,388,174
HR4,4146,4706,1921,1518,622
HR5,959,1198,367,277,141
HR6,2848,3449,1207,954,430
HR7,1227,1719,545,377,152
HR8,2127,2714,817,637,301
HR9,2861,3555,1254,911,387
HU1,2513,991,288,163,124
HU10,2693,3588,1364,1239,329
HU11,2075,3571,1071,772,349
HU12,3154,4493,1642,1251,478
HU13,2015,2503,1103,788,266
HU14,897,1509,617,575,182
HU15,2646,3942,1648,1424,419
HU16,2485,2949,1014,752,263
HU17,5973,7343,2569,2090,695
HU18,1171,1534,473,349,173
HU19,1014,1262,386,280,158
HU2,853,458,212,179,143
HU20,37,53,21,9,8
HU3,5145,3657,1913,1402,1011
HU4,3410,3593,1783,1176,541
HU5,7705,7424,3435,2160,1173
HU6,4190,4277,2196,1744,1282
HU7,5496,6640,3642,2804,1310
HU8,4765,5186,2457,1888,867
HU9,5852,5464,2802,1956,1057
HX1,4479,2997,1567,1397,1951
HX2,4932,5652,2540,1862,1013
HX3,6018,6341,2803,2073,824
HX4,1327,1743,774,589,211
HX5,1315,1344,567,433,212
HX6,2619,2827,1263,1000,386
HX7,2256,2156,782,570,221
IG1,4494,4388,4183,4230,5323
IG10,3789,4371,2553,2139,973
IG11,5343,4749,4053,3739,4298
IG2,2248,2369,2102,2252,2201
IG3,2040,1910,1824,1933,2649
IG4,529,643,508,618,779
IG5,1159,1303,1038,1198,1068
IG6,2795,2630,2059,2061,1536
IG7,1814,2363,1523,1359,934
IG8,3464,4004,2532,2437,1244
IG9,1456,1602,847,829,274
IP1,6210,6114,2931,2211,1251
IP10,1364,2040,736,610,243
IP11,4131,4376,1418,1058,484
IP12,3653,4601,1573,1311,504
IP13,2312,3610,1226,1030,469
IP14,5184,7539,2823,2445,992
IP15,631,608,128,95,50
IP16,1097,1220,388,296,136
IP17,1771,2405,660,507,258
IP18,796,880,201,131,54
IP19,1587,1881,546,414,204
IP2,4526,4496,2212,1687,939
IP20,1243,1632,540,443,163
IP21,1444,2460,696,593,268
IP22,2971,4144,1466,1045,466
IP23,736,1189,404,331,149
IP24,3345,4275,2235,1576,876
IP25,2521,3866,1361,978,494
IP26,1126,1779,676,526,283
IP27,2755,3064,1200,994,514
IP28,4236,4742,2027,1656,711
IP29,1007,1653,599,494,206
IP3,4573,5219,2535,1960,1110
IP30,1568,2726,909,755,323
IP31,2295,3407,1270,1045,446
IP32,2546,2670,1309,1031,399
