outcode,1 person,2 people,3 people,4 people,5 person plus
SK15,3832,4135,2076,1563,641
SK16,2682,2622,1302,994,440
SK17,4359,4786,1871,1444,654
SK2,3930,4360,2326,1745,737
SK22,76,50,16,10,2
SK23,17,22,20,16,8
SK3,3891,4019,2116,1481,696
SK4,5028,4847,2308,2162,869
SK5,4640,4154,2184,1468,722
SK6,6664,7780,3414,2722,971
SK7,4617,6330,2857,2705,854
SK8,6730,7679,3937,3783,1776
SK9,5559,5935,2619,2293,888
SL0,1298,1484,870,847,448
SL1,7217,7364,5483,4941,4501
SL2,4201,4603,3355,3198,3269
SL3,3968,4044,3182,3293,2314
SL4,5717,6142,3015,2633,1065
SL5,2449,3075,1568,1506,513
SL6,8236,10692,5557,5119,2313
SL7,2297,2914,1280,1391,454
SL8,856,1005,437,405,110
SL9,2028,2809,1363,1541,770
SM1,5451,5754,3677,3254,1408
SM2,3840,3714,2057,1730,729
SM3,1666,2098,1368,1543,727
SM4,3281,4022,2877,2612,1750
SM5,3659,4523,2966,2862,1344
SM6,4155,4015,2503,2284,1089
SM7,1714,2262,1120,1093,395
SN1,5056,4632,2508,2098,1428
SN10,4446,5754,2099,1645,663
SN11,3061,4571,1799,1491,579
SN12,3404,4608,1912,1610,674
SN13,2317,2973,1267,1089,376
SN14,3010,4525,2039,1804,675
SN15,3766,5018,2086,1670,691
SN16,1666,2287,959,879,311
SN17,21,44,24,18,10
SN2,7999,9547,4949,4227,2000
SN25,1888,2338,1650,1670,633
SN3,6458,7971,3651,3096,1588
SN38,118,139,62,61,25
SN4,3177,4483,1894,1589,565
SN5,3871,4940,2453,2014,808
SN6,2530,3573,1355,1219,472
SN7,1671,2239,966,791,329
SN8,3047,4021,1477,1306,535
SN9,1019,1374,446,375,144
SO1,16805,16537,7542,5851,3413
SO14,1816,1376,753,603,844
SO15,157,156,46,27,14
SO16,1264,1488,823,694,551
SO17,2208,1816,810,733,709
SO18,5450,5889,2677,2231,1060
SO19,7702,8150,3987,3107,1474
SO20,991,1741,587,496,226
SO21,2295,3748,1563,1562,629
SO22,3074,4229,1928,1969,888
SO23,3335,2967,1170,967,376
SO24,1201,1616,590,528,186
SO3,10502,14913,6209,5715,1926
SO30,262,397,260,293,79
SO31,103,235,134,131,26
SO32,60,146,118,127,46
SO4,14549,20131,7320,5849,2446
SO40,50,82,51,58,26
SO41,179,144,31,27,12
SO45,34,35,4,4,0
SO5,12513,17327,7454,6659,2422
SO50,177,252,139,137,58
SO51,318,477,209,176,45
SO53,181,387,267,293,63
SP1,3616,3708,1528,1266,466
SP10,5230,6364,2974,2378,1048
SP11,2997,4745,2245,1882,812
SP2,4381,4899,2088,1625,728
SP3,1596,2378,752,567,247
SP4,3246,5022,2673,2348,1018
SP5,2200,3895,1361,1150,510
SP6,1580,2453,752,714,261
SP7,1987,2474,842,737,333
SP8,1940,2526,830,711,259
SP9,594,1029,819,745,385
SR1,2419,1386,576,337,222
SR2,4993,4710,2371,1604,793
SR3,5305,5751,2787,1892,663
SR4,5473,5416,2952,1805,889
SR5,5272,5026,2734,1629,647
SR6,4176,4633,1928,1390,399
SR7,4502,4751,2280,1450,583
SR8,5436,5493,2523,1623,630
SS0,7502,6329,3257,2537,1322
SS1,4789,4377,2029,1458,813
SS11,2099,2971,1291,1174,469
SS12,2102,2629,1307,1269,467
SS13,3145,3102,1682,1265,759
SS14,3152,3215,2053,1677,999
SS15,4024,4253,2547,2035,1111
SS16,3416,3964,2177,1820,952
SS17,3132,4425,2372,2098,953
