outcode,In_Employment,Unemployed,Unemployment_pct,Retired
BS4,24461,1031,4.04,5868
BS49,124,6,4.62,47
BS5,25860,1427,5.23,4652
BS6,18288,643,3.4,3631
BS7,18667,732,3.77,3810
BS8,11594,391,3.26,2724
BS9,12439,345,2.7,6666
CA1,12318,537,4.18,4036
CA10,8404,216,2.51,4243
CA11,11418,342,2.91,5218
CA12,3450,82,2.32,2227
CA13,7542,203,2.62,4461
CA14,16098,734,4.36,7911
CA15,7194,305,4.07,3603
CA16,2641,99,3.61,1529
CA17,2193,48,2.14,1225
CA18,231,1,0.43,145
CA19,758,17,2.19,478
CA2,19213,813,4.06,7800
CA20,1222,35,2.78,904
CA21,437,13,2.89,270
CA22,3776,163,4.14,2089
CA23,881,43,4.65,414
CA24,381,17,4.27,134
CA25,2522,106,4.03,1138
CA26,1381,59,4.1,696
CA27,701,11,1.54,402
CA28,12388,532,4.12,5780
CA3,6941,172,2.42,3782
CA4,5316,109,2.01,3390
CA5,9070,251,2.69,5248
CA6,5530,174,3.05,2802
CA7,3744,116,3.01,1925
CA8,2268,95,4.02,1503
CA9,955,46,4.6,499
CB1,37336,1181,3.07,10092
CB10,9122,257,2.74,3572
CB11,8218,250,2.95,3419
CB2,22313,773,3.35,6926
CB23,19124,567,2.88,5556
CB24,18361,487,2.58,6492
CB25,9725,261,2.61,3917
CB3,6215,207,3.22,2248
CB4,21911,988,4.31,5239
CB5,4973,199,3.85,1083
CB6,20881,670,3.11,7920
CB7,13661,390,2.78,4656
CB8,17763,658,3.57,6308
CB9,16330,681,4.0,5492
CF1,23563,1564,6.22,5064
CF10,2236,87,3.75,205
CF11,4080,174,4.09,599
CF14,35096,1282,3.52,15605
CF15,8984,309,3.33,4117
CF2,30493,2008,6.18,8697
CF23,7217,310,4.12,2349
CF24,1483,68,4.38,183
CF3,18956,1097,5.47,6353
CF31,21531,946,4.21,9050
CF32,14181,667,4.49,6407
CF33,7020,366,4.96,2847
CF34,7803,468,5.66,4075
CF35,9164,319,3.36,3691
CF36,6062,313,4.91,5030
CF37,16517,933,5.35,7028
CF38,10478,392,3.61,4361
CF39,13048,656,4.79,5535
CF4,266,11,3.97,71
CF40,7780,492,5.95,3487
CF41,4563,243,5.06,2180
CF42,5064,379,6.96,2633
CF43,4250,309,6.78,2209
CF44,16954,881,4.94,8358
CF45,7602,444,5.52,3334
CF46,6548,324,4.71,3212
CF47,9675,549,5.37,3824
CF48,11036,550,4.75,4832
CF5,27247,1584,5.49,10368
CF6,44810,2229,4.74,21405
CF61,642,19,2.87,364
CF62,2618,79,2.93,490
CF63,845,24,2.76,184
CF64,472,15,3.08,174
CF7,14107,463,3.18,7078
CF72,1816,34,1.84,257
CF8,32238,1629,4.81,14142
CF82,547,12,2.15,82
CF83,6216,276,4.25,2475
CH1,18212,987,5.14,7095
CH2,15042,577,3.69,6497
CH25,160,18,10.11,27
CH26,154,4,2.53,74
CH27,270,19,6.57,81
CH28,265,10,3.64,161
CH29,102,0,0.0,185
CH3,16942,512,2.93,8568
CH30,253,6,2.32,32
CH31,123,5,3.91,127
CH32,171,9,5.0,33
CH33,147,7,4.55,52
CH34,468,21,4.29,56
CH4,16665,698,4.02,7014
CH41,9057,747,7.62,3008
CH42,13536,941,6.5,4680
CH43,14753,682,4.42,7126
CH44,11966,844,6.59,4882
CH45,12973,563,4.16,6470
CH46,10152,472,4.44,4912
CH47,4690,162,3.34,2800
CH48,6427,289,4.3,4253
CH49,12800,475,3.58,6988
CH5,20116,792,3.79,7977
CH6,8691,432,4.74,3589
CH60,5682,172,2.94,4411
CH61,6581,219,3.22,4435
CH62,14355,533,3.58,6326
CH63,12307,391,3.08,7229
CH64,7366,287,3.75,5512
CH65,13655,774,5.36,4413
CH66,15491,616,3.82,7395
CH7,23598,872,3.56,12538
CH8,8330,411,4.7,4021
CM0,8225,372,4.33,4178
CM1,36652,1439,3.78,12590
CM11,10673,365,3.31,4903
CM12,8933,311,3.36,4321
CM13,13466,476,3.41,5492
CM14,11199,484,4.14,3277
CM15,10577,405,3.69,5116
CM16,11936,504,4.05,5270
CM17,13764,546,3.82,3531
CM18,12504,689,5.22,3921
CM19,10182,599,5.56,3471
CM2,28906,1117,3.72,10921
CM20,12451,779,5.89,3172
CM21,5186,191,3.55,2103
CM22,9805,400,3.92,3320
CM23,21897,868,3.81,6566
CM24,3817,151,3.81,1180
CM3,26700,885,3.21,12308
CM4,4010,123,2.98,2308
CM5,4656,176,3.64,2122
CM6,13421,448,3.23,5029
CM7,32397,1362,4.03,11859
CM8,17292,760,4.21,6308
CM9,15960,611,3.69,7904
CO1,11252,680,5.7,2849
CO10,23525,1073,4.36,13307
CO11,6605,171,2.52,3316
CO12,9761,551,5.34,5620
CO13,4736,254,5.09,5407
CO14,2043,176,7.93,2475
CO15,15883,1373,7.96,14532
CO16,9480,583,5.79,6620
CO2,18327,870,4.53,4748
CO3,15059,506,3.25,6432
CO4,23818,1082,4.35,7149
CO5,12947,453,3.38,7677
CO6,12698,384,2.94,6758
CO7,15374,511,3.22,8718
CO8,631,25,3.81,337
CO9,12659,495,3.76,5530
CR0,83190,6170,6.9,19252
CR2,39849,1970,4.71,14048
CR3,34607,1438,3.99,12403
CR4,52339,4192,7.42,10945
CR5,773,34,4.21,90
CR6,139,8,5.44,60
CR7,1492,133,8.18,363
CR8,573,30,4.98,178
CR9,148,20,11.9,17
CT1,12304,807,6.16,4183
CT10,11395,504,4.24,8008
CT11,12914,838,6.09,5843
CT12,7693,459,5.63,3856
CT13,4182,198,4.52,2922
CT14,14773,719,4.64,9828
CT15,6852,271,3.8,3828
CT16,9831,667,6.35,4541
CT17,8005,572,6.67,2871
CT18,7732,308,3.83,4192
CT19,13283,807,5.73,5007
CT2,11896,557,4.47,5777
CT20,9677,702,6.76,4420
CT21,6612,313,4.52,5285
CT3,8743,360,3.95,3716
CT4,6222,225,3.49,3193
CT5,14207,636,4.28,9415
CT6,16736,752,4.3,10174
CT7,4730,238,4.79,4536
CT8,3583,215,5.66,2126
CT9,17579,1437,7.56,7816
CV1,11013,1487,11.9,2680
CV10,27814,1344,4.61,9799
CV11,19082,874,4.38,7974
CV12,14546,772,5.04,7423
CV13,5168,116,2.2,2941
CV2,30067,2047,6.37,9551
CV21,23133,945,3.92,6261
CV22,17167,552,3.12,7366
CV23,17123,511,2.9,6509
CV3,30954,1734,5.3,11999
CV31,17562,815,4.43,4730
CV32,15458,576,3.59,6390
CV33,10853,348,3.11,3862
CV34,17655,720,3.92,5873
CV35,12856,310,2.35,6014
CV36,5634,174,3.0,3115
CV37,20412,671,3.18,9819
CV4,13375,848,5.96,4664
CV5,21347,874,3.93,10111
CV6,39031,2629,6.31,10823
CV7,10227,452,4.23,4887
CV8,13307,436,3.17,7282
CV9,9538,396,3.99,4351
CW1,22963,1162,4.82,8030
CW10,8661,321,3.57,3410
CW11,13620,389,2.78,6024
CW12,16425,487,2.88,8061
CW2,21092,828,3.78,8244
CW3,5158,148,2.79,3149
CW4,4416,112,2.47,2894
CW5,14611,498,3.3,7353
CW6,6126,158,2.51,3615
CW7,16032,704,4.21,5669
CW8,19177,670,3.38,8801
CW9,16687,585,3.39,7001
DA1,33736,1676,4.73,8045
DA10,5968,308,4.91,901
DA11,19889,1260,5.96,5800
DA12,21558,1323,5.78,7451
DA13,6886,221,3.11,3751
DA14,11744,645,5.21,4995
DA15,14488,584,3.87,5470
DA16,19007,992,4.96,6226
DA17,10501,644,5.78,2927
DA18,2459,224,8.35,521
DA2,11528,467,3.89,4171
DA3,7850,236,2.92,4724
DA4,3962,156,3.79,1684
DA5,9783,363,3.58,4153
DA6,5356,254,4.53,1903
DA7,15773,702,4.26,7066
DA8,15233,1140,6.96,3686
DA9,7661,314,3.94,1174
DE1,10817,914,7.79,2805
DE11,23390,858,3.54,8403
DE12,10794,374,3.35,4727
DE13,21867,707,3.13,10417
DE14,15244,911,5.64,3559
DE15,10675,456,4.1,4819
DE2,47985,2637,5.21,19376
DE21,1211,43,3.43,321
DE22,21214,935,4.22,8963
DE23,24742,1772,6.68,7669
DE24,2915,106,3.51,374
DE3,8472,269,3.08,4575
DE4,20289,627,3.0,13183
DE5,36612,1259,3.32,18144
DE55,15033,620,3.96,6267
DE56,2754,89,3.13,1364
DE6,20531,628,2.97,10322
DE65,3074,62,1.98,354
DE7,55593,2156,3.73,25191
DE72,172,1,0.58,55
DE73,2301,81,3.4,314
DE74,391,9,2.25,38
DE75,192,2,1.03,32
DH1,18744,750,3.85,10708
DH2,14749,662,4.3,7464
DH3,11277,507,4.3,6025
DH4,15933,817,4.88,7212
DH5,8295,527,5.97,4221
DH6,15389,727,4.51,6710
DH7,17994,907,4.8,8760
DH8,18301,875,4.56,8189
DH9,15544,1013,6.12,7491
DH98,97,12,11.01,54
DL1,23127,1591,6.44,9870
DL10,10063,291,2.81,5742
DL11,1945,33,1.67,1161
DL12,5564,216,3.74,3823
DL13,6183,239,3.72,3845
DL14,16327,916,5.31,8418
DL15,9076,506,5.28,4641
DL16,9504,383,3.87,4386
DL17,7471,432,5.47,4048
DL2,8792,241,2.67,4311
DL3,17285,894,4.92,8541
DL4,3634,278,7.11,1837
DL5,11541,558,4.61,5969
DL6,9024,266,2.86,4903
DL7,6483,146,2.2,3278
DL8,8322,224,2.62,5273
DL9,7575,279,3.55,1150
DN1,5754,615,9.66,1109
DN10,6811,228,3.24,3798
DN11,13492,588,4.18,6440
DN12,10545,640,5.72,4368
DN14,24629,1088,4.23,10719
DN15,17336,1082,5.87,7370
DN16,14061,743,5.02,6336
DN17,14940,763,4.86,8062
DN18,6253,243,3.74,3205
DN19,2792,69,2.41,1486
DN2,11512,661,5.43,4184
DN20,8411,339,3.87,5244
DN21,16726,1011,5.7,8449
DN22,16557,682,3.96,8753
DN3,13855,460,3.21,7273
DN31,5713,489,7.88,1990
DN32,10932,842,7.15,3649
DN33,8966,441,4.69,4260
DN34,7349,365,4.73,3131
DN35,13823,721,4.96,7446
DN36,9113,259,2.76,5791
DN37,11994,363,2.94,6910
DN38,1174,47,3.85,630
DN39,1365,50,3.53,667
DN4,22975,1361,5.59,9911
DN40,4656,250,5.1,2370
DN41,201,4,1.95,27
DN5,18797,936,4.74,8211
DN6,12681,710,5.3,5271
DN7,9333,672,6.72,4438
DN8,8220,402,4.66,3495
DN9,9165,291,3.08,4732
DT1,9657,334,3.34,6013
DT10,5324,132,2.42,3751
DT11,13561,412,2.95,7200
DT2,11479,362,3.06,6989
DT3,11378,401,3.4,7712
DT4,15703,804,4.87,8891
DT5,5508,285,4.92,2862
DT6,9103,371,3.92,7449
DT7,2330,101,4.15,2217
DT8,2385,110,4.41,1980
DT9,8312,328,3.8,6147
DY1,16917,1435,7.82,5493
DY10,18435,936,4.83,8845
DY11,14143,645,4.36,6860
DY12,5967,256,4.11,4647
DY13,9351,389,3.99,5758
DY14,4373,152,3.36,2500
DY2,13171,1088,7.63,4559
DY3,16433,784,4.55,8671
DY4,19540,1892,8.83,6383
DY5,19580,1334,6.38,7369
DY6,13598,531,3.76,8075
DY7,3257,118,3.5,2285
DY8,22281,1026,4.4,10999
DY9,11834,711,5.67,5920
E1,44744,3576,7.4,4837
E10,25535,2061,7.47,3927
E11,28875,1961,6.36,6186
E12,16797,1545,8.42,3215
E13,24050,2312,8.77,3827
E14,54039,4252,7.29,4626
E15,31060,2651,7.86,3476
E16,30546,2453,7.43,2775
E17,55174,4046,6.83,7950
E18,10828,570,5.0,2549
E1W,474,40,7.78,23
E2,24877,1976,7.36,2614
E20,4872,227,4.45,75
E3,31063,2551,7.59,3258
E4,31109,2067,6.23,9820
E5,24967,2150,7.93,3774
E6,32121,3103,8.81,5257
E7,20261,1941,8.74,3573
E8,26170,1972,7.01,3014
E9,17098,1590,8.51,2381
EC1A,1709,84,4.68,186
EC1M,1646,72,4.19,214
EC1N,1250,121,8.83,213
EC1R,3045,288,8.64,509
EC1V,9314,684,6.84,1140
EC1Y,1965,151,7.14,458
EC2A,861,22,2.49,100
EC2P,308,12,3.75,18
EC2Y,941,51,5.14,363
EC3N,201,8,3.83,3
EC4A,92,2,2.13,6
EC4Y,85,3,3.41,8
EN1,23182,1523,6.16,7051
EN10,9305,408,4.2,3481
EN11,11100,476,4.11,3942
EN2,13712,704,4.88,5039
EN3,23241,2168,8.53,5433
EN4,14488,817,5.34,4879
EN5,18814,1093,5.49,6363
EN6,13420,641,4.56,6174
EN7,10918,463,4.07,3972
EN8,17365,1012,5.51,5339
EN9,11193,603,5.11,4220
EX1,15242,565,3.57,4758
EX10,6993,253,3.49,7414
EX11,4300,127,2.87,2595
EX12,3946,141,3.45,4128
EX13,7375,321,4.17,5367
EX14,10370,301,2.82,6068
EX15,12177,302,2.42,4803
EX16,16332,549,3.25,8060
EX17,10104,302,2.9,4742
EX18,1870,67,3.46,1215
EX19,1734,50,2.8,1152
EX2,23162,739,3.09,8596
EX20,10804,358,3.21,5787
EX21,1975,58,2.85,1322
EX22,5488,217,3.8,3169
EX23,6420,320,4.75,4416
EX3,2209,57,2.52,1407
EX31,14536,474,3.16,8163
EX32,10698,421,3.79,4455
EX33,4914,152,3.0,3026
EX34,6427,357,5.26,3766
EX35,737,27,3.53,452
EX36,4228,153,3.49,2470
EX37,1268,35,2.69,697
EX38,4045,148,3.53,2349
EX39,15989,725,4.34,10179
EX4,21614,888,3.95,7758
EX5,11109,315,2.76,4221
EX6,6968,197,2.75,3896
EX7,5869,240,3.93,4309
EX8,16263,628,3.72,10630
EX9,2346,71,2.94,2780
FY0,105,7,6.25,56
FY1,14223,1742,10.91,5335
FY2,10455,611,5.52,5845
FY3,13748,863,5.91,5306
FY4,18908,1172,5.84,9826
FY5,18231,773,4.07,12982
FY6,12216,409,3.24,9136
FY7,9677,801,7.64,5734
FY8,17409,797,4.38,14090
GL1,19929,1138,5.4,5522
GL10,8810,253,2.79,3640
GL11,9713,309,3.08,4697
GL12,7292,173,2.32,2993
GL13,2846,95,3.23,1265
GL14,7668,333,4.16,3651
GL15,10677,450,4.04,5595
GL16,6038,243,3.87,3484
GL17,5949,198,3.22,3242
GL18,4316,149,3.34,2314
GL19,4943,134,2.64,2673
GL2,30123,859,2.77,9541
GL20,14164,445,3.05,6470
GL3,16933,547,3.13,7119
GL4,21614,833,3.71,8452
GL5,15993,560,3.38,6902
GL50,14268,617,4.15,4835
GL51,23718,922,3.74,9374
GL52,24008,824,3.32,9739
GL53,8258,213,2.51,4139
GL54,12106,354,2.84,6415
GL55,2671,81,2.94,1811
GL56,4396,147,3.24,2354
GL6,10216,316,3.0,5660
GL7,22283,742,3.22,10741
GL8,4565,119,2.54,2100
GL9,853,13,1.5,387
GU1,17580,720,3.93,5060
GU10,14844,448,2.93,6702
GU11,15446,649,4.03,3657
GU12,15991,563,3.4,4752
GU13,18299,640,3.38,7491
GU14,29609,1238,4.01,8660
GU15,25123,1103,4.21,8737
GU16,10982,383,3.37,4008
GU17,16758,595,3.43,7215
GU18,3616,106,2.85,1727
GU19,3057,118,3.72,1142
GU2,14043,610,4.16,3964
GU20,2097,71,3.27,959
GU21,26402,1123,4.08,7900
GU22,18237,769,4.05,5868
GU23,3606,118,3.17,1679
GU24,9162,318,3.35,2719
GU25,3071,118,3.7,1274
GU26,4028,136,3.27,2086
GU27,9039,374,3.97,3675
GU28,3126,95,2.95,1826
GU29,4435,148,3.23,2561
GU3,4142,131,3.07,2156
GU30,4636,169,3.52,2123
GU31,6460,225,3.37,3418
GU32,5356,215,3.86,2217
GU33,3865,101,2.55,1953
GU34,16199,555,3.31,7433
GU35,11598,415,3.45,3675
GU4,6575,201,2.97,2544
GU47,109,5,4.39,14
GU5,5180,136,2.56,2429
GU51,3283,104,3.07,360
GU52,856,28,3.17,32
GU6,6787,201,2.88,4021
GU7,12153,417,3.32,4161
GU8,7633,229,2.91,3349
GU9,12947,473,3.52,5180
HA0,28023,1918,6.41,5929
HA1,23192,1537,6.22,4831
HA2,28144,1907,6.35,7568
HA3,36094,2173,5.68,11000
HA4,27101,1304,4.59,8941
HA5,20873,1009,4.61,8388
HA6,10904,447,3.94,4162
HA7,17770,998,5.32,5901
HA8,32769,2164,6.19,8277
HA9,25848,1941,6.98,5288
HD1,12907,1242,8.78,4369
HD2,11257,789,6.55,4300
HD3,15149,600,3.81,6028
HD4,10920,657,5.68,5013
HD5,12575,706,5.32,5706
HD6,12299,527,4.11,6263
HD7,26446,874,3.2,12283
HD8,15255,454,2.89,8029
HD9,148,3,1.99,45
HG1,19014,697,3.54,7551
HG2,14613,435,2.89,6904
HG3,13793,357,2.52,6499
HG4,11913,349,2.85,6244
HG5,8920,257,2.8,5021
HP1,14883,605,3.91,4646
HP10,11490,394,3.32,4729
HP11,10074,566,5.32,1991
HP12,10093,608,5.68,2355
HP13,20692,1134,5.2,5092
HP14,10412,365,3.39,4024
HP15,7564,224,2.88,3866
HP16,6038,205,3.28,2896
HP17,12603,413,3.17,6099
HP18,12295,421,3.31,3150
HP19,14308,645,4.31,3017
HP2,20103,979,4.64,6028
HP20,7797,325,4.0,2099
HP21,16461,670,3.91,4794
HP22,14522,427,2.86,5422
HP23,9359,322,3.33,3858
HP3,16811,772,4.39,5017
HP4,11547,392,3.28,4907
HP5,12741,581,4.36,4398
HP6,7546,262,3.36,3212
HP7,4505,164,3.51,1921
HP8,3163,91,2.8,1508
HP9,7573,277,3.53,3436
HR1,17659,631,3.45,8318
HR2,18591,732,3.79,7529
HR3,3946,109,2.69,2380
HR4,14052,479,3.3,6374
HR5,2945,91,3.0,1742
HR6,8845,338,3.68,4904
HR7,3938,161,3.93,2403
HR8,6493,236,3.51,4092
HR9,8758,348,3.82,5473
HU1,3309,378,10.25,738
HU10,9423,297,3.06,5612
HU11,7720,287,3.58,5163
HU12,11072,409,3.56,6800
HU13,7525,275,3.53,3162
HU14,4139,78,1.85,2361
HU15,11730,314,2.61,5212
HU16,7003,245,3.38,4813
HU17,19061,633,3.21,10634
HU18,2944,142,4.6,2795
HU19,2278,197,7.96,2010
HU2,1460,186,11.3,438
HU20,124,7,5.34,103
HU3,12735,1360,9.65,3022
HU4,10364,621,5.65,4547
HU5,22675,1390,5.78,7297
HU6,12399,1184,8.72,4690
HU7,21626,1332,5.8,6671
HU8,15621,965,5.82,6248
HU9,15929,1390,8.03,5783
HX1,11768,1108,8.61,4144
HX2,16123,815,4.81,6947
HX3,18188,812,4.27,8229
HX4,5263,155,2.86,2130
HX5,3861,195,4.81,1561
HX6,8771,416,4.53,3166
HX7,5882,256,4.17,2750
IG1,29793,2444,7.58,5857
IG10,16535,891,5.11,5225
IG11,27623,2424,8.07,3915
IG2,15830,1033,6.13,3745
IG3,14502,1208,7.69,3238
IG4,4595,297,6.07,1292
IG5,7765,458,5.57,2471
IG6,14297,928,6.1,3708
IG7,10358,541,4.96,3176
IG8,16942,969,5.41,5348
IG9,6151,269,4.19,1979
IP1,20535,1177,5.42,6859
IP10,5535,165,2.89,2713
IP11,10315,452,4.2,7042
IP12,11564,547,4.52,7106
IP13,8966,280,3.03,5199
IP14,21354,679,3.08,9710
IP15,1116,36,3.12,1120
IP16,2823,141,4.76,1855
IP17,5024,173,3.33,3633
IP18,1404,70,4.75,1659
IP19,4021,154,3.69,3156
IP2,14088,864,5.78,5401
IP20,3860,149,3.72,2425
IP21,5535,162,2.84,3566
IP22,10441,342,3.17,5970
IP23,2895,97,3.24,1801
IP24,15173,615,3.9,4814
IP25,9638,388,3.87,5633
IP26,4651,155,3.23,2371
IP27,9429,279,2.87,3632
IP28,15479,489,3.06,4928
IP29,4192,124,2.87,2485
IP3,17323,798,4.4,5878
IP30,6868,218,3.08,3609
IP31,9137,248,2.64,4971
IP32,9293,320,3.33,2713
IP33,9745,388,3.83,5600
IP4,17357,705,3.9,6233
IP5,8196,220,2.61,3946
IP6,8237,177,2.1,3987
IP7,7310,249,3.29,3961
IP8,4979,144,2.81,2149
IP9,5042,115,2.23,3156
KT1,12713,784,5.81,2776
KT10,10975,408,3.58,4275
KT11,7380,302,3.93,3245
KT12,20157,865,4.11,6398
KT13,10522,453,4.13,3573
KT14,6694,257,3.7,2277
KT15,14824,560,3.64,4988
KT16,9818,452,4.4,3463
KT17,14603,576,3.79,5449
KT18,9445,307,3.15,3793
KT19,18227,725,3.83,5848
KT2,15740,779,4.72,4203
KT20,8988,307,3.3,4372
KT21,6502,200,2.98,3247
KT22,11361,451,3.82,4664
KT23,4516,174,3.71,2760
KT24,3565,115,3.12,1915
KT3,19317,982,4.84,5771
KT4,14032,655,4.46,4677
KT5,10845,503,4.43,3121
KT6,16732,731,4.19,3675
KT7,4467,164,3.54,1411
KT8,10161,431,4.07,3455
KT9,10142,438,4.14,2935
L1,6035,389,6.06,594
L10,7535,300,3.83,3076
L11,12920,964,6.94,4233
L12,14787,720,4.64,5925
L13,13741,1090,7.35,4702
L14,12076,724,5.66,4155
L15,12073,847,6.56,3711
L16,6755,213,3.06,3165
L17,11908,642,5.12,4104
L18,11383,403,3.42,4976
L19,10126,522,4.9,3910
L2,1859,102,5.2,91
L20,15678,1355,7.96,5407
L21,10328,688,6.25,3630
L22,7250,391,5.12,2790
L23,13270,459,3.34,6935
L24,7386,540,6.81,2382
L25,14135,657,4.44,7694
L26,6693,375,5.31,2415
L27,2279,196,7.92,1030
L28,2143,201,8.58,879
L3,6042,468,7.19,1201
L30,8742,546,5.88,3340
L31,14419,506,3.39,7797
L32,9181,583,5.97,3163
L33,7480,506,6.34,2028
L34,7911,358,4.33,2990
L35,13637,601,4.22,6602
L36,16623,1005,5.7,6043
L37,9648,321,3.22,7238
L38,977,30,2.98,750
L39,11876,359,2.93,7071
L4,16142,1524,8.63,5709
L40,9338,274,2.85,4935
L5,3773,398,9.54,1641
L6,7608,883,10.4,2329
L67,88,20,18.52,7
L68,286,12,4.03,50
L69,1958,210,9.69,394
L7,4827,518,9.69,1232
L70,33,3,8.33,15
L8,9106,1151,11.22,2394
L9,12408,836,6.31,3962
LA1,23209,948,3.92,7944
LA10,1754,39,2.18,1001
LA11,4927,139,2.74,3974
LA12,9597,278,2.82,5578
LA13,10057,332,3.2,4820
LA14,14874,789,5.04,7239
LA15,3567,137,3.7,1581
LA16,1601,36,2.2,739
LA17,536,18,3.25,376
LA18,3624,150,3.97,2085
LA19,345,6,1.71,190
LA2,10375,177,1.68,5882
LA20,535,20,3.6,319
LA21,694,10,1.42,363
LA22,2492,58,2.27,1207
LA23,3772,115,2.96,2081
LA3,11060,537,4.63,5326
LA4,9890,550,5.27,6321
LA5,7420,169,2.23,5225
LA6,5279,133,2.46,3270
LA7,2082,48,2.25,1430
LA8,4150,82,1.94,2340
LA9,14978,394,2.56,7375
LD1,5439,225,3.97,3438
LD2,2598,69,2.59,1413
LD3,8773,261,2.89,4499
LD4,329,10,2.95,213
LD5,331,15,4.34,244
LD6,1180,29,2.4,719
LD7,2170,69,3.08,1256
LD8,1406,55,3.76,1149
LE1,6956,655,8.61,917
LE10,26373,902,3.31,11103
LE11,24663,1239,4.78,9589
LE12,34096,975,2.78,14720
LE13,13681,491,3.46,6093
LE14,9250,260,2.73,4391
LE15,16430,509,3.0,8567
LE16,18931,554,2.84,8760
LE17,11453,319,2.71,4963
LE18,15578,704,4.32,7315
LE19,9724,290,2.9,3461
LE2,49905,3204,6.03,16066
LE3,48860,2955,5.7,14413
LE4,46333,2841,5.78,15304
LE5,38502,2486,6.07,10500
LE55,291,4,1.36,83
LE6,40451,1346,3.22,18186
LE65,467,6,1.27,58
LE67,3255,93,2.78,780
LE7,23548,660,2.73,10188
LE8,19280,585,2.94,8629
LE9,26953,809,2.91,11576
LL11,21256,821,3.72,8534
LL12,11261,430,3.68,6449
LL13,13976,741,5.03,5501
LL14,14781,720,4.64,6408
LL15,5297,165,3.02,2677
LL16,7023,198,2.74,3449
LL17,2659,81,2.96,1419
LL18,16045,1097,6.4,8999
LL19,7598,416,5.19,5340
LL20,3188,124,3.74,1786
LL21,3053,80,2.55,1445
LL22,7619,406,5.06,5525
LL23,1762,52,2.87,756
LL24,1212,35,2.81,501
LL25,205,14,6.39,113
LL26,2001,64,3.1,966
LL27,291,14,4.59,150
LL28,5754,273,4.53,4534
LL29,7693,533,6.48,3478
LL30,8582,544,5.96,6567
LL31,4136,209,4.81,2153
LL32,2736,107,3.76,1616
LL33,1908,89,4.46,1037
LL34,1831,97,5.03,946
LL35,405,18,4.26,337
LL36,1667,68,3.92,1349
LL37,276,13,4.5,227
LL38,206,18,8.04,295
LL39,127,9,6.62,93
LL40,1909,73,3.68,1133
LL41,2599,161,5.83,1285
LL42,883,77,8.02,529
LL43,189,13,6.44,169
LL44,274,8,2.84,278
LL45,359,24,6.27,320
LL46,727,41,5.34,613
LL48,1280,47,3.54,711
LL49,1596,89,5.28,1025
LL51,574,23,3.85,285
LL52,1166,33,2.75,977
LL53,6899,276,3.85,3719
LL54,5229,219,4.02,2661
LL55,9648,454,4.49,4059
LL56,1182,46,3.75,406
LL57,9338,632,6.34,3402
LL58,1498,78,4.95,1269
LL59,2369,76,3.11,1341
LL60,1573,42,2.6,685
LL61,2247,102,4.34,1576
LL62,1168,45,3.71,714
LL63,642,35,5.17,475
LL64,261,12,4.4,160
LL65,9891,646,6.13,5227
LL66,780,42,5.11,552
LL67,328,26,7.34,299
LL68,1950,136,6.52,1384
LL69,131,8,5.76,79
LL70,130,7,5.11,116
LL71,871,37,4.07,469
LL72,202,10,4.72,211
LL73,217,12,5.24,140
LL74,859,24,2.72,1009
LL75,589,28,4.54,408
LL76,170,5,2.86,125
LL77,2657,118,4.25,1214
LN1,14139,607,4.12,6230
LN10,2874,80,2.71,2800
LN11,12911,591,4.38,8351
LN12,3716,401,9.74,5976
LN13,3086,166,5.1,2606
LN2,19217,974,4.82,7924
LN3,7413,238,3.11,4466
LN4,19232,631,3.18,9951
LN5,16234,667,3.95,5858
LN6,28461,1005,3.41,12171
LN7,2971,105,3.41,1761
LN8,3370,142,4.04,2210
LN9,3856,162,4.03,2507
LS1,6021,328,5.17,602
LS10,18090,1238,6.41,4479
LS11,16344,1472,8.26,3518
LS12,19923,1649,7.64,5613
LS13,18418,1030,5.3,5429
LS14,17774,1154,6.1,5888
LS15,15927,692,4.16,8061
LS16,18251,777,4.08,8030
LS17,20346,841,3.97,8868
LS18,10550,330,3.03,4001
LS19,9617,333,3.35,4235
LS2,2871,232,7.48,186
LS20,6169,163,2.57,2969
LS21,8391,262,3.03,4537
LS22,7174,224,3.03,4892
LS23,4200,115,2.67,2409
LS24,6426,192,2.9,2805
LS25,21354,678,3.08,10023
LS26,15120,591,3.76,6590
LS27,18894,736,3.75,6574
LS28,19058,644,3.27,7115
LS29,14343,432,2.92,8735
LS3,471,66,12.29,89
LS4,4462,292,6.14,743
LS5,3555,219,5.8,755
LS6,14589,930,5.99,3250
LS7,13722,1065,7.2,3123
LS8,20851,1570,7.0,5835
LS9,15770,1692,9.69,3364
LU1,20698,2206,9.63,4361
LU2,30543,1803,5.57,8472
LU3,26478,1859,6.56,8131
LU4,21728,1624,6.95,5654
LU5,21234,1007,4.53,6417
LU6,15657,593,3.65,6301
LU7,30757,1030,3.24,10890
M1,7595,472,5.85,456
M10,19790,1695,7.89,5801
M11,9256,898,8.84,1967
M12,7577,921,10.84,1390
M13,6948,812,10.46,1167
M14,15015,1706,10.2,2894
M15,11271,830,6.86,859
M16,16128,1292,7.42,3311
M17,1194,73,5.76,241
M18,9053,1038,10.29,2224
M19,15469,1174,7.05,3633
M2,215,8,3.59,8
M20,24739,1179,4.55,5254
M21,14735,660,4.29,3232
M22,18873,1538,7.54,5463
M23,14627,1009,6.45,4263
M24,23596,1424,5.69,8784
M25,25747,1223,4.53,8817
M26,15795,835,5.02,5329
M27,20627,1083,4.99,7481
