outcode,In_Employment,Unemployed,Unemployment_pct,Retired
SW6,36402,2110,5.48,5978
SW7,5750,282,4.68,1203
SW8,19096,1433,6.98,2271
SW9,22788,1906,7.72,2445
SY1,14567,808,5.26,4963
SY10,9959,292,2.85,5652
SY11,11297,487,4.13,5113
SY12,3754,142,3.64,2275
SY13,10067,387,3.7,5186
SY14,2565,93,3.5,1204
SY15,3852,83,2.11,1954
SY16,7347,339,4.41,3210
SY17,1736,42,2.36,960
SY18,1888,83,4.21,1079
SY19,395,16,3.89,288
SY2,8792,438,4.75,4544
SY20,3239,104,3.11,1561
SY21,8068,304,3.63,4009
SY22,2801,96,3.31,1363
SY23,10850,456,4.03,5240
SY24,1975,50,2.47,1073
SY25,1354,59,4.18,817
SY3,16426,568,3.34,8563
SY4,11672,367,3.05,5873
SY5,10005,269,2.62,4897
SY6,3439,118,3.32,3074
SY7,4336,128,2.87,2757
SY8,7575,271,3.45,5267
SY9,840,32,3.67,575
TA1,20839,812,3.75,9590
TA10,4869,131,2.62,3117
TA11,3835,126,3.18,2556
TA12,2783,75,2.62,1679
TA13,1855,72,3.74,1488
TA14,1482,63,4.08,908
TA15,209,6,2.79,131
TA16,898,22,2.39,611
TA17,305,5,1.61,253
TA18,4172,161,3.72,2575
TA19,5624,201,3.45,3636
TA2,15209,460,2.94,5270
TA20,9413,365,3.73,5452
TA21,10160,357,3.39,5126
TA22,1033,24,2.27,796
TA23,2886,100,3.35,2267
TA24,6649,270,3.9,5875
TA3,5656,169,2.9,3720
TA4,7865,251,3.09,4717
TA5,5831,168,2.8,3047
TA6,25803,1072,3.99,8756
TA7,6693,196,2.85,4010
TA8,6956,291,4.02,5586
TA9,5273,257,4.65,2746
TD12,570,21,3.55,471
TD15,6711,350,4.96,4351
TF1,21693,1076,4.73,7967
TF10,9916,286,2.8,5325
TF11,7226,260,3.47,2335
TF12,2666,136,4.85,1523
TF13,1491,44,2.87,1148
TF2,17892,825,4.41,6690
TF3,12979,773,5.62,3640
TF4,9440,394,4.01,2699
TF5,2492,76,2.96,947
TF6,1668,45,2.63,1009
TF7,7749,622,7.43,3320
TF8,299,16,5.08,151
TF9,10707,377,3.4,5474
TN1,8746,407,4.45,1768
TN10,7654,302,3.8,4112
TN11,8698,299,3.32,3825
TN12,14543,494,3.29,6062
TN13,12740,426,3.24,4796
TN14,7454,246,3.19,3263
TN15,10049,376,3.61,5022
TN16,8981,311,3.35,3972
TN17,6376,202,3.07,3220
TN18,3384,121,3.45,1720
TN19,2719,96,3.41,1418
TN2,13352,530,3.82,5356
TN20,1904,69,3.5,1138
TN21,7575,249,3.18,4073
TN22,12287,379,2.99,5745
TN23,23089,1111,4.59,5541
TN24,16859,698,3.98,6006
TN25,7882,233,2.87,3461
TN26,5693,227,3.83,3389
TN27,4938,178,3.48,2697
TN28,3550,160,4.31,3011
TN29,4464,253,5.36,3767
TN3,6878,234,3.29,3332
TN30,3943,167,4.06,3053
TN31,5878,297,4.81,4282
TN32,2036,66,3.14,1025
TN33,5260,190,3.49,3293
TN34,15070,1041,6.46,7171
TN35,7180,344,4.57,3992
TN36,879,41,4.46,795
TN37,10029,625,5.87,3567
TN38,10476,665,5.97,4550
TN39,10749,587,5.18,9688
TN4,12663,484,3.68,3980
TN40,5916,291,4.69,5108
TN5,3647,150,3.95,1840
TN6,11278,400,3.43,5894
TN7,869,26,2.91,456
TN8,5905,205,3.36,2293
TN9,8470,333,3.78,2238
TQ1,15200,920,5.71,8997
TQ10,1777,56,3.06,1078
TQ11,2280,83,3.51,1159
TQ12,29164,968,3.21,13716
TQ13,8775,270,2.99,5544
TQ14,7769,362,4.45,6132
TQ2,14449,708,4.67,6910
TQ3,14315,678,4.52,8195
TQ4,7954,366,4.4,6117
TQ5,7095,383,5.12,6297
TQ6,3519,120,3.3,2754
TQ7,7531,248,3.19,5133
TQ8,629,29,4.41,548
TQ9,7370,292,3.81,4196
TR1,11034,440,3.83,5152
TR10,6329,308,4.64,2670
TR11,12066,542,4.3,7116
TR12,4091,174,4.08,2834
TR13,9268,342,3.56,4846
TR14,13393,578,4.14,6506
TR15,10738,470,4.19,4450
TR16,6932,218,3.05,3577
TR17,959,32,3.23,680
TR18,8412,552,6.16,5364
TR19,3874,146,3.63,2676
TR2,4512,120,2.59,2570
TR20,3289,98,2.89,2180
TR21,828,12,1.43,393
TR22,96,0,0.0,35
TR24,104,3,2.8,13
TR25,79,0,0.0,22
TR26,4541,217,4.56,3198
TR27,5970,287,4.59,3302
TR3,4971,129,2.53,3484
TR4,5263,143,2.65,2136
TR5,1652,59,3.45,923
TR6,1602,60,3.61,953
TR7,10952,588,5.1,4711
TR8,4737,175,3.56,2030
TR9,3343,145,4.16,1440
TS1,5728,943,14.14,1657
TS10,15718,990,5.93,8090
TS11,4477,220,4.68,3625
TS12,8912,499,5.3,5695
TS13,3739,263,6.57,2430
TS14,7625,371,4.64,5333
TS15,6760,267,3.8,3925
TS16,5170,184,3.44,2723
TS17,22066,1127,4.86,7029
TS18,11324,1020,8.26,4357
TS19,13788,1077,7.25,6804
TS2,330,62,15.82,104
TS20,8614,555,6.05,4337
TS21,5503,202,3.54,2854
TS22,4837,154,3.09,2952
TS23,12036,689,5.41,5232
TS24,9053,989,9.85,4301
TS25,15413,1054,6.4,8091
TS26,9881,547,5.25,4402
TS27,4283,207,4.61,2465
TS28,2320,108,4.45,906
TS29,2354,137,5.5,1170
TS3,10225,1215,10.62,3798
TS4,7070,597,7.79,2356
TS5,15742,920,5.52,7033
TS6,11302,987,8.03,5685
TS7,9978,433,4.16,6247
TS8,7975,461,5.46,3964
TS9,4905,196,3.84,3951
TW1,16101,700,4.17,3920
TW10,9915,472,4.54,2991
TW11,12261,610,4.74,3772
TW12,10856,553,4.85,4178
TW13,18630,1394,6.96,3852
TW14,15433,1225,7.35,3484
TW15,15500,717,4.42,5411
TW16,10812,575,5.05,3572
TW17,6302,246,3.76,3168
TW18,13828,767,5.26,4552
TW19,8623,580,6.3,2435
TW2,14937,765,4.87,4631
TW20,9316,533,5.41,3011
TW3,24167,1954,7.48,4786
TW4,13008,1233,8.66,2851
TW5,13337,1226,8.42,3326
TW6,861,116,11.87,111
TW7,19679,1301,6.2,4302
TW8,13046,929,6.65,2415
TW9,10535,505,4.57,2807
UB1,18837,1860,8.99,4818
UB10,19597,1078,5.21,5969
UB11,685,53,7.18,103
