outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
L21,173029,815.0,5.65
L22,250471,830.0,3.98
L23,394973,1681.0,5.11
L24,266172,1181.0,5.32
L25,405577,1250.0,3.7
L26,332533,1023.0,3.69
L27,178746,838.0,5.63
L28,102455,791.0,9.26
L3,204897,1170.0,6.85
L30,190274,1278.0,8.06
L31,320433,1189.0,4.45
L32,194228,859.0,5.31
L33,169110,774.0,5.49
L34,325061,1975.0,7.29
L35,314552,935.0,3.57
L36,236642,1290.0,6.54
L37,534051,2777.0,6.24
L38,416456,,
L39,492013,728.0,1.78
L4,126389,884.0,8.39
L40,429761,1276.0,3.56
L5,146677,1273.0,10.41
L6,157571,1247.0,9.5
L7,201532,991.0,5.9
L8,203311,1023.0,6.04
L9,165887,866.0,6.26
LA1,232678,950.0,4.9
LA10,298087,,
LA11,371144,923.0,2.98
LA12,420140,1102.0,3.15
LA13,293096,1095.0,4.48
LA14,189707,781.0,4.94
LA15,216897,875.0,4.84
LA16,296030,,
LA17,292206,,
LA18,253265,653.0,3.09
LA19,510839,,
LA2,443377,1030.0,2.79
LA21,779091,1950.0,3.0
LA22,590207,899.0,1.83
LA23,473778,803.0,2.03
LA3,213176,874.0,4.92
LA4,210594,1194.0,6.8
LA5,360847,921.0,3.06
LA6,391608,1365.0,4.18
LA7,410935,998.0,2.91
LA8,506118,1302.0,3.09
LA9,338896,874.0,3.09
LD1,294612,567.0,2.31
LD2,330743,400.0,1.45
LD3,512913,964.0,2.26
LD6,319568,,
LD7,332890,1409.0,5.08
LD8,441966,798.0,2.17
LE1,166421,1038.0,7.48
LE10,347596,1019.0,3.52
LE11,287069,1027.0,4.29
LE12,403990,1093.0,3.25
LE13,308427,870.0,3.38
LE14,601995,1324.0,2.64
LE15,596217,1440.0,2.9
LE16,448928,1584.0,4.23
LE17,485426,1376.0,3.4
LE18,287047,1025.0,4.29
LE19,345795,957.0,3.32
LE2,322704,1057.0,3.93
LE3,269712,1016.0,4.52
LE4,292751,1128.0,4.62
LE5,315720,1242.0,4.72
LE6,470597,928.0,2.37
LE65,372440,932.0,3.0
LE67,363485,953.0,3.15
LE7,471262,1178.0,3.0
LE8,418115,1255.0,3.6
LE9,376682,965.0,3.07
LL11,277031,802.0,3.47
LL12,384246,1148.0,3.59
LL13,336042,879.0,3.14
LL14,249360,1125.0,5.41
LL15,362792,969.0,3.21
LL16,349160,1354.0,4.65
LL17,372430,,
LL18,223230,667.0,3.59
LL19,260947,900.0,4.14
LL20,342067,983.0,3.45
LL21,330298,,
LL22,309852,973.0,3.77
LL23,337903,550.0,1.95
LL24,340344,,
LL26,347548,725.0,2.5
LL28,328643,999.0,3.65
LL29,275116,840.0,3.66
LL30,340387,2995.0,10.56
LL31,339705,1369.0,4.84
LL32,333650,924.0,3.32
LL33,342850,550.0,1.93
LL34,282973,732.0,3.1
LL35,434558,,
LL36,259278,810.0,3.75
LL38,192818,,
LL40,339512,,
LL41,213485,750.0,4.22
LL42,342147,,
LL43,218791,900.0,4.94
LL44,303623,750.0,2.96
LL46,441771,625.0,1.7
LL48,333920,795.0,2.86
LL49,261851,2500.0,11.46
LL52,378583,,
LL53,401553,925.0,2.76
LL54,292271,795.0,3.26
LL55,266146,542.0,2.44
LL56,381864,950.0,2.99
LL57,275537,825.0,3.59
LL58,469060,995.0,2.55
LL59,345732,687.0,2.38
LL60,356869,1350.0,4.54
LL61,307072,895.0,3.5
LL64,523440,2400.0,5.5
LL65,411315,806.0,2.35
LL67,285636,1250.0,5.25
LL68,362369,523.0,1.73
LL71,432306,,
LL74,403824,1488.0,4.42
LL77,322286,573.0,2.13
LN1,321988,1148.0,4.28
LN10,434250,1189.0,3.29
LN11,347923,789.0,2.72
LN12,241895,1088.0,5.4
LN13,293625,975.0,3.98
LN2,389903,1010.0,3.11
LN3,328410,1455.0,5.32
LN4,272849,1272.0,5.59
LN5,277151,937.0,4.06
LN6,290938,969.0,4.0
LN7,319200,1200.0,4.51
LN8,367439,805.0,2.63
LN9,378625,837.0,2.65
LS1,280991,1306.0,5.58
LS10,233431,1201.0,6.17
LS11,192427,972.0,6.06
LS12,231794,1159.0,6.0
LS13,228839,763.0,4.0
LS14,472857,1382.0,3.51
LS15,345528,983.0,3.41
LS16,442277,1161.0,3.15
LS17,570276,1546.0,3.25
LS18,380159,1252.0,3.95
LS19,354762,967.0,3.27
LS2,190169,1595.0,10.06
LS20,423482,1280.0,3.63
LS21,485254,1024.0,2.53
LS22,618483,1929.0,3.74
LS23,555711,1270.0,2.74
LS24,544828,1324.0,2.92
LS25,382983,1059.0,3.32
LS26,339551,1097.0,3.88
LS27,265610,929.0,4.2
LS28,315430,1025.0,3.9
LS29,515083,1309.0,3.05
LS3,184302,1647.0,10.72
LS4,229562,1580.0,8.26
LS5,246931,1163.0,5.65
LS6,377951,2090.0,6.64
LS7,276391,1213.0,5.27
LS8,394195,1008.0,3.07
LS9,183352,1091.0,7.14
LU1,270137,1139.0,5.06
LU2,367352,1376.0,4.49
LU3,359090,1320.0,4.41
LU4,371035,1345.0,4.35
LU5,388195,1334.0,4.12
LU6,536394,1293.0,2.89
LU7,483034,1427.0,3.55
M1,283859,1830.0,7.74
M11,204473,1513.0,8.88
M12,215670,1242.0,6.91
M13,326569,1603.0,5.89
M14,292834,2309.0,9.46
M15,305855,1928.0,7.56
M16,328193,1330.0,4.86
M18,215135,1278.0,7.13
M19,332118,1911.0,6.9
M2,278972,1613.0,6.94
M20,452638,1672.0,4.43
M21,518582,1539.0,3.56
M22,269648,1129.0,5.02
M23,303522,1273.0,5.03
M24,291812,1058.0,4.35
M25,387087,1263.0,3.92
M26,263938,905.0,4.11
M27,296774,1146.0,4.63
M28,413501,1573.0,4.56
M29,318595,968.0,3.65
M3,289450,1908.0,7.91
M30,355851,1244.0,4.2
M31,284108,1042.0,4.4
M32,376080,1474.0,4.7
M33,456824,1435.0,3.77
M34,269542,1035.0,4.61
M35,313761,930.0,3.56
M38,200177,1000.0,5.99
M4,277733,1610.0,6.96
M40,256358,1287.0,6.02
M41,387465,1212.0,3.75
M43,245930,955.0,4.66
M44,269361,1088.0,4.85
M45,503214,1053.0,2.51
M46,254199,872.0,4.12
M5,231773,1442.0,7.47
M50,245182,1405.0,6.88
M6,248006,1276.0,6.17
M7,382654,1273.0,3.99
M8,247191,1532.0,7.44
M9,239359,1061.0,5.32
ME1,377047,1332.0,4.24
ME10,325625,1139.0,4.2
ME11,225000,1058.0,5.64
ME12,314877,1186.0,4.52
ME13,470339,1313.0,3.35
ME14,440715,1271.0,3.46
ME15,438909,1817.0,4.97
ME16,359871,1398.0,4.66
ME17,593418,2091.0,4.23
ME18,586207,1713.0,3.51
ME19,595567,1840.0,3.71
ME2,341125,1124.0,3.95
ME20,410766,1400.0,4.09
ME3,400638,1429.0,4.28
ME4,309894,1355.0,5.25
ME5,396525,1271.0,3.85
ME6,330892,1026.0,3.72
ME7,330640,1180.0,4.28
ME8,416787,1669.0,4.81
ME9,554947,1280.0,2.77
MK10,407567,1899.0,5.59
MK11,410978,1732.0,5.06
MK12,354847,1827.0,6.18
MK13,358488,1303.0,4.36
MK14,399509,1405.0,4.22
MK15,439428,1571.0,4.29
MK16,499472,1784.0,4.29
MK17,683456,1511.0,2.65
MK18,572118,1369.0,2.87
MK19,520009,1813.0,4.18
MK2,290046,1446.0,5.98
MK3,361095,1932.0,6.42
MK4,459656,1741.0,4.55
MK40,394992,1077.0,3.27
MK41,424284,1535.0,4.34
MK42,352923,1320.0,4.49
MK43,520018,1213.0,2.8
MK44,603635,1940.0,3.86
MK45,542080,1476.0,3.27
MK46,594310,1603.0,3.24
MK5,576678,1790.0,3.72
MK6,308770,1499.0,5.83
MK7,502373,1640.0,3.92
MK8,457593,1884.0,4.94
MK9,237142,1828.0,9.25
N1,904142,3486.0,4.63
N10,824738,2061.0,3.0
N11,544021,2288.0,5.05
N12,612014,3021.0,5.92
N13,587618,1850.0,3.78
N14,803234,2105.0,3.14
N15,541289,2536.0,5.62
N16,816257,2595.0,3.81
N17,410055,2590.0,7.58
N18,379465,1795.0,5.68
N19,681043,2793.0,4.92
N2,2961652,6981.0,2.83
N20,1299099,2798.0,2.58
N21,893395,2823.0,3.79
N22,590862,2407.0,4.89
N3,975542,2628.0,3.23
N4,720067,2662.0,4.44
N5,778029,3443.0,5.31
N6,2384738,3939.0,1.98
N7,623383,2824.0,5.44
N8,602964,2560.0,5.09
N9,367056,1735.0,5.67
NE1,201319,1511.0,9.01
NE10,163255,889.0,6.53
NE11,191328,959.0,6.01
NE12,258487,1201.0,5.58
NE13,356198,1428.0,4.81
NE15,275614,874.0,3.81
NE16,280388,899.0,3.85
NE17,167974,595.0,4.25
NE19,349233,,
NE2,372212,1787.0,5.76
NE20,862238,2554.0,3.55
NE21,183654,1286.0,8.4
NE22,256395,554.0,2.59
NE23,254963,971.0,4.57
NE24,185354,695.0,4.5
NE25,273996,766.0,3.35
NE26,361849,1874.0,6.21
NE27,259917,849.0,3.92
NE28,193257,1262.0,7.84
NE29,197792,887.0,5.38
NE3,362359,1448.0,4.8
NE30,377679,1841.0,5.85
NE31,205285,749.0,4.38
NE32,157990,708.0,5.38
NE33,151226,1328.0,10.54
NE34,206087,901.0,5.25
NE35,191568,525.0,3.29
NE36,316267,,
NE37,164223,645.0,4.71
NE38,232202,863.0,4.46
NE39,324377,844.0,3.12
NE4,163543,1156.0,8.48
NE40,273114,821.0,3.61
NE41,369282,,
NE42,232799,,
NE43,547091,1833.0,4.02
NE45,668839,1048.0,1.88
NE46,446079,1378.0,3.71
NE47,360748,710.0,2.36
NE48,350820,1250.0,4.28
NE49,254344,,
NE5,211274,870.0,4.94
NE6,207794,1350.0,7.8
NE61,497391,1715.0,4.14
NE62,222584,773.0,4.17
NE63,157492,739.0,5.63
NE64,203763,693.0,4.08
NE65,495765,789.0,1.91
NE66,497025,1007.0,2.43
NE67,469338,,
NE68,509568,650.0,1.53
NE7,274042,1143.0,5.01
NE70,349996,,
NE71,254266,658.0,3.11
NE8,154580,1197.0,9.29
NE9,263423,958.0,4.36
NG1,196314,1376.0,8.41
NG10,272080,881.0,3.89
NG11,381775,1067.0,3.35
NG12,495987,1649.0,3.99
NG13,428991,1167.0,3.26
NG14,444866,1564.0,4.22
NG15,344981,915.0,3.18
NG16,299897,957.0,3.83
NG17,251083,771.0,3.68
NG18,288091,725.0,3.02
NG19,244594,799.0,3.92
NG2,348255,1324.0,4.56
NG20,232197,781.0,4.04
NG21,298930,921.0,3.7
NG22,363866,1051.0,3.47
NG23,491876,1192.0,2.91
NG24,282592,826.0,3.51
NG25,510588,1299.0,3.05
NG3,304855,1309.0,5.15
NG31,262072,815.0,3.73
NG32,452403,1514.0,4.02
NG33,391418,1641.0,5.03
NG34,316337,1140.0,4.32
NG4,307425,1019.0,3.98
NG5,265825,1078.0,4.87
NG6,232914,925.0,4.77
NG7,277146,1485.0,6.43
NG8,324109,1531.0,5.67
NG9,378642,1422.0,4.51
NN1,222698,1064.0,5.73
NN10,302248,1028.0,4.08
NN11,384377,1234.0,3.85
NN12,523664,1722.0,3.95
NN13,491549,1792.0,4.37
NN14,397852,1201.0,3.62
NN15,344007,1101.0,3.84
NN16,244113,819.0,4.03
NN17,326013,1086.0,4.0
NN18,272416,1044.0,4.6
NN2,285123,1203.0,5.06
NN29,421172,1230.0,3.5
NN3,322740,1190.0,4.42
NN4,397536,1170.0,3.53
NN5,347537,1254.0,4.33
NN6,520189,1378.0,3.18
NN7,548293,1369.0,3.0
NN8,293019,1159.0,4.75
NN9,348210,1060.0,3.65
NP10,365400,1733.0,5.69
NP11,224503,768.0,4.11
NP12,273876,725.0,3.18
NP13,168170,681.0,4.86
NP15,588036,1394.0,2.84
NP16,497145,1242.0,3.0
NP18,493447,1100.0,2.68
NP19,238084,1673.0,8.43
NP20,297966,1601.0,6.45
NP22,190402,738.0,4.65
NP23,210346,845.0,4.82
NP24,136291,694.0,6.11
NP25,501174,1571.0,3.76
NP26,406502,1888.0,5.57
NP4,265379,1049.0,4.74
NP44,288403,893.0,3.72
NP7,457326,1503.0,3.94
NP8,569164,1175.0,2.48
NR1,247810,1278.0,6.19
NR10,459150,1514.0,3.96
NR11,437895,1389.0,3.81
NR12,463461,1582.0,4.1
NR13,423625,1165.0,3.3
NR14,503838,1306.0,3.11
NR15,535826,1749.0,3.92
NR16,554152,1733.0,3.75
NR17,414364,1237.0,3.58
NR18,422871,1370.0,3.89
NR19,337899,888.0,3.15
NR2,386875,1314.0,4.08
NR20,460829,1302.0,3.39
NR21,439073,1099.0,3.0
NR23,566880,1650.0,3.49
NR24,569834,1182.0,2.49
NR25,581391,1727.0,3.56
NR26,380763,915.0,2.88
NR27,340447,1027.0,3.62
NR28,354296,1090.0,3.69
NR29,308178,1172.0,4.56
NR3,250376,1446.0,6.93
NR30,232840,779.0,4.01
NR31,296214,1275.0,5.17
NR32,269673,1252.0,5.57
NR33,264946,1186.0,5.37
NR34,385834,1259.0,3.92
NR35,372833,1458.0,4.69
NR4,461619,1827.0,4.75
NR5,323306,1512.0,5.61
NR6,316931,1568.0,5.94
NR7,357982,1502.0,5.03
NR8,402730,1399.0,4.17
NR9,487309,1525.0,3.76
NW1,2120643,4541.0,2.57
NW10,631063,2591.0,4.93
NW11,1360638,4283.0,3.78
NW2,769982,2568.0,4.0
NW3,2356465,6121.0,3.12
NW4,748758,2547.0,4.08
NW5,915323,4380.0,5.74
NW6,945232,3411.0,4.33
NW7,1052773,3797.0,4.33
NW8,2321464,7051.0,3.64
NW9,499983,2230.0,5.35
OL1,250859,903.0,4.32
OL10,334281,1179.0,4.23
OL11,315348,1090.0,4.15
OL12,285327,962.0,4.05
OL13,279765,1085.0,4.65
OL14,376588,918.0,2.93
OL15,397470,953.0,2.88
OL16,276953,1036.0,4.49
OL2,295817,989.0,4.01
OL3,492697,1130.0,2.75
OL4,359074,933.0,3.12
OL5,285209,866.0,3.64
OL6,280793,1099.0,4.7
OL7,218562,1045.0,5.74
OL8,216871,949.0,5.25
OL9,254571,1074.0,5.06
OX1,964825,3086.0,3.84
OX10,792475,2146.0,3.25
OX11,472047,1701.0,4.32
OX12,466628,1712.0,4.4
OX13,662069,1945.0,3.53
OX14,500978,1562.0,3.74
OX15,595643,2953.0,5.95
OX16,316074,1427.0,5.42
OX17,696228,2033.0,3.5
OX18,609384,3360.0,6.62
OX2,1057247,3313.0,3.76
OX20,718033,4187.0,7.0
OX25,560536,2397.0,5.13
OX26,426813,1701.0,4.78
OX27,541433,1703.0,3.77
OX28,381987,1288.0,4.05
OX29,641842,2873.0,5.37
OX3,534199,2369.0,5.32
OX33,736116,2280.0,3.72
OX39,720977,3600.0,5.99
OX4,507279,2511.0,5.94
OX44,751857,2309.0,3.69
OX49,734856,2463.0,4.02
OX5,633626,1824.0,3.45
OX7,701011,2477.0,4.24
OX9,596805,2217.0,4.46
PE1,241810,979.0,4.86
PE10,323825,1140.0,4.22
PE11,274094,770.0,3.37
PE12,463907,786.0,2.03
PE13,271658,839.0,3.71
PE14,329481,1058.0,3.85
PE15,330257,1171.0,4.25
PE16,318367,1100.0,4.15
PE19,447451,1537.0,4.12
PE2,266833,968.0,4.35
PE20,277448,985.0,4.26
PE21,215134,713.0,3.98
PE22,331576,988.0,3.58
PE23,313711,648.0,2.48
PE24,286678,778.0,3.26
PE25,245267,604.0,2.96
PE26,331329,1186.0,4.3
PE27,375802,1397.0,4.46
PE28,539691,1640.0,3.65
PE29,321284,1291.0,4.82
PE3,323367,1221.0,4.53
PE30,266952,863.0,3.88
PE31,515371,1284.0,2.99
PE32,421049,1109.0,3.16
PE33,358490,2643.0,8.85
PE34,332614,1249.0,4.51
PE36,389065,1490.0,4.6
PE37,349531,2206.0,7.57
PE38,325111,1029.0,3.8
PE4,267614,1142.0,5.12
PE5,538571,823.0,1.83
PE6,387305,1192.0,3.69
PE7,335119,1317.0,4.72
PE8,480812,1594.0,3.98
PE9,489872,1635.0,4.01
PL1,258212,992.0,4.61
PL10,491318,,
PL11,447832,1543.0,4.13
PL12,397577,1272.0,3.84
PL13,345096,1100.0,3.83
PL14,353140,1019.0,3.46
PL15,408791,1356.0,3.98
PL16,413420,800.0,2.32
PL17,371534,1129.0,3.65
PL18,416553,849.0,2.45
PL19,479302,1382.0,3.46
PL2,201416,830.0,4.94
PL20,589671,1275.0,2.59
PL21,408253,1299.0,3.82
PL22,421690,1174.0,3.34
PL23,716053,1100.0,1.84
PL24,298157,1015.0,4.09
PL25,352036,945.0,3.22
PL26,411262,1223.0,3.57
PL27,797848,1323.0,1.99
PL28,709314,,
PL29,647352,1763.0,3.27
PL3,330884,1167.0,4.23
PL30,518028,1344.0,3.11
PL31,276727,703.0,3.05
PL32,335514,1225.0,4.38
PL34,434040,1600.0,4.42
PL35,475141,,
PL4,235972,1315.0,6.69
PL5,244157,796.0,3.91
PL6,339649,1672.0,5.91
PL7,341050,985.0,3.47
PL8,782966,1013.0,1.55
PL9,368551,1831.0,5.96
PO1,335695,1615.0,5.77
PO10,587922,1828.0,3.73
PO11,422190,1583.0,4.5
PO12,325292,1123.0,4.14
PO13,365170,1205.0,3.96
PO14,506146,1626.0,3.86
PO15,445306,1491.0,4.02
PO16,374042,1629.0,5.23
PO17,501512,1864.0,4.46
PO18,783730,2452.0,3.75
PO19,460550,1442.0,3.76
PO2,246397,995.0,4.85
PO20,568085,1724.0,3.64
PO21,401517,1404.0,4.2
PO22,481623,1394.0,3.47
PO3,277715,1135.0,4.9
PO30,400206,1120.0,3.36
PO31,480621,1300.0,3.25
PO32,294406,914.0,3.73
PO33,362319,1038.0,3.44
PO34,543998,1579.0,3.48
PO35,533901,1358.0,3.05
PO36,308678,1004.0,3.9
PO37,405416,951.0,2.81
PO38,403295,1313.0,3.91
PO39,401114,875.0,2.62
PO4,313675,1535.0,5.87
PO40,426083,1075.0,3.03
PO41,584361,1473.0,3.02
PO5,340671,1657.0,5.84
PO6,431142,1372.0,3.82
PO7,446748,1294.0,3.48
PO8,446223,1338.0,3.6
PO9,449079,1169.0,3.12
PR1,200301,1228.0,7.36
PR2,257345,1117.0,5.21
PR25,279885,1152.0,4.94
PR26,346806,1331.0,4.61
PR3,348864,1150.0,3.96
PR4,355496,1208.0,4.08
PR5,256818,1184.0,5.53
PR6,405787,1058.0,3.13
PR7,345780,868.0,3.01
PR8,355285,963.0,3.25
PR9,247575,824.0,3.99
RG1,399850,1681.0,5.04
RG10,1130399,4230.0,4.49
RG12,396176,1963.0,5.95
RG14,430346,1616.0,4.51
RG17,724795,2300.0,3.81
RG18,656404,1300.0,2.38
RG19,483603,1848.0,4.59
RG2,403157,1539.0,4.58
RG20,841716,2941.0,4.19
RG21,272119,1639.0,7.23
RG22,380125,1481.0,4.68
RG23,504136,1774.0,4.22
RG24,454099,1371.0,3.62
RG25,2030053,1720.0,1.02
RG26,593670,2006.0,4.05
RG27,600235,2192.0,4.38
RG28,492677,,
RG29,747285,2448.0,3.93
RG30,388413,1272.0,3.93
RG31,511870,1742.0,4.08
RG4,721883,1658.0,2.76
RG40,642775,2380.0,4.44
RG41,567555,1941.0,4.1
RG42,749472,2548.0,4.08
RG45,642692,2410.0,4.5
RG5,451636,1719.0,4.57
RG6,542054,1581.0,3.5
RG7,684466,2821.0,4.95
RG8,866220,2583.0,3.58
RG9,1038470,3036.0,3.51
RH1,495209,1923.0,4.66
RH10,478003,1670.0,4.19
RH11,397886,1447.0,4.36
RH12,557567,1776.0,3.82
RH13,667382,3141.0,5.65
RH14,735047,2394.0,3.91
RH15,457307,1657.0,4.35
RH16,549707,1859.0,4.06
RH17,911570,3311.0,4.36
RH18,573999,2660.0,5.56
RH19,624102,1713.0,3.29
RH2,633222,1859.0,3.52
RH20,687036,3250.0,5.68
RH3,783219,1758.0,2.69
RH4,630754,1650.0,3.14
RH5,787915,3540.0,5.39
RH6,496000,1777.0,4.3
RH7,627281,2354.0,4.5
RH8,915839,2495.0,3.27
RH9,629636,1800.0,3.43
RM1,396144,1835.0,5.56
RM10,341886,1949.0,6.84
RM11,967634,2485.0,3.08
RM12,496044,1866.0,4.51
RM13,411517,1895.0,5.53
RM14,700276,1666.0,2.85
RM15,404318,1544.0,4.58
RM16,488991,2135.0,5.24
RM17,334881,1471.0,5.27
RM18,334680,1490.0,5.34
RM19,249754,1349.0,6.48
RM2,553013,2071.0,4.49
RM20,281609,1783.0,7.6
RM3,410309,1896.0,5.55
RM4,936220,3980.0,5.1
RM5,473749,1704.0,4.32
RM6,368881,1769.0,5.75
RM7,398661,1893.0,5.7
RM8,362211,1888.0,6.25
RM9,367820,1825.0,5.95
S1,142497,945.0,7.96
S10,544188,932.0,2.06
S11,448924,1005.0,2.69
S12,225259,1217.0,6.48
S13,195109,1326.0,8.16
S14,152400,700.0,5.51
S17,599399,1178.0,2.36
S18,455040,1628.0,4.29
S2,173416,956.0,6.62
S20,238440,893.0,4.49
S21,347390,972.0,3.36
S25,290804,734.0,3.03
S26,324417,964.0,3.57
S3,144629,956.0,7.93
S32,604999,1670.0,3.31
S33,560000,1317.0,2.82
S35,344275,1013.0,3.53
S36,365413,823.0,2.7
S4,134000,767.0,6.87
S40,304486,956.0,3.77
S41,269911,833.0,3.7
S42,331849,988.0,3.57
S43,285262,809.0,3.4
S44,326080,947.0,3.49
S45,398253,970.0,2.92
S5,158941,862.0,6.51
S6,279505,1028.0,4.41
S60,278101,963.0,4.16
S61,234624,756.0,3.87
S62,231749,670.0,3.47
S63,207256,767.0,4.44
S64,202156,697.0,4.14
S65,283834,800.0,3.38
S66,279873,830.0,3.56
S7,329933,1119.0,4.07
S70,204541,745.0,4.37
S71,236551,707.0,3.59
S72,277473,786.0,3.4
S73,231739,674.0,3.49
S74,245204,764.0,3.74
S75,367685,952.0,3.11
S8,301882,1094.0,4.35
S80,283148,811.0,3.44
S81,321849,1081.0,4.03
S9,156934,795.0,6.08
SA1,175156,1161.0,7.95
SA10,255385,1051.0,4.94
SA11,203233,843.0,4.98
SA12,214830,959.0,5.36
SA13,201843,779.0,4.63
SA14,272121,831.0,3.66
SA15,247571,777.0,3.77
SA16,296060,832.0,3.37
SA17,312658,935.0,3.59
SA18,263804,862.0,3.92
SA19,418583,808.0,2.32
SA2,355953,1161.0,3.91
SA20,334333,,
SA3,447007,1412.0,3.79
SA31,287358,829.0,3.46
SA32,450350,939.0,2.5
SA33,375720,1107.0,3.54
SA34,456866,842.0,2.21
SA37,582936,700.0,1.44
SA38,333602,800.0,2.88
SA39,351209,,
SA4,305560,1005.0,3.95
SA40,429549,625.0,1.75
SA41,361478,888.0,2.95
SA42,532180,1250.0,2.82
SA43,400758,673.0,2.02
SA44,403675,875.0,2.6
SA45,346743,1100.0,3.81
SA46,327683,925.0,3.39
SA48,391231,671.0,2.06
SA5,242595,960.0,4.75
SA6,266906,897.0,4.03
SA61,253966,751.0,3.55
SA62,414532,1789.0,5.18
SA63,460313,,
SA64,318686,995.0,3.75
SA65,310487,875.0,3.38
SA66,399051,,
SA67,414608,1008.0,2.92
SA68,372875,775.0,2.49
SA69,395063,,
SA7,258171,923.0,4.29
SA70,384827,1469.0,4.58
SA71,358038,911.0,3.05
SA72,228240,6050.0,31.81
SA73,277826,671.0,2.9
SA8,267195,975.0,4.38
SA9,252748,775.0,3.68
SE1,1101302,3807.0,4.15
SE10,565324,2450.0,5.2
SE11,854187,3253.0,4.57
SE12,534778,1986.0,4.46
SE13,536174,2139.0,4.79
SE14,491929,2399.0,5.85
SE15,574230,2819.0,5.89
SE16,595139,2569.0,5.18
SE17,587846,3077.0,6.28
SE18,467071,2177.0,5.59
SE19,558168,1848.0,3.97
SE2,379593,1732.0,5.48
SE20,432017,1554.0,4.32
SE21,898025,3272.0,4.37
SE22,718589,2959.0,4.94
SE23,604550,2326.0,4.62
SE24,770463,2855.0,4.45
SE25,382991,1888.0,5.92
SE26,560720,2739.0,5.86
SE27,617519,2393.0,4.65
SE28,346155,1837.0,6.37
SE3,658611,2572.0,4.69
SE4,645279,2152.0,4.0
SE5,684762,2705.0,4.74
SE6,465557,2278.0,5.87
SE7,501402,2083.0,4.99
SE8,457021,2219.0,5.83
SE9,507547,2205.0,5.21
SG1,389948,1476.0,4.54
SG10,1877284,2500.0,1.6
SG11,737098,2425.0,3.95
SG12,635909,1887.0,3.56
SG13,687568,3760.0,6.56
SG14,724400,2001.0,3.31
SG15,372454,1595.0,5.14
SG16,510858,1499.0,3.52
SG17,521427,1659.0,3.82
SG18,480964,1473.0,3.68
SG19,520076,1135.0,2.62
SG2,482588,1681.0,4.18
SG3,603703,2453.0,4.88
SG4,633833,1621.0,3.07
SG5,556184,1765.0,3.81
SG6,452791,1419.0,3.76
SG7,492950,1930.0,4.7
SG8,606967,1451.0,2.87
SG9,678691,1965.0,3.47
SK1,181255,961.0,6.36
SK10,770718,2586.0,4.03
SK11,487821,1316.0,3.24
SK12,563066,1594.0,3.4
SK13,350604,1341.0,4.59
SK14,308569,944.0,3.67
SK15,371201,996.0,3.22
SK16,262487,998.0,4.56
SK17,371519,1215.0,3.92
SK2,350672,1425.0,4.88
SK22,416793,1125.0,3.24
SK23,437454,1110.0,3.04
SK3,277537,1270.0,5.49
SK4,405324,1158.0,3.43
SK5,288724,1019.0,4.24
SK6,416852,1500.0,4.32
SK7,583077,1573.0,3.24
SK8,434614,1854.0,5.12
SK9,726556,3007.0,4.97
SL0,819489,1952.0,2.86
SL1,375036,1707.0,5.46
SL2,777255,2291.0,3.54
SL3,657248,2185.0,3.99
SL4,706919,3159.0,5.36
SL5,1154574,6477.0,6.73
SL6,777790,2344.0,3.62
SL7,1229621,2709.0,2.64
SL8,1079723,2450.0,2.72
SL9,1186887,3422.0,3.46
SM1,408857,1981.0,5.81
SM2,526135,1957.0,4.46
SM3,502840,2227.0,5.31
SM4,501595,1927.0,4.61
SM5,510904,2135.0,5.01
SM6,421681,1850.0,5.26
SM7,678489,2438.0,4.31
SN1,255427,1218.0,5.72
SN10,450103,1295.0,3.45
SN11,376102,1850.0,5.9
SN12,394248,1246.0,3.79
SN13,678424,1438.0,2.54
SN14,613711,2173.0,4.25
SN15,430587,1170.0,3.26
SN16,589453,1659.0,3.38
SN2,255724,1166.0,5.47
SN25,334148,1286.0,4.62
SN26,500235,,
SN3,340693,1504.0,5.3
SN4,601607,2006.0,4.0
SN5,360419,1238.0,4.12
SN6,915990,1172.0,1.54
SN7,501709,1745.0,4.17
SN8,617962,1728.0,3.36
SN9,647172,1759.0,3.26
SO14,261335,1348.0,6.19
SO15,318598,1260.0,4.75
SO16,402647,1563.0,4.66
SO17,314538,1616.0,6.17
SO18,275960,1169.0,5.08
SO19,272311,1523.0,6.71
SO20,765151,3068.0,4.81
SO21,880353,2356.0,3.21
SO22,696548,1338.0,2.31
SO23,554722,1626.0,3.52
SO24,783738,2403.0,3.68
SO30,447046,1290.0,3.46
SO31,547949,1532.0,3.36
SO32,624184,1982.0,3.81
SO40,450626,977.0,2.6
SO41,710153,2596.0,4.39
SO42,980966,2738.0,3.35
SO43,854855,1863.0,2.62
SO45,429469,1869.0,5.22
SO50,347443,1208.0,4.17
SO51,631286,1543.0,2.93
SO52,485589,2329.0,5.76
SO53,477725,1695.0,4.26
SP1,353280,1930.0,6.56
SP10,327315,870.0,3.19
SP11,588992,1935.0,3.94
SP2,356440,1158.0,3.9
SP3,737683,2167.0,3.53
SP4,494233,1481.0,3.6
SP5,828184,1867.0,2.71
SP6,590074,2009.0,4.09
SP7,536984,1524.0,3.41
SP8,453580,1666.0,4.41
SP9,530082,,
SR1,109938,719.0,7.85
SR2,186405,640.0,4.12
SR3,266590,677.0,3.05
SR4,163862,772.0,5.65
SR5,136426,703.0,6.18
SR6,336627,864.0,3.08
