outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
BN8,770638,2117.0,3.3
BN9,322950,1043.0,3.88
BR1,604617,1986.0,3.94
BR2,710299,1885.0,3.18
BR3,616625,1863.0,3.63
BR4,592903,2235.0,4.52
BR5,604368,2097.0,4.16
BR6,917650,2235.0,2.92
BR7,973550,3267.0,4.03
BR8,454730,1689.0,4.46
BS1,398047,2137.0,6.44
BS10,410919,1930.0,5.64
BS11,330719,1477.0,5.36
BS13,316800,1564.0,5.92
BS14,347743,1568.0,5.41
BS15,327378,1733.0,6.35
BS16,392147,2217.0,6.78
BS2,334620,1942.0,6.96
BS20,439248,1835.0,5.01
BS21,496329,1140.0,2.76
BS22,349248,1211.0,4.16
BS23,286655,982.0,4.11
BS24,373020,1553.0,5.0
BS25,556611,1650.0,3.56
BS26,633052,1240.0,2.35
BS27,414686,1258.0,3.64
BS28,746709,1600.0,2.57
BS29,434590,1350.0,3.73
BS3,362765,2081.0,6.88
BS30,517585,1599.0,3.71
BS31,526466,1846.0,4.21
BS32,465399,1967.0,5.07
BS34,353369,2632.0,8.94
BS35,467276,1692.0,4.35
BS36,536263,1849.0,4.14
BS37,470376,1404.0,3.58
BS39,593644,2194.0,4.43
BS4,350152,1955.0,6.7
BS40,828506,1822.0,2.64
BS41,653905,1950.0,3.58
BS48,546150,2504.0,5.5
BS49,530743,1205.0,2.72
BS5,349060,2125.0,7.31
BS6,575841,2373.0,4.95
BS7,472279,2530.0,6.43
BS8,654994,2624.0,4.81
BS9,625861,2609.0,5.0
CA1,197523,722.0,4.39
CA10,507475,1199.0,2.84
CA11,428965,1512.0,4.23
CA12,514401,1500.0,3.5
CA13,341263,1790.0,6.29
CA14,239576,674.0,3.38
CA15,229103,795.0,4.16
CA16,432640,645.0,1.79
CA17,429688,965.0,2.69
CA2,189820,619.0,3.91
CA20,274237,675.0,2.95
CA22,256361,,
CA25,228912,875.0,4.59
CA26,220094,575.0,3.14
CA27,283629,,
CA28,224248,1155.0,6.18
CA3,262387,956.0,4.37
CA4,597998,1430.0,2.87
CA5,401450,1080.0,3.23
CA6,357058,559.0,1.88
CA7,274889,976.0,4.26
CA8,546439,900.0,1.98
CA9,231363,2268.0,11.76
CB1,516325,2731.0,6.35
CB10,686864,1739.0,3.04
CB11,734867,2021.0,3.3
CB2,717021,2807.0,4.7
CB21,641026,1907.0,3.57
CB22,677497,1851.0,3.28
CB23,532363,1727.0,3.89
CB24,448868,1475.0,3.94
CB25,467873,1558.0,4.0
CB3,728774,3507.0,5.77
CB4,464302,2027.0,5.24
CB5,568201,2199.0,4.64
CB6,383818,1439.0,4.5
CB7,394330,1309.0,3.98
CB8,494277,1568.0,3.81
CB9,414694,1608.0,4.65
CF10,212113,1856.0,10.5
CF11,290078,1739.0,7.19
CF14,469989,1448.0,3.7
CF15,436877,1177.0,3.23
CF23,470604,1652.0,4.21
CF24,273653,1665.0,7.3
CF3,357588,1569.0,5.27
CF31,283360,1014.0,4.29
CF32,329545,874.0,3.18
CF33,255363,825.0,3.88
CF34,196806,567.0,3.46
CF35,372944,1267.0,4.08
CF36,406153,1226.0,3.62
CF37,200450,1056.0,6.32
CF38,299246,993.0,3.98
CF39,200533,760.0,4.55
CF40,141842,768.0,6.5
CF41,146782,722.0,5.9
CF42,156225,700.0,5.38
CF43,105286,706.0,8.05
CF44,236544,688.0,3.49
CF45,152997,891.0,6.99
CF46,297907,802.0,3.23
CF47,207613,845.0,4.88
CF48,243551,722.0,3.56
CF5,395249,1497.0,4.54
CF61,380020,1095.0,3.46
CF62,361305,1087.0,3.61
CF63,233758,938.0,4.82
CF64,483634,1657.0,4.11
CF71,634186,1577.0,2.98
CF72,342133,1261.0,4.42
CF81,172193,623.0,4.34
CF82,258177,984.0,4.57
CF83,327344,1440.0,5.28
CH1,302033,1049.0,4.17
CH2,404527,936.0,2.78
CH3,479971,1660.0,4.15
CH4,400581,1982.0,5.94
CH41,139888,962.0,8.25
CH42,205423,796.0,4.65
CH43,346500,795.0,2.75
CH44,178790,773.0,5.19
CH45,259267,853.0,3.95
CH46,237764,1036.0,5.23
CH47,441422,1606.0,4.37
CH48,611234,1409.0,2.77
CH49,269408,1331.0,5.93
CH5,274342,943.0,4.12
CH6,251548,845.0,4.03
CH60,565233,1487.0,3.16
CH61,351032,1150.0,3.93
CH62,294084,957.0,3.91
CH63,373238,1290.0,4.15
CH64,451579,1244.0,3.31
CH65,189987,892.0,5.63
CH66,304256,882.0,3.48
CH7,354417,876.0,2.97
CH8,313768,906.0,3.46
CM0,416825,1546.0,4.45
CM1,442114,1604.0,4.35
CM11,707568,2383.0,4.04
CM12,674119,1743.0,3.1
CM13,801382,2920.0,4.37
CM14,540042,1746.0,3.88
CM15,683796,2277.0,4.0
CM16,804547,2801.0,4.18
CM17,494323,2019.0,4.9
CM18,393849,1349.0,4.11
CM19,570440,2035.0,4.28
CM2,437959,1549.0,4.24
CM20,391000,1590.0,4.88
CM21,541413,1669.0,3.7
CM22,683960,2008.0,3.52
CM23,501328,1644.0,3.94
CM24,634663,1270.0,2.4
CM3,649518,1987.0,3.67
CM4,1037870,1669.0,1.93
CM5,719106,2983.0,4.98
CM6,673317,1742.0,3.1
CM7,444087,1450.0,3.92
CM77,560071,1520.0,3.26
CM8,572508,1171.0,2.45
CM9,495397,1812.0,4.39
CO1,267676,1116.0,5.0
CO10,474979,1367.0,3.45
CO11,478600,1212.0,3.04
CO12,322006,1128.0,4.2
CO13,389739,1425.0,4.39
CO14,293308,1513.0,6.19
CO15,277298,1165.0,5.04
CO16,350569,1502.0,5.14
CO2,327103,1327.0,4.87
CO3,439246,1362.0,3.72
CO4,409301,1555.0,4.56
CO5,493735,1242.0,3.02
CO6,584787,1848.0,3.79
CO7,524614,1610.0,3.68
CO8,635041,,
CO9,501459,1714.0,4.1
CR0,407560,1826.0,5.38
CR2,506445,1709.0,4.05
CR3,649574,1981.0,3.66
CR4,426348,1977.0,5.56
CR5,752771,2698.0,4.3
CR6,568754,2431.0,5.13
CR7,397254,1687.0,5.1
CR8,616658,1918.0,3.73
CT1,336183,1083.0,3.87
CT10,527102,1193.0,2.72
CT11,348496,1106.0,3.81
CT12,380970,1430.0,4.5
CT13,479553,1467.0,3.67
CT14,432140,1224.0,3.4
CT15,545704,1450.0,3.19
CT16,329758,975.0,3.55
CT17,268845,1368.0,6.11
CT18,469840,1094.0,2.79
CT19,319855,1346.0,5.05
CT2,425579,1274.0,3.59
CT20,373260,1230.0,3.95
CT21,504176,1194.0,2.84
CT3,527601,1470.0,3.34
CT4,739740,2027.0,3.29
CT5,519011,1387.0,3.21
CT6,394503,1397.0,4.25
CT7,372172,1283.0,4.14
