outcode,total_households,poverty_pct
CF1,23120,50.97
CF10,1868,32.92
CF11,3642,40.66
CF14,32602,45.84
CF15,8108,41.45
CF2,31052,52.44
CF23,6636,50.11
CF24,1378,47.17
CF3,18425,57.66
CF31,20417,51.12
CF32,14078,56.54
CF33,6928,57.29
CF34,8657,62.07
CF35,7792,45.3
CF36,7156,52.19
CF37,17311,57.93
CF38,9325,48.66
CF39,13132,61.01
CF4,249,41.37
CF40,8233,62.76
CF41,4894,59.87
CF42,5763,61.84
CF43,5178,65.72
CF44,18385,59.95
CF45,8327,62.69
CF46,6613,58.48
CF47,10184,61.59
CF48,11390,58.92
CF5,27490,55.5
CF6,44902,51.71
CF61,671,45.75
CF62,1974,36.83
CF63,582,36.77
CF64,404,38.61
CF7,13365,46.78
CF72,1241,32.39
CF8,32831,58.39
CF82,344,29.94
CF83,5833,53.21
CH1,18330,50.54
CH2,13630,45.8
CH25,217,70.05
CH26,140,45.0
CH27,269,60.97
CH28,289,65.74
CH29,194,55.15
CH3,15467,40.46
CH30,180,23.89
CH31,177,52.54
CH32,178,60.11
CH33,157,42.04
CH34,386,52.85
CH4,15361,45.35
CH41,11496,66.52
CH42,14756,61.22
CH43,15349,53.66
CH44,13436,62.74
CH45,13066,53.03
CH46,10606,59.21
CH47,4563,43.81
CH48,6826,43.63
CH49,13221,52.72
CH5,17994,53.18
CH6,8008,56.04
CH60,6018,39.63
CH61,6825,49.1
CH62,13697,51.39
CH63,11958,46.7
CH64,8187,46.57
CH65,13215,57.77
CH66,14423,49.68
CH7,22556,47.8
CH8,8284,55.65
CM0,7638,53.47
CM1,31205,45.59
CM11,8968,42.94
CM12,7949,43.77
CM13,11793,45.93
CM14,9368,42.04
CM15,9278,46.43
CM16,10441,46.16
CM17,10720,46.08
CM18,10842,60.87
CM19,8767,58.23
CM2,24825,45.18
CM20,10721,59.86
CM21,4561,44.81
CM22,7715,44.08
CM23,17209,41.43
CM24,3034,40.64
CM3,22965,45.9
CM4,3891,44.77
CM5,4165,51.84
CM6,11007,43.0
CM7,27407,50.09
CM8,15092,51.49
CM9,14513,49.38
CO1,10694,50.79
CO10,23192,51.04
CO11,6133,48.44
CO12,10495,60.32
CO13,6518,59.47
CO14,3183,65.91
CO15,22114,68.65
CO16,10812,63.57
CO2,15814,50.73
CO3,13321,45.49
CO4,20746,49.19
CO5,12460,49.21
CO6,11579,45.52
CO7,14762,49.34
CO8,610,47.21
CO9,11273,50.6
CR0,70617,55.44
