outcode,race_ethnicity_total,race_ethnicity_white,race_ethnicity_black,race_ethnicity_asian,race_ethnicity_other,race_ethnicity_two_or_more
BH5,10984,9794,184,367,202,437
BH6,23668,22255,163,437,205,608
BH7,8908,7928,134,414,161,271
BH8,29114,24507,477,1943,982,1205
BH9,27998,24587,390,1359,581,1081
BL0,19396,18400,82,509,59,346
BL1,72951,45166,3484,20782,1656,1863
BL11,398,276,23,74,12,13
BL2,48326,42259,1509,2927,453,1178
BL3,71890,33465,4560,29651,2609,1605
BL4,34318,27951,1190,3981,465,731
BL5,28451,26707,226,818,137,563
BL6,29564,27454,243,1186,158,523
BL7,13901,13452,25,181,32,211
BL8,35287,32412,345,1637,244,649
BL9,52821,37699,1321,11417,1001,1383
BN1,89584,76296,1770,4663,2423,4432
BN10,20169,18541,179,656,240,553
BN11,36396,32240,572,1938,548,1098
BN12,23350,21854,187,682,180,447
BN13,30921,28864,308,834,190,725
BN14,29955,27723,237,1036,246,713
BN15,28180,26579,224,624,188,565
BN16,29827,28849,147,313,82,436
BN17,32432,30714,205,734,152,627
BN18,14771,14094,115,249,72,241
BN2,91889,78566,2224,4378,2435,4286
BN20,25955,24236,153,615,281,670
BN21,23841,20511,513,1349,651,817
BN22,32164,29485,353,1105,407,814
BN23,30081,28048,322,680,377,654
BN24,8776,8419,31,126,73,127
BN25,24616,23516,98,413,119,470
BN26,13773,13179,55,242,60,237
BN27,32168,31133,129,395,107,404
BN3,79861,67735,1233,3687,3241,3965
BN4,61215,56594,583,1304,1010,1724
BN41,1608,1443,29,48,45,43
BN42,342,287,8,1,28,18
BN43,2631,2437,3,73,18,100
BN44,569,544,1,11,5,8
BN5,7906,7539,31,147,62,127
BN6,19044,18159,83,206,104,492
BN7,20489,19190,157,375,163,604
BN8,16469,15932,38,122,76,301
BN9,13442,12581,170,241,104,346
BR1,65420,42238,9978,6559,2341,4304
BR2,50048,39165,2580,4457,1179,2667
BR3,50309,38446,3873,3344,1299,3347
BR4,18564,15610,706,1067,333,848
BR5,52568,40759,4487,4189,970,2163
BR6,45438,35940,1504,5714,706,1574
BR7,18423,14994,778,1429,385,837
BR8,24053,21135,1106,934,247,631
BS0,302,274,1,22,0,5
BS1,26616,17984,2249,3663,1180,1540
BS10,34974,28167,1995,2695,641,1476
BS11,18997,17115,536,511,250,585
BS12,78081,69517,1375,4150,987,2052
BS13,34667,32036,672,704,221,1034
BS14,32058,29717,534,848,229,730
BS15,84820,78010,1655,2251,617,2287
BS16,90003,74146,3760,7047,1527,3523
BS17,55519,53226,270,817,276,930
BS18,57478,55334,263,702,188,991
BS19,36982,35724,141,399,143,575
BS2,19753,11290,4085,2253,810,1315
BS20,33382,31966,128,461,192,635
BS21,23200,22425,88,279,67,341
BS22,40348,38944,200,463,198,543
BS23,35924,33484,335,964,393,748
BS24,26233,25150,162,442,124,355
BS25,4703,4553,14,62,11,63
BS26,4101,3992,5,22,10,72
BS27,6918,6736,19,67,13,83
BS28,3275,3228,3,20,2,22
BS3,41311,36487,1130,1538,558,1598
BS31,1698,1536,20,48,10,84
BS32,2136,1580,52,371,42,91
BS34,6057,4562,267,793,146,289
BS35,982,891,8,34,10,39
BS36,281,259,7,11,1,3
BS37,1815,1662,40,41,17,55
BS39,875,832,6,21,0,16
BS4,48357,42357,1547,1955,488,2010
BS49,281,276,0,1,3,1
BS5,51258,32827,8204,5589,1644,2994
BS6,36169,31246,850,1711,503,1859
BS7,38473,31263,2216,2505,648,1841
BS8,23969,20678,445,1366,443,1037
BS9,30772,27269,432,1534,454,1083
CA1,25777,24537,140,580,245,275
CA10,17104,16877,16,65,28,118
CA11,22962,22358,51,293,97,163
CA12,7443,7213,12,90,32,96
CA13,16227,15842,28,171,51,135
CA14,36013,35530,14,182,91,196
CA15,16265,16085,20,56,19,85
CA16,5666,5588,9,30,14,25
CA17,4614,4543,3,29,6,33
CA18,502,484,0,11,4,3
CA19,1572,1532,4,11,4,21
CA2,40980,39705,116,593,205,361
CA20,2814,2749,9,19,3,34
CA21,938,907,2,11,6,12
CA22,8698,8572,11,44,19,52
CA23,1904,1887,6,2,2,7
CA24,767,758,0,4,1,4
CA25,5539,5433,9,57,3,37
CA26,3103,3073,4,5,4,17
CA27,1474,1445,8,8,1,12
CA28,27382,26678,111,295,121,177
CA3,14897,14339,49,291,72,146
CA4,11529,11344,16,85,18,66
CA5,19944,19728,15,63,29,109
CA6,11509,11383,15,38,23,50
CA7,8017,7927,5,25,19,41
CA8,5224,5127,4,30,10,53
CA9,2027,2002,2,4,2,17
CB1,79223,61296,1394,10855,2329,3349
CB10,18394,17368,137,401,125,363
CB11,17022,16178,108,292,107,337
CB2,51604,40413,1119,6437,1125,2510
CB23,37789,32545,631,2836,540,1237
CB24,36183,32653,380,1734,338,1078
CB25,19489,18067,175,685,154,408
CB3,17032,12983,348,2389,516,796
CB4,43598,34528,1186,4877,1040,1967
CB5,10327,8234,295,1123,235,440
CB6,41873,39629,327,786,234,897
CB7,26686,25065,246,485,260,630
CB8,34802,31570,595,1244,426,967
CB9,32817,30705,323,1046,225,518
CF1,59153,36179,4893,11644,3551,2886
CF10,3448,2458,159,399,291,141
CF11,7121,5198,390,766,348,419
CF14,80230,70597,1037,4655,1580,2361
CF15,19312,18148,101,567,104,392
CF2,80320,60163,3183,9974,3692,3308
CF23,16193,12843,421,1622,610,697
CF24,3346,2542,154,382,133,135
CF3,44786,37928,1752,2347,843,1916
CF31,47287,45039,175,1211,162,700
CF32,32577,31783,80,302,87,325
CF33,16341,15966,25,183,23,144
CF34,19822,19500,24,139,41,118
CF35,20431,19641,98,280,90,322
CF36,15542,15213,35,115,36,143
CF37,40219,37722,522,1149,287,539
CF38,22401,21698,79,314,79,231
CF39,30251,29484,93,359,61,254
CF4,516,447,16,28,7,18
CF40,18962,18508,37,209,34,174
CF41,10931,10648,18,91,25,149
CF42,12794,12471,23,190,21,89
CF43,11423,11218,13,58,9,125
CF44,41718,40749,82,455,77,355
CF45,18997,18601,50,144,47,155
CF46,15200,14931,15,115,25,114
CF47,23150,22290,43,479,123,215
CF48,25750,25115,46,291,89,209
CF5,65024,56508,1849,3165,921,2581
CF6,102478,96669,513,2217,622,2457
CF61,1385,1352,3,7,8,15
CF62,4829,4585,25,80,9,130
CF63,1612,1468,5,103,9,27
CF64,946,834,18,55,3,36
CF7,31162,30058,73,523,100,408
CF72,3331,3161,8,80,21,61
CF8,75480,73672,118,733,144,813
CF82,960,933,0,16,3,8
CF83,14023,13623,17,172,42,169
CH1,41752,38350,570,1473,508,851
CH2,31654,29463,303,1038,290,560
CH25,334,308,7,8,1,10
CH26,319,304,0,7,4,4
CH27,625,599,1,21,0,4
CH28,666,649,0,16,1,0
CH29,397,385,3,0,1,8
CH3,36335,34705,217,658,217,538
CH30,420,403,0,11,3,3
CH31,355,344,1,0,0,10
CH32,389,321,16,40,6,6
CH33,286,278,0,3,0,5
CH34,1027,965,12,15,9,26
CH4,35213,33226,270,908,202,607
CH41,23816,21809,154,1042,351,460
CH42,33020,30782,291,1167,278,502
CH43,33875,31959,150,973,229,564
CH44,30183,28628,133,631,225,566
CH45,28652,27580,92,402,122,456
CH46,24075,23112,101,443,101,318
CH47,10655,10269,31,152,34,169
CH48,15304,14596,53,293,80,282
CH49,29791,28521,99,662,131,378
CH5,42166,40951,100,520,229,366
CH6,18726,18306,25,161,61,173
CH60,13632,13035,30,268,71,228
CH61,15297,14841,60,141,51,204
CH62,31125,29970,99,520,107,429
CH63,28005,26946,75,544,95,345
CH64,18023,17523,48,182,42,228
CH65,30330,28717,202,719,231,461
CH66,32839,31967,62,376,112,322
CH7,51266,50354,59,327,110,416
CH8,19261,18889,28,121,53,170
CM0,17935,17422,84,141,40,248
CM1,75595,63428,2939,5952,961,2315
CM11,22580,21119,317,530,154,460
CM12,19028,17824,203,523,118,360
CM13,28132,24680,708,1508,332,904
CM14,21552,18300,651,1461,289,851
CM15,23005,21028,349,900,197,531
CM16,25362,23154,322,857,259,770
