outcode,race_ethnicity_total,race_ethnicity_white,race_ethnicity_black,race_ethnicity_asian,race_ethnicity_other,race_ethnicity_two_or_more
GU26,8866,8330,63,270,38,165
GU27,19181,18196,117,374,118,376
GU28,7129,6940,17,72,22,78
GU29,9690,9412,39,78,34,127
GU3,8944,8247,86,342,83,186
GU30,9906,9412,47,190,37,220
GU31,14082,13527,54,194,80,227
GU32,11284,10775,65,183,39,222
GU33,8298,7951,29,134,45,139
GU34,33775,32328,162,604,156,525
GU35,22201,20718,203,675,188,417
GU4,13285,12043,123,556,219,344
GU47,220,185,13,11,1,10
GU5,11427,10892,71,174,66,224
GU51,6014,5306,71,363,71,203
GU52,1664,1487,35,69,18,55
GU6,15822,15022,99,344,71,286
GU7,24801,23055,207,694,192,653
GU8,16216,15436,70,244,86,380
GU9,28075,25840,220,1155,192,668
HA0,60408,12044,6761,34998,4841,1764
HA1,48205,18997,3572,19746,3318,2572
HA2,61039,18397,5087,29974,5215,2366
HA3,79147,27366,6319,37228,5767,2467
HA4,54659,36941,2034,11181,1939,2564
HA5,45569,21522,2137,17962,2171,1777
HA6,22813,11157,871,8971,887,927
HA7,38614,14658,2318,17891,2668,1079
HA8,72397,33647,7358,22048,6466,2878
HA9,56787,16685,8682,23580,5611,2229
HD1,37423,18923,2231,12935,1657,1677
HD2,28303,15192,2606,7445,1052,2008
HD3,32413,26854,772,2967,461,1359
HD4,26653,19693,1072,4190,537,1161
HD5,29337,23891,1351,2068,563,1464
HD6,26987,25623,164,571,104,525
HD7,55533,53420,339,528,189,1057
HD8,33247,31917,152,468,119,591
HD9,271,269,0,2,0,0
HG1,36851,34624,326,919,270,712
HG2,31330,29573,178,768,201,610
HG3,29829,28736,158,324,138,473
HG4,25318,24467,134,319,106,292
HG5,19358,18874,41,174,55,214
HP1,29658,26055,752,1583,325,943
HP10,23740,20870,346,1473,236,815
HP11,20670,12049,1375,5428,654,1164
HP12,21448,10751,1325,7702,676,994
HP13,43124,27272,2603,9878,971,2400
HP14,20389,18598,223,888,112,568
HP15,16026,14710,118,658,116,424
HP16,12829,12086,46,317,64,316
HP17,26382,24470,311,784,183,634
HP18,24676,20793,876,1835,250,922
HP19,28388,20112,1557,4872,538,1309
HP2,42442,34599,2119,3401,694,1629
HP20,15556,11268,676,2696,294,622
HP21,33111,24683,1328,5224,630,1246
HP22,29010,26300,430,1216,266,798
HP23,19284,18086,178,411,133,476
HP3,33936,27960,1155,2951,494,1376
HP4,24206,22687,160,563,185,611
HP5,26656,21520,359,3577,305,895
HP6,16668,13146,133,2447,269,673
HP7,9550,7815,93,1180,128,334
HP8,6883,6035,57,488,66,237
HP9,17027,14577,167,1377,226,680
HR1,36950,35096,193,952,258,451
HR2,39558,38278,150,394,224,512
HR3,8480,8326,11,44,25,74
HR4,29150,28290,104,271,172,313
HR5,6457,6335,13,44,16,49
HR6,19725,19310,26,142,73,174
HR7,8776,8579,15,71,35,76
HR8,14369,14046,24,98,85,116
HR9,19628,19148,31,131,116,202
HU1,6919,5252,403,530,545,189
HU10,20883,20086,76,346,114,261
HU11,17529,17259,32,88,33,117
HU12,24948,24624,16,135,36,137
HU13,15163,14595,47,223,122,176
HU14,9029,8424,23,390,53,139
HU15,24384,23520,95,396,103,270
HU16,16038,15290,103,349,125,171
HU17,41546,40222,169,549,166,440
HU18,8174,8033,11,31,16,83
HU19,6787,6669,6,49,12,51
HU2,3882,2841,181,435,304,121
HU20,311,310,0,0,0,1
HU3,29942,24612,1238,2024,1308,760
HU4,23599,22486,210,363,228,312
HU5,48187,43638,992,1579,999,979
HU6,35184,31614,1032,1001,850,687
HU7,48445,46832,383,423,213,594
HU8,35121,33945,203,390,183,400
HU9,39766,37740,426,774,312,514
HX1,32682,14719,520,15950,774,719
HX2,36826,33490,225,2131,262,718
HX3,40172,37522,224,1419,227,780
HX4,10731,10419,29,101,35,147
HX5,8688,7904,63,508,59,154
HX6,18129,17486,77,220,33,313
HX7,12390,11899,49,109,33,300
IG1,75345,13216,7659,47972,4238,2260
IG10,34227,28845,952,2310,743,1377
IG11,67359,21206,15179,25240,2686,3048
IG2,35554,8522,2272,21139,2439,1182
IG3,35638,6831,2676,22748,2334,1049
IG4,10435,2225,477,6778,621,334
IG5,17916,5227,1445,9392,1303,549
IG6,31375,15038,2482,11018,1557,1280
IG7,22115,12918,1530,5674,1025,968
IG8,35828,21947,3228,7055,1428,2170
IG9,12087,9690,412,1151,265,569
IP1,43316,36620,1491,2138,1090,1977
IP10,11573,11039,87,160,40,247
IP11,24350,23210,161,412,105,462
IP12,26637,25330,286,368,127,526
IP13,20203,19661,66,167,61,248
IP14,44132,42731,223,382,166,630
IP15,2935,2835,11,44,10,35
IP16,6691,6495,15,80,31,70
IP17,12167,11847,47,104,47,122
IP18,4048,3939,23,34,17,35
IP19,9834,9588,28,122,22,74
IP2,32485,28025,1356,951,571,1582
IP20,8764,8607,11,60,16,70
IP21,12428,12143,56,68,32,129
IP22,22612,21898,114,247,115,238
IP23,6572,6447,13,47,11,54
IP24,30377,28562,268,387,403,757
IP25,22116,21270,241,193,110,302
IP26,10426,9887,90,85,120,244
IP27,20061,17479,713,351,538,980
IP28,31152,27882,781,614,624,1251
IP29,9252,8954,30,123,36,109
IP3,37156,31257,1288,2277,730,1604
IP30,14554,14169,62,102,43,178
IP31,19622,18966,81,185,88,302
IP32,18189,16847,198,449,221,474
IP33,21385,19722,232,782,181,468
IP4,35554,30093,862,2517,659,1423
IP5,17366,16050,190,626,92,408
IP6,16625,16141,66,105,28,285
IP7,15922,15038,237,241,118,288
IP8,9740,9196,104,134,51,255
IP9,11413,11047,77,105,31,153
KT1,27866,18925,1132,4478,1733,1598
KT10,23974,20742,138,1714,467,913
KT11,17301,15140,240,916,326,679
KT12,41483,35635,661,2691,763,1733
KT13,21516,18363,306,1423,492,932
KT14,13337,11713,139,821,234,430
KT15,29802,25805,467,2088,435,1007
KT16,19614,16856,439,1427,302,590
KT17,30430,24489,477,3420,725,1319
KT18,19879,17120,321,1334,297,807
KT19,37485,29479,856,4362,1158,1630
KT2,33336,22912,823,5769,1852,1980
KT20,19764,17217,381,1265,266,635
KT21,14371,13088,109,585,157,432
KT22,23725,21202,280,1177,334,732
KT23,10450,9886,73,180,69,242
KT24,8121,7708,55,160,43,155
KT3,41019,24023,1214,10705,2804,2273
KT4,28624,20362,681,4948,1279,1354
KT5,21728,15532,602,3534,967,1093
KT6,31402,23351,755,4379,1295,1622
KT7,9100,8072,75,426,131,396
KT8,20723,17973,221,1286,461,782
KT9,20102,16054,458,1984,721,885
L1,17152,12955,527,2035,844,791
L10,16585,15761,149,417,90,168
L11,33566,30214,1058,1229,403,662
L12,31941,29633,284,1265,255,504
L13,32952,28091,938,1679,1060,1184
L14,28328,25895,528,889,371,645
L15,32807,25916,1194,2550,1363,1784
L16,14841,13637,107,644,111,342
L17,24150,21021,494,919,491,1225
L18,25728,22684,379,1296,367,1002
L19,22809,20660,302,915,253,679
L2,4694,3704,89,388,313,200
L20,38852,36197,469,857,629,700
L21,23815,22887,167,322,158,281
L22,14900,14290,60,170,127,253
L23,29257,28149,71,515,124,398
L24,17880,16745,277,320,137,401
L25,33004,30596,236,1021,231,920
L26,14456,13706,96,255,66,333
L27,6211,5877,62,57,32,183
L28,5912,5505,166,61,39,141
L3,15945,12272,543,1761,834,535
L30,20323,19747,89,196,87,204
L31,31245,30510,139,179,50,367
L32,21923,21200,128,137,135,323
L33,18061,17345,162,123,105,326
L34,16517,15553,112,526,73,253
L35,30923,29328,185,862,136,412
L36,38511,36991,270,471,191,588
L37,23457,22800,55,220,89,293
L38,2220,2175,0,21,3,21
L39,31792,30558,168,521,89,456
L4,41956,37114,1280,1477,1097,988
L40,19927,19464,45,142,54,222
L5,11191,9114,608,634,495,340
L6,22591,15893,1913,2280,1595,910
L67,171,159,6,4,2,0
L68,576,533,11,11,20,1
L69,6381,4023,662,622,585,489
L7,17269,10945,1414,2524,1427,959
L70,115,89,4,5,4,13
L8,26845,15069,3684,2506,3596,1990
L9,27943,26217,351,766,151,458
LA1,58278,51185,881,3929,899,1384
LA10,4073,3997,10,21,8,37
LA11,11316,11166,33,47,13,57
LA12,20333,19950,20,138,53,172
LA13,21883,21119,114,387,86,177
LA14,34161,33126,122,502,140,271
LA15,7300,7157,16,36,9,82
LA16,3178,3128,1,21,4,24
LA17,1226,1220,1,1,1,3
LA18,8404,8280,11,50,5,58
LA19,734,712,6,3,4,9
LA2,23807,22677,114,639,109,268
LA20,1144,1120,1,7,3,13
LA21,1450,1383,7,32,5,23
LA22,4934,4790,21,41,15,67
LA23,7916,7653,42,88,52,81
LA3,25210,24535,81,227,135,232
LA4,24585,23861,84,254,135,251
LA5,16878,16538,56,114,42,128
LA6,11563,11345,21,67,24,106
LA7,4720,4601,18,38,6,57
LA8,8508,8351,4,38,29,86
LA9,30725,29851,75,311,126,362
LD1,12695,12409,29,94,39,124
LD2,5577,5506,12,30,6,23
LD3,18737,17894,49,513,94,187
LD4,758,746,1,8,1,2
LD5,795,775,3,8,2,7
LD6,2699,2646,6,24,2,21
LD7,4638,4562,6,32,8,30
LD8,3425,3361,6,11,10,37
LE1,22971,8965,4265,7323,1436,982
LE10,53404,50366,348,1455,297,938
LE11,66597,50978,1897,10292,1257,2173
LE12,71080,67482,322,1797,262,1217
LE13,28467,27418,123,424,125,377
LE14,18779,18276,57,171,30,245
LE15,36609,34580,549,592,186,702
LE16,39365,37392,272,814,167,720
LE17,23176,22222,117,380,103,354
LE18,34165,27744,580,4319,517,1005
LE19,19006,16948,192,1110,196,560
LE2,126766,63846,8486,43982,5212,5240
LE3,110752,76754,8002,17946,3543,4507
LE4,108127,40576,6334,54461,3651,3105
LE5,94295,20069,3918,63034,4255,3019
LE55,526,495,3,14,4,10
LE6,84669,80519,511,1858,400,1381
LE65,843,805,4,22,0,12
LE67,5820,5395,98,191,38,98
LE7,48079,40668,382,5318,470,1241
LE8,40050,36587,284,1912,300,967
LE9,55600,52948,372,1078,265,937
LL11,45941,44032,273,834,296,506
LL12,25452,24704,76,355,68,249
LL13,32631,30637,364,837,260,533
LL14,33776,32893,160,262,147,314
LL15,11557,11196,24,227,27,83
LL16,15656,15241,44,153,54,164
LL17,5894,5666,15,125,36,52
LL18,41449,39593,134,1015,172,535
LL19,19391,18888,53,179,53,218
LL20,7022,6893,8,39,29,53
LL21,6420,6322,2,34,6,56
LL22,19299,18780,44,259,44,172
LL23,3679,3614,0,36,4,25
LL24,2391,2359,4,12,1,15
LL25,453,449,0,1,2,1
LL26,4283,4252,1,12,3,15
LL27,647,624,4,11,1,7
LL28,14665,14180,39,227,57,162
LL29,18234,17388,51,447,97,251
LL30,22116,21258,51,386,135,286
LL31,9255,8978,34,108,19,116
LL32,6249,6169,10,29,7,34
LL33,4553,4404,17,53,22,57
LL34,4163,4078,19,9,3,54
LL35,963,956,0,2,4,1
LL36,4174,4091,11,28,4,40
LL37,714,701,0,3,2,8
LL38,683,666,0,3,1,13
LL39,295,288,1,0,0,6
LL40,4227,4160,11,24,5,27
LL41,6064,5966,7,30,15,46
LL42,2214,2140,4,18,4,48
LL43,470,468,0,1,1,0
LL44,771,759,0,2,1,9
LL45,911,898,2,4,0,7
LL46,1833,1788,7,16,2,20
LL48,2827,2786,3,11,6,21
LL49,3791,3699,5,37,13,37
LL51,1288,1258,2,4,6,18
LL52,2943,2906,5,14,4,14
LL53,15482,15223,21,64,38,136
LL54,11969,11808,8,44,17,92
LL55,21094,20680,32,134,47,201
LL56,2282,2191,23,28,3,37
LL57,25394,22703,356,1436,409,490
LL58,3884,3814,3,17,12,38
LL59,5289,5070,23,74,37,85
LL60,3243,3204,3,9,1,26
LL61,5463,5328,9,67,8,51
LL62,2751,2712,4,12,11,12
LL63,1591,1573,0,4,0,14
LL64,598,582,2,4,3,7
LL65,24232,23806,29,142,29,226
LL66,1963,1946,1,1,0,15
LL67,947,940,1,1,3,2
LL68,4934,4831,8,26,32,37
LL69,315,314,0,0,0,1
LL70,308,307,0,0,0,1
LL71,1958,1932,2,12,1,11
LL72,606,593,2,3,1,7
LL73,506,502,0,3,1,0
LL74,2374,2349,4,11,2,8
LL75,1413,1381,2,7,6,17
LL76,417,416,0,0,1,0
LL77,6079,5975,12,39,13,40
LN1,37479,34787,496,1083,316,797
LN10,7478,7296,22,61,23,76
LN11,30875,30228,55,227,54,311
LN12,14103,13873,25,90,27,88
LN13,8195,8043,17,29,12,94
LN2,43666,40486,555,1330,507,788
LN3,16903,16444,45,180,39,195
LN4,41803,40728,132,343,115,485
LN5,33589,31704,280,742,350,513
LN6,61805,59131,413,1069,335,857
LN7,6826,6682,18,65,14,47
LN8,8039,7843,9,63,32,92
LN9,9143,8949,19,79,12,84
LS1,16661,11235,1046,2759,921,700
LS10,40027,33065,3374,1789,570,1229
LS11,39494,22199,6349,7923,1411,1612
LS12,44318,35886,2739,3312,788,1593
LS13,39080,35665,1070,889,424,1032
LS14,41131,35068,1886,2216,393,1568
LS15,34577,31868,933,745,222,809
LS16,40638,32866,786,3736,1885,1365
LS17,44825,30920,1274,8832,2006,1793
LS18,21991,19802,234,944,303,708
LS19,19766,18755,135,398,110,368
LS2,11218,6229,891,2665,873,560
LS20,13047,12432,55,234,64,262
LS21,18103,17520,79,201,37,266
LS22,16670,16076,106,186,46,256
LS23,9899,9510,61,147,30,151
LS24,13143,12796,46,112,28,161
LS25,44539,43195,259,414,107,564
LS26,31816,30310,233,527,144,602
LS27,37040,33782,551,1613,290,804
LS28,38394,33638,311,3218,471,756
LS29,31992,30751,127,480,87,547
LS3,1992,1036,158,535,188,75
LS4,9571,7038,447,1262,353,471
LS5,6945,5712,292,406,201,334
LS6,47610,36366,2470,4943,1344,2487
LS7,30761,15707,6031,5500,1474,2049
LS8,51026,24852,5065,16493,2180,2436
LS9,39880,23346,8237,4471,1832,1994
LU1,51195,25188,5126,16753,2125,2003
LU2,64295,41960,5546,12024,1786,2979
LU3,65459,26713,6321,27737,1895,2793
LU4,56150,18518,6014,27357,2086,2175
LU5,43588,36064,2469,2680,640,1735
LU6,32164,28643,1035,1201,302,983
LU7,60990,56898,789,1363,342,1598
M1,18373,11098,841,4393,1112,929
M10,51175,33332,9464,4466,1328,2585
M11,25304,12998,6154,3226,1402,1524
M12,24144,5630,4230,11746,1395,1143
M13,27187,8174,2974,12962,1897,1180
M14,56200,26554,8745,12729,4726,3446
M15,23112,12513,3896,3233,1815,1655
M16,36846,15085,5546,11435,2657,2123
M17,2194,1732,99,223,73,67
M18,25610,13381,5298,4388,1050,1493
M19,38003,18841,2002,13553,1815,1792
M2,285,199,2,49,26,9
M20,48431,35605,1603,6009,2372,2842
M21,28076,20367,1190,3961,895,1663
M22,46017,36585,2705,3454,1142,2131
M23,33729,26561,1983,2629,963,1593
M24,53938,46661,3140,2120,558,1459
M25,56446,45706,1350,5402,2117,1871
M26,34429,30840,671,1677,365,876
M27,45285,40119,1582,1859,558,1167
M28,58881,51715,2644,2270,651,1601
M29,45699,43198,699,821,280,701
M3,16957,12160,1282,1578,1082,855
M30,59853,51895,1997,2815,1560,1586
M31,49438,44809,838,1873,350,1568
M32,27596,18731,1829,4739,813,1484
M33,60859,49963,1297,6167,1434,1998
M34,48797,43923,1113,2191,366,1204
M35,44357,39605,1571,1623,389,1169
M4,14908,11528,592,1453,568,767
M40,1320,621,459,159,12,69
M41,203,155,14,12,2,20
M43,666,611,18,25,4,8
M44,1136,940,43,112,6,35
M46,1305,1169,51,47,5,33
M5,27185,20078,2901,2073,983,1150
M50,3038,2082,305,360,148,143
M6,31100,24330,2821,1890,895,1164
M7,35100,24754,3617,3257,2266,1206
M8,32797,7859,2982,17702,2914,1340
M9,39893,25418,7541,3931,1159,1844
ME1,36736,30544,1604,2785,624,1179
ME10,53602,48812,2227,1114,340,1109
ME11,5086,4881,73,32,21,79
ME12,42244,39936,717,627,227,737
ME13,29487,28376,166,296,160,489
ME14,39159,34036,896,2610,684,933
ME15,54744,48950,1292,2477,720,1305
ME16,33213,28440,886,2443,481,963
ME17,25488,24398,305,313,102,370
ME18,7692,7423,45,91,34,99
ME19,26629,24845,305,693,137,649
ME2,42771,36739,2218,2181,475,1158
ME20,20791,19727,224,371,93,376
ME3,29513,27128,920,754,188,523
ME4,34087,25245,3358,3171,1005,1308
ME5,52472,46399,2593,1819,475,1186
ME6,11170,10597,142,174,47,210
ME7,50765,39136,4266,4597,942,1824
ME8,49994,45746,1062,1764,369,1053
ME9,20873,20002,293,223,50,305
MK1,11765,8146,1271,1621,255,472
MK10,24919,14969,3311,4621,750,1268
MK11,11930,9320,761,1236,136,477
MK12,17901,13061,1358,2353,353,776
MK13,17042,12515,1688,1746,365,728
MK14,19577,13550,2627,2113,536,751
MK15,6828,5260,415,808,105,240
MK16,20433,18701,412,715,109,496
MK17,21860,19614,657,896,162,531
MK18,34275,31612,598,1065,218,782
MK19,12395,11249,232,524,67,323
MK2,14456,9689,1916,2008,273,570
MK3,25402,19802,2184,1998,375,1043
MK4,24912,16726,2435,4126,437,1188
MK40,43322,28375,2825,8777,1189,2156
MK41,42624,34000,2281,3588,694,2061
MK42,55565,37860,3977,9527,1223,2978
MK43,41903,36683,1073,2225,450,1472
MK44,16979,16150,168,220,74,367
MK45,48476,45349,546,1066,242,1273
MK46,8845,8450,99,126,19,151
MK5,15259,10098,1158,2882,377,744
MK6,26647,15846,5113,3756,813,1119
MK7,14203,10828,1160,1378,211,626
MK8,12211,7918,943,2512,323,515
MK9,3773,2052,460,877,183,201
N1,91885,56337,12996,9241,6564,6747
N10,29209,21230,1787,2167,1691,2334
N11,35417,20732,3495,5704,3035,2451
N12,33154,18322,1839,8028,3120,1845
N13,37234,22582,3627,4477,4367,2181
N14,28983,17792,1512,4724,3140,1815
N15,55550,28320,11415,4863,7163,3789
N16,62823,39130,8780,5175,5984,3754
N17,68367,27523,20962,6778,8351,4753
N18,34926,12707,10634,4400,5344,1841
N19,40283,25596,5529,3255,2712,3191
N1C,1523,574,238,466,149,96
N2,25777,17528,1356,3217,2149,1527
N20,17065,10955,739,3106,1333,932
N21,21200,14464,1197,2350,1869,1320
N22,41008,23840,6134,4300,4161,2573
N3,25818,15525,1152,5136,2670,1335
N4,53901,32043,8172,5058,4569,4059
N5,23747,16354,2542,1759,1396,1696
N6,17459,13490,810,1173,794,1192
N7,48127,27736,7123,5609,3793,3866
N8,36354,24984,3728,2610,2305,2727
N9,48826,18261,14552,6007,7531,2475
NE1,22538,15465,954,4222,1145,752
NE10,37174,34884,456,888,546,400
NE11,16546,15474,182,511,171,208
NE12,38654,36294,257,1246,268,589
NE13,23034,20466,261,1498,362,447
NE15,36699,33122,658,1942,466,511
NE16,24085,23448,59,250,105,223
NE17,4947,4835,9,37,17,49
NE18,983,961,1,3,2,16
NE19,4133,4079,4,32,3,15
NE2,29701,25927,435,1870,557,912
NE20,11321,10330,25,705,69,192
NE21,18054,17599,58,190,68,139
NE22,20271,19891,41,160,37,142
NE23,39799,38949,96,305,112,337
NE24,39874,38813,108,439,205,309
NE25,31972,30881,70,518,101,402
NE26,17468,16743,50,322,68,285
NE27,15784,14737,60,642,98,247
NE28,46503,44162,416,1078,356,491
NE29,36902,34618,282,1209,214,579
NE3,49048,41788,963,3887,1289,1121
NE30,19227,18590,51,220,93,273
NE31,24517,23706,117,336,111,247
NE32,23090,22412,81,264,107,226
NE33,28826,24741,289,2679,523,594
NE34,49407,47533,226,657,338,653
NE35,7013,6690,53,161,42,67
NE36,6649,6431,13,90,39,76
NE37,21411,20813,107,223,70,198
NE38,29776,28825,71,500,92,288
NE39,8004,7781,42,51,61,69
NE4,39447,18024,3193,14062,3094,1074
NE40,14763,14415,30,121,43,154
NE41,1829,1787,2,14,6,20
NE42,12060,11774,17,144,26,99
NE43,4669,4594,3,32,6,34
NE44,1623,1582,3,11,8,19
NE45,3056,3016,5,21,6,8
NE46,15043,14718,20,133,37,135
NE47,7016,6925,6,25,4,56
NE48,2842,2813,1,10,5,13
NE49,3366,3339,4,3,8,12
NE5,47470,42240,1145,2572,868,645
NE6,49880,42629,2245,2586,1168,1252
NE61,36397,35503,53,370,144,327
NE62,8423,8256,12,57,17,81
NE63,27924,27036,51,470,157,210
NE64,5141,5073,9,33,5,21
NE65,19801,19560,34,70,33,104
NE66,17127,16858,33,66,37,133
NE67,946,937,2,2,1,4
NE68,1677,1658,1,4,4,10
NE69,324,318,2,2,0,2
NE7,14150,11691,174,1720,254,311
NE70,2013,1984,2,9,3,15
NE71,2752,2724,1,9,2,16
NE8,31130,26006,1004,1906,1507,707
NE9,34281,32436,337,690,457,361
NG1,21336,13800,1889,3270,1108,1269
NG10,47377,44386,535,1119,214,1123
NG11,40865,35621,1293,2031,443,1477
NG12,38182,35012,290,1610,313,957
NG13,22753,21857,129,341,64,362
NG14,20952,19866,200,298,89,499
NG15,46927,43746,870,988,267,1056
NG16,62642,59407,488,1450,337,960
NG17,75465,72012,780,1270,336,1067
NG18,50218,46907,649,1343,477,842
NG19,49939,47934,416,734,258,597
NG2,57662,41547,3358,8455,1575,2727
NG20,28239,27479,205,190,130,235
NG21,24450,23667,210,201,40,332
NG22,29197,28414,102,227,99,355
NG23,17587,17219,42,97,32,197
NG24,46869,44763,351,705,298,752
NG25,8294,7994,30,86,47,137
NG3,53963,36964,5808,6245,1730,3216
NG31,48810,45882,415,1380,359,774
NG32,11607,11355,19,101,28,104
NG33,9648,9452,29,53,33,81
NG34,42516,41290,142,420,164,500
NG4,39047,34622,941,1534,374,1576
NG5,88196,69395,6274,6580,1376,4571
NG6,37870,29355,3503,2150,496,2366
NG7,63737,35586,6647,15084,2863,3557
NG8,63727,40702,5582,11472,2309,3662
NG9,70858,61133,1529,4828,1197,2171
NN1,38024,26887,3978,4654,1017,1488
NN10,41507,38823,803,776,232,873
NN11,42707,40382,467,915,237,706
NN12,26940,25921,195,330,62,432
NN13,22589,21522,199,349,119,400
NN14,48996,46777,626,638,228,727
NN15,43760,39098,1162,2106,440,954
NN16,29278,24977,1217,1837,496,751
NN17,34317,32234,731,550,266,536
NN18,39280,35112,1788,1136,511,733
NN2,42423,35253,2519,2537,593,1521
NN29,12124,11588,104,173,37,222
NN3,76091,60296,6370,5710,1086,2629
NN4,53375,43993,2960,3844,735,1843
NN5,45450,36977,3217,2943,638,1675
NN6,36050,34613,322,396,111,608
NN7,27528,26460,175,362,68,463
NN8,55475,43989,3863,4781,550,2292
NN9,27295,25734,514,386,75,586
NP1,57487,55019,387,905,215,961
NP10,8279,7327,139,532,75,206
NP11,1022,994,5,3,6,14
NP12,31649,31092,31,222,62,242
NP13,19064,18690,35,150,33,156
NP15,11158,10932,35,89,11,91
NP16,22588,21815,111,245,102,315
NP18,18188,17135,123,414,106,410
NP19,55746,46276,1611,5255,960,1644
NP2,25340,24907,39,183,51,160
NP20,53662,43973,1506,5191,1427,1565
NP23,31566,30797,68,345,87,269
NP25,14737,14261,28,226,55,167
NP26,23190,22551,29,246,57,307
NP3,358,347,0,5,0,6
NP4,46772,45854,87,293,105,433
NP44,46572,44818,137,900,141,576
NP7,25769,24768,80,456,142,323
NP8,4520,4373,14,62,10,61
NR1,32624,28373,662,2044,536,1009
NR10,26553,25841,131,202,66,313
NR11,20478,20123,37,89,40,189
NR12,21859,21426,33,118,59,223
NR13,30409,29404,99,384,117,405
NR14,27879,27019,101,255,97,407
NR15,16667,16372,36,78,29,152
NR16,12306,12020,55,87,28,116
NR17,17313,16740,70,204,71,228
NR18,21037,20018,277,336,67,339
NR19,21551,20925,89,190,66,281
NR2,29019,25541,618,1306,475,1079
NR20,20363,19932,67,150,37,177
NR21,16620,16269,29,99,50,173
NR22,599,591,0,1,5,2
NR23,3317,3246,0,25,15,31
NR24,4312,4244,5,14,7,42
NR25,8342,8176,19,52,16,79
NR26,8040,7901,11,52,12,64
NR27,11367,11107,25,76,31,128
NR28,15953,15662,17,75,34,165
NR29,21519,21085,41,132,67,194
NR3,33227,30014,767,1082,483,881
NR30,31326,28709,712,637,490,778
NR31,50415,47977,352,1206,238,642
NR32,40397,39095,165,487,145,505
NR33,39666,38494,170,352,93,557
NR34,21265,20742,39,185,72,227
NR35,10259,9999,19,105,28,108
NR4,26391,21861,750,2335,516,929
NR5,32264,27943,912,1865,660,884
NR6,22873,21569,233,552,124,395
NR7,31264,29607,264,643,192,558
NR8,21250,20013,276,497,100,364
NR9,17581,16835,123,263,69,291
NW1,63065,33567,6623,13628,5053,4194
NW10,104550,39956,28097,17722,11520,7255
NW11,35947,23894,1426,4832,4390,1405
NW2,67302,30888,9506,13382,9142,4384
NW3,52795,35468,2891,7590,3528,3318
NW4,34480,19850,2409,6612,4193,1416
NW5,23922,15126,2567,3232,1371,1626
NW6,64087,36190,8558,8687,6268,4384
NW7,26728,14724,2529,5588,2469,1418
NW8,30352,14467,2388,6876,4937,1684
NW9,72890,27791,9308,24850,7453,3488
OL1,32031,18735,2419,9220,580,1077
OL10,29145,26567,804,999,187,588
OL11,53052,31644,2086,16836,1138,1348
OL12,47920,33845,982,11040,985,1068
OL13,16373,15802,56,212,65,238
OL14,16026,15026,66,597,53,284
OL15,15280,14646,62,351,56,165
OL16,33818,20912,840,10512,770,784
OL2,39826,36733,381,1866,119,727
OL3,15550,15061,52,126,36,275
OL4,46547,28764,1202,14750,670,1161
OL5,12060,11446,99,266,49,200
OL6,32156,22852,1056,7054,497,697
OL7,16227,11565,499,3594,200,369
OL8,46209,21668,2095,19904,1292,1250
OL9,37160,21370,1356,12956,418,1060
OX1,32279,24730,726,4209,771,1843
OX10,29712,28152,188,578,200,594
OX11,45973,41229,809,2340,468,1127
OX12,30453,28866,350,518,230,489
OX13,17517,15437,566,836,223,455
OX14,43153,39169,643,1766,444,1131
OX15,22762,21508,190,500,120,444
OX16,52229,44145,1197,4551,760,1576
OX17,15156,14716,54,137,47,202
OX18,28567,27321,214,390,111,531
OX2,38846,31206,775,3811,1198,1856
OX20,6868,6376,53,215,63,161
OX25,14249,12856,324,590,114,365
OX26,36885,32295,644,2195,520,1231
OX27,6753,6273,72,163,64,181
OX28,29485,27779,198,636,269,603
OX29,24190,23056,168,379,128,459
OX3,48762,33938,2589,7849,1968,2418
OX33,7155,6617,75,214,74,175
OX39,8419,8001,41,151,38,188
OX4,65580,44619,3835,10837,2492,3797
OX44,7705,7342,49,110,39,165
OX49,4383,4205,10,86,15,67
OX5,23281,20357,312,1481,414,717
OX7,21555,20624,99,379,96,357
OX9,15648,14746,128,317,87,370
PE1,58650,33645,2368,17616,2872,2149
PE10,25784,24810,183,407,75,309
PE11,48040,45800,276,787,453,724
PE12,42476,41420,181,345,114,416
PE13,39311,37676,273,472,397,493
PE14,23195,22685,72,185,80,173
PE15,31448,30150,282,382,145,489
PE16,11175,10728,84,136,54,173
PE17,63325,59246,633,1937,332,1177
PE18,55650,50239,1229,2256,460,1466
PE19,41137,38540,456,971,273,897
PE2,54536,45976,2567,3067,994,1932
PE20,16091,15611,59,149,89,183
PE21,46587,43496,365,1245,740,741
PE22,15727,15360,63,97,47,160
PE23,8668,8517,8,54,16,73
PE24,11608,11359,24,79,11,135
PE25,22728,22011,55,314,68,280
PE27,265,238,12,6,0,9
PE28,2461,2052,124,112,59,114
PE29,1490,1180,64,168,16,62
PE3,34186,23378,1583,6754,1175,1296
PE30,48383,44373,479,2100,574,857
PE31,19946,19662,37,99,31,117
PE32,15568,15216,41,106,47,158
PE33,15175,14796,33,142,23,181
PE34,12990,12771,20,66,30,103
PE36,5374,5237,10,45,23,59
PE37,11427,11077,36,119,69,126
PE38,15030,14486,85,132,120,207
PE4,29838,26268,821,1386,433,930
PE5,1337,1266,14,24,9,24
PE6,38887,37109,307,653,114,704
PE7,47187,41951,1394,1921,528,1393
