outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
SE26,2081,3920,2597,1081,896,1230,902,541,1175
SE27,1497,2812,1841,732,687,890,464,440,1049
SE28,1148,2480,1455,1103,1083,1857,1045,1076,1950
SE3,3213,5583,3099,1340,936,1056,791,498,1058
SE4,2012,4304,2979,992,725,1037,697,479,1085
SE5,2827,6994,4432,1677,1264,2451,1392,1054,3540
SE6,2810,5664,3621,2204,2016,2552,1997,1389,2644
SE7,1237,2486,1506,818,847,948,755,480,1153
SE8,1636,3724,2437,947,859,1380,864,569,1560
SE9,4002,6220,3992,3208,3050,2727,1829,1600,2671
SG1,3143,6225,4007,2781,2980,2818,2238,1989,2803
SG10,379,292,230,118,141,96,79,55,81
SG11,860,812,610,457,548,340,197,205,256
SG12,2565,3185,2374,1636,1647,1134,795,754,1166
SG13,1766,2230,1532,954,755,579,426,379,521
SG14,1817,2491,1722,956,896,628,472,402,640
SG15,461,675,536,383,429,358,215,201,287
SG16,664,789,666,413,391,339,224,210,259
SG17,1162,1603,1383,857,782,626,404,343,542
SG18,2433,3239,2650,1630,1875,1368,1097,960,1317
SG19,1953,2200,1788,1242,1483,1003,831,788,1047
SG2,2653,3810,2885,2247,2669,2179,1732,1580,2159
SG3,574,785,457,286,271,230,175,140,168
SG4,2753,4493,2554,1310,1159,980,874,625,864
SG5,2740,4029,2623,1395,1491,1162,977,702,1117
SG6,2113,3511,2311,1395,1450,1401,1134,989,1556
SG7,1155,1852,1150,660,708,570,499,349,467
SG8,3330,5019,2823,1833,1974,1553,1081,1028,1362
SG9,1245,1109,904,623,703,470,311,272,420
SK1,689,1327,1110,863,758,923,861,550,924
SK10,4070,5256,3261,1992,1756,1739,1336,902,1634
SK11,2457,3467,2321,1452,1790,1601,1249,849,1533
SK12,3978,5765,3385,2170,2526,2104,1523,1480,1850
SK13,2234,3505,2223,1485,1746,1589,1255,1102,1453
SK14,2490,3623,3088,2615,2729,2301,2414,2024,2352
SK15,1551,2234,1786,1427,1495,1407,1051,1094,1230
SK16,785,1107,1052,893,1017,966,833,830,915
SK17,1708,2344,1518,1092,2015,1522,943,1459,1584
SK2,1766,3190,2233,1536,1517,1581,1295,795,1197
SK22,19,37,21,11,13,12,8,3,8
SK23,15,13,17,14,10,10,7,13,7
SK3,1364,3042,1979,1422,1211,1540,1279,891,1352
SK4,2550,5557,2610,1586,1185,1233,1194,686,1074
SK5,1202,2026,1668,1456,1456,1554,1423,1195,1557
SK6,3138,5112,3229,2220,2219,1864,1616,1165,1456
SK7,3583,5388,2880,1995,1302,1329,1266,622,989
SK8,4283,7977,4094,2789,1910,1962,2004,995,1459
SK9,4425,4983,2899,1560,1085,1125,1203,510,1060
SL0,1241,1581,985,733,608,431,370,380,413
SL1,4349,7589,4706,3734,3656,3637,3259,3889,5713
SL2,3031,4848,2781,2288,2182,2389,2073,2485,3244
SL3,3136,5050,2906,2349,1747,1934,1587,1918,2698
SL4,4643,5333,4190,2025,1766,1723,1036,820,1434
SL5,2784,2664,1745,894,691,750,483,261,559
SL6,7931,10320,6478,3466,3162,2829,2175,1670,2470
SL7,2247,2367,1591,811,726,565,427,223,512
SL8,693,744,517,275,288,245,158,65,160
SL9,2808,2723,1630,967,636,636,459,244,416
SM1,3326,6130,3473,2558,2544,2144,1671,1241,1935
SM2,2371,4254,1916,1444,1126,1037,698,557,852
SM3,1350,2148,1356,1264,1147,877,749,580,704
SM4,2492,3981,2449,1981,2268,1857,1586,1243,2028
SM5,2769,4524,2704,2112,2144,1825,1299,1102,1551
SM6,2281,4064,2396,1966,1538,1504,1153,882,1181
SM7,1464,1855,1122,868,749,648,338,274,419
SN1,1842,4384,2393,1631,1619,1615,1655,2042,4386
SN10,2273,2744,2008,1482,1988,1531,1067,1115,1531
SN11,1960,2330,1921,1322,1637,1266,876,963,1195
SN12,1834,2202,1793,1394,1863,1383,1054,1136,1352
SN13,1455,2061,1230,906,890,779,541,483,732
SN14,2314,3320,2232,1484,1471,1190,994,803,1260
SN15,2322,3321,3265,2038,1775,1262,1080,1018,1334
SN16,1346,1731,949,579,794,486,362,311,460
SN17,14,27,27,13,11,12,15,16,29
SN2,3493,5441,4212,3361,3801,3220,3184,3493,4470
SN25,1616,2696,1882,1175,954,1069,888,996,999
SN3,2584,4220,3068,2665,2733,2417,2201,2462,3363
SN38,43,78,62,56,33,37,38,63,68
SN4,2015,2778,1893,1348,1370,1123,883,761,1006
SN5,2097,3263,2407,1773,1715,1411,1385,1469,1711
SN6,1853,2094,1475,1015,1192,809,609,604,762
SN7,1159,1700,1052,608,762,579,408,335,549
SN8,2291,2388,1531,964,1388,972,606,436,963
SN9,641,611,554,404,464,333,184,159,269
SO1,5384,13064,7062,4899,5418,6074,4759,4819,7893
SO14,403,1100,657,394,520,647,671,844,1332
SO15,49,196,69,40,25,27,26,16,29
SO16,536,1364,636,409,528,554,445,573,853
SO17,560,1894,750,467,462,650,526,447,789
SO18,1986,3545,2615,1980,2390,2107,1601,1549,2097
SO19,2548,3924,3324,2565,3647,3290,2401,2501,3291
SO20,974,936,697,447,493,290,250,189,357
SO21,2533,3203,1803,1067,981,806,511,378,782
SO22,2379,4328,2140,1077,964,1107,966,428,1279
SO23,1538,2986,1248,663,637,669,506,291,846
SO24,907,1083,602,389,489,308,204,138,281
SO3,7691,9916,7149,4821,4819,3610,3078,2101,3054
SO30,251,525,316,208,173,153,159,110,108
SO31,145,218,179,81,73,78,68,40,55
SO32,132,213,139,86,67,66,49,40,40
SO4,7729,9029,6777,5200,6572,5308,3476,3231,4703
SO40,62,86,66,49,38,33,37,17,26
SO41,52,44,39,30,48,69,26,16,37
SO45,3,4,0,3,4,3,2,6,6
SO5,7497,12588,7178,5509,5756,4868,3656,2845,4197
SO50,120,264,151,128,95,86,77,60,80
SO51,247,461,240,150,106,112,80,52,89
SO53,299,590,257,205,100,135,115,47,80
SP1,1445,2654,1478,1419,1072,1106,812,527,999
SP10,2566,3268,2901,2553,2384,1920,1688,1885,2747
SP11,2925,3076,2974,1889,1672,1330,944,964,1369
SP2,1800,3199,1886,1638,1685,1646,1248,962,1592
SP3,1125,1050,778,570,831,458,314,284,481
SP4,2451,2973,4264,2476,2028,1786,1202,995,1812
SP5,1836,2424,1249,1011,1224,765,563,469,686
SP6,1061,1177,765,597,828,579,382,262,521
SP7,970,1045,780,642,1029,705,438,439,773
SP8,759,885,754,596,965,610,529,561,746
SP9,561,560,1703,825,648,592,336,286,585
SR1,228,551,373,303,347,483,527,329,625
SR2,1433,2608,1737,1366,1426,1476,1520,1167,1322
SR3,1333,2264,1770,1591,1563,1713,1942,1572,1698
SR4,1115,2263,1565,1567,1620,1946,2005,1613,2068
SR5,932,1343,1267,1347,1524,1754,1820,1675,2137
SR6,1459,2578,1729,1336,1264,993,1076,852,891
SR7,1115,1847,1532,1247,1374,1462,1443,1313,1391
SR8,987,1566,1411,1245,1590,1412,1547,1731,1743
SS0,2824,4698,3034,2419,2214,2485,1738,1373,2108
SS1,1764,2379,1810,1352,1271,1391,1023,813,1425
SS11,1262,1532,1309,1245,1182,762,616,604,700
SS12,1279,1598,1446,1367,1214,693,600,565,780
SS13,1032,1262,1016,1148,1360,1136,1037,1058,1542
SS14,1168,1767,1358,1348,1561,1475,1156,1246,1933
SS15,1694,2716,1948,1876,1827,1539,1277,1339,2051
SS16,1684,2901,1842,1687,1629,1322,1119,1066,1652
SS17,1806,2133,2006,2133,1983,1385,1075,1456,1649
SS2,1714,2797,2044,1797,1814,1757,1486,1255,1800
SS22,22,21,14,15,19,5,3,6,9
SS3,1588,1985,1730,1440,1331,1306,1009,941,1241
SS4,1385,1770,1462,1356,1305,1001,690,674,871
SS5,1554,1858,1573,1349,1211,781,680,544,653
SS6,2418,3090,2484,2214,1709,1144,1033,868,1090
SS7,3308,3939,3369,3186,2908,1901,1631,1473,1706
SS8,1897,1771,1889,2069,2483,1853,1415,1616,1754
SS9,3508,4748,3741,2769,2112,1655,1411,968,1513
ST1,1108,1742,1565,1269,1680,1754,1798,1932,2866
ST10,1748,2054,1452,1078,1929,1196,857,1072,1291
ST11,690,920,621,406,588,452,336,356,451
ST12,508,628,334,242,281,186,156,139,204
ST13,1580,2122,1507,1066,1773,1316,962,1129,1332
ST14,1447,1787,1199,931,1339,926,803,1042,1329
ST15,1862,2695,1623,1037,1096,912,732,640,1052
ST16,1792,3689,2656,1588,1602,1762,1394,1218,2507
ST17,2180,3570,2384,1708,1666,1512,1461,1065,1965
ST18,1426,1769,1121,745,868,511,463,400,559
ST19,1306,1558,953,755,841,595,478,406,619
ST2,1211,1730,1300,1279,2186,2109,1467,1633,2475
ST20,666,731,497,357,475,283,227,242,344
ST21,472,529,329,219,271,170,142,151,164
ST3,2543,3438,2920,2492,3710,3671,2755,3314,4526
ST4,2140,4555,2838,2166,2570,2867,2445,2453,4320
ST5,3720,6912,4256,3327,3927,3767,3340,2827,4783
ST6,2184,3050,2604,2361,3697,3416,2762,3361,4675
ST7,2977,4553,3301,2418,3221,2526,1944,1901,2516
ST8,925,1352,942,739,1142,998,622,805,861
ST9,620,822,583,467,530,366,294,272,292
SW10,2551,2660,1692,571,198,603,394,208,392
SW11,9960,16565,10339,3448,1826,2899,2018,1180,2441
SW12,4461,8853,5135,1495,566,868,692,328,730
SW13,2427,2675,1555,541,276,455,298,128,245
SW14,2283,2759,1606,584,286,468,268,131,243
SW15,6615,10580,6020,2473,1749,2368,1735,1114,2327
SW16,6300,10950,7194,3418,3678,3417,2564,1964,4770
SW17,5804,12244,7271,2668,1730,2183,1706,1109,2157
SW18,8535,12872,7817,2750,1342,1906,1368,857,1505
SW19,8415,13956,7348,3009,2130,2492,1718,1235,2269
SW1A,308,304,307,41,22,45,34,3,68
SW1E,415,499,234,93,44,59,40,26,75
SW1H,110,150,66,21,18,24,24,12,28
SW1P,1232,2077,1031,492,182,379,356,166,362
SW1V,1995,3447,1782,826,450,631,530,394,642
SW1W,1011,918,529,207,124,252,133,69,121
SW1X,981,672,625,128,64,266,51,28,184
SW1Y,40,67,34,7,16,6,9,7,8
SW2,4407,9639,6456,2228,1547,2337,1556,1021,3087
SW20,3008,4609,2195,1083,784,740,559,318,644
SW3,2777,2541,1496,515,228,687,305,154,281
SW4,3962,8874,5394,1747,981,1468,1122,625,1662
SW5,2036,2505,1359,400,218,497,296,125,269
SW6,8425,11488,7486,2511,1265,2221,1565,785,1699
SW7,1987,1858,1002,254,129,295,187,80,183
SW8,2585,5721,3521,1386,1046,1563,1092,792,2057
SW9,2712,6810,4401,1567,1222,1967,1290,950,2723
SY1,1503,2321,1638,1145,1843,1771,1467,1203,1987
SY10,1451,1772,1084,891,1757,887,688,654,949
SY11,1164,1577,1127,1011,1631,1449,1011,1089,1467
SY12,528,651,438,337,560,364,232,307,395
SY13,1554,1456,1131,882,1663,994,686,798,1089
SY14,519,508,310,206,316,219,147,143,234
SY15,480,588,377,321,809,344,252,296,438
SY16,789,904,736,570,1328,849,657,723,904
SY17,197,262,190,125,378,186,118,134,187
SY18,216,265,154,152,406,243,131,162,183
SY19,53,57,30,40,100,39,17,28,30
SY2,1023,1782,1116,827,1021,1038,775,548,848
SY20,438,498,363,224,661,347,223,247,291
SY21,981,1175,736,653,1663,804,584,712,865
SY22,354,478,287,257,513,288,183,202,292
SY23,1162,2523,1269,1001,1717,1191,1144,520,1380
SY24,239,421,244,185,314,221,121,89,178
SY25,141,208,130,141,281,166,97,86,129
SY3,2319,4287,2165,1520,1651,1667,1207,783,1279
SY4,1830,2158,1576,1140,1564,1184,744,758,1012
SY5,1611,1986,1084,867,1736,928,609,563,843
SY6,591,668,394,274,600,325,212,162,284
SY7,595,620,443,318,928,421,244,301,526
SY8,1105,1057,760,683,1326,790,609,501,881
SY9,121,105,71,69,142,107,56,76,95
TA1,2256,4457,2558,1913,2127,2822,1583,1433,2159
TA10,782,888,647,443,778,449,310,224,458
TA11,579,667,532,353,563,385,310,222,307
TA12,408,449,363,255,424,266,216,207,235
TA13,292,321,232,165,302,211,135,106,137
TA14,205,264,190,153,226,155,103,98,123
TA15,31,67,29,23,27,5,10,12,7
TA16,115,145,114,71,147,110,77,68,84
TA17,55,50,47,19,53,38,17,17,16
TA18,455,618,482,338,626,481,388,379,457
TA19,777,997,691,506,942,558,405,353,484
TA2,1675,2812,2051,1405,1737,2022,1084,1155,1554
TA20,1068,1156,888,820,1458,1059,658,1079,1323
TA21,1315,1810,1148,896,1410,1260,774,726,1046
TA22,155,128,109,72,231,97,67,52,125
TA23,373,389,337,258,476,384,192,190,314
TA24,889,767,636,506,1085,941,632,424,900
TA3,951,1245,765,536,731,513,366,248,442
TA4,1199,1544,962,698,1147,893,485,460,659
TA5,857,1005,715,517,864,582,341,473,675
TA6,2372,2913,2475,2295,3697,2989,2093,3041,4584
TA7,1039,1120,831,606,981,637,453,501,659
TA8,902,979,719,681,1016,894,560,562,779
TA9,658,658,537,428,799,599,446,545,736
TD12,90,81,60,46,124,47,31,35,58
TD15,732,796,605,517,1048,768,837,706,856
TF1,2185,3692,2697,1932,2194,2029,1814,2834,2865
TF10,1587,2192,1418,989,1051,795,690,643,998
TF11,1165,1538,1749,647,762,495,428,303,418
TF12,338,437,282,251,425,290,178,158,326
TF13,285,293,157,125,219,114,111,73,149
TF2,1844,2823,2165,1805,1897,1815,1477,2087,2320
TF3,1148,1906,1470,1116,1350,1451,1100,1737,2023
TF4,1093,1633,1281,889,1013,1024,757,862,1047
TF5,353,564,409,237,272,202,182,146,192
TF6,327,303,207,167,222,132,103,99,131
TF7,724,975,825,564,940,951,641,1044,1231
TF8,58,70,49,29,33,24,10,18,18
TF9,1562,1588,1487,899,1326,1091,707,990,1199
TN1,1465,2256,1452,699,684,700,588,293,758
TN10,1107,1594,1033,774,853,736,587,408,725
TN11,1925,2047,1322,852,801,594,463,316,551
TN12,2647,2942,2005,1568,1637,1151,1005,708,1124
TN13,2944,3778,2108,1116,813,722,550,262,664
TN14,1646,1711,1119,794,780,465,370,240,451
TN15,2059,2105,1469,1091,1160,693,534,436,650
TN16,1571,1620,1386,1037,1132,800,546,438,577
TN17,1398,1324,863,528,775,488,368,244,493
TN18,614,686,455,294,487,287,189,160,247
TN19,550,555,360,247,423,222,143,83,200
TN2,2393,3221,1890,1205,1101,1162,932,541,1128
TN20,532,417,240,163,247,126,86,35,113
TN21,1329,1441,1007,751,1132,774,493,308,508
TN22,2164,2282,1805,1317,1541,1181,778,520,917
TN23,2646,3968,3076,2046,2580,2465,2016,2053,2819
TN24,2044,3383,2190,1598,1819,1697,1461,1240,1814
TN25,1527,1751,1200,794,864,573,489,364,478
TN26,1137,999,675,570,851,425,365,339,453
TN27,996,1006,718,477,612,355,283,234,331
TN28,455,454,400,366,503,493,261,276,364
TN29,552,505,531,448,711,603,335,393,472
TN3,1654,1715,1055,607,650,443,313,171,351
TN30,721,680,459,364,582,352,308,192,343
TN31,1046,895,738,516,982,545,397,299,537
TN32,363,403,266,204,318,178,104,92,142
TN33,977,1027,651,536,767,505,306,211,380
TN34,1799,2608,2105,1413,1853,1995,1206,932,1446
TN35,882,1202,951,684,992,983,614,411,610
TN36,144,145,106,97,144,72,54,54,75
TN37,1038,1741,1429,999,1237,1366,861,611,965
TN38,1152,1674,1342,999,1332,1511,915,743,996
TN39,1454,1792,1352,1143,1392,1448,844,606,934
TN4,2201,3243,1961,1145,1116,1026,826,452,913
TN40,672,961,761,607,752,921,558,318,500
TN5,791,717,549,329,455,310,205,105,215
TN6,1955,2173,1601,1194,1395,1087,844,438,810
TN7,181,198,125,85,118,47,45,20,48
TN8,1042,1113,852,580,746,564,381,303,385
TN9,1257,2084,1358,818,728,690,582,384,722
TQ1,2006,2152,1590,1207,1927,2201,1344,1093,1982
TQ10,254,401,219,128,309,150,114,89,143
TQ11,332,443,291,145,366,240,112,159,222
TQ12,3814,4932,3553,2796,3893,3262,2420,2145,2941
TQ13,1317,1978,1158,744,1221,766,582,469,730
TQ14,1073,1509,991,668,1000,960,615,408,685
TQ2,1693,2305,1637,1309,1810,2127,1267,978,1669
TQ3,1760,1939,1614,1245,2028,2094,1287,1018,1644
TQ4,1047,1200,903,691,1045,1069,712,599,894
TQ5,966,983,800,599,1121,975,613,473,704
TQ6,711,475,430,351,574,265,295,110,406
TQ7,1445,1218,744,542,1443,627,566,288,793
TQ8,154,75,72,43,132,41,50,20,58
TQ9,1200,1753,1111,476,1002,619,471,260,605
TR1,1375,2831,1418,1010,1113,1095,921,493,1076
TR10,812,1211,924,525,989,693,574,379,687
TR11,1734,2503,1735,929,1658,1253,1092,652,1440
TR12,598,573,490,332,839,430,274,238,387
TR13,1130,1442,1175,880,1500,1021,805,596,949
TR14,1392,1728,1358,1166,2117,1945,1246,1134,1579
TR15,1136,1382,1116,1018,1615,1489,1017,917,1274
TR16,831,1220,801,613,1155,817,530,471,654
TR17,138,160,111,51,148,119,78,53,105
TR18,925,1073,966,638,1278,1163,924,559,1080
TR19,575,573,496,265,685,463,281,202,376
TR2,688,762,530,390,800,429,350,215,454
TR20,491,486,421,264,564,330,277,177,330
TR21,128,114,94,56,138,107,65,52,76
TR22,28,8,10,6,21,12,3,2,5
TR24,22,9,13,8,14,19,6,4,7
TR25,12,9,7,4,18,12,9,6,4
TR26,776,612,522,361,682,511,379,236,521
TR27,768,852,677,484,963,710,533,397,727
TR3,775,1154,662,484,650,431,312,228,402
TR4,782,1101,674,417,749,551,407,250,461
TR5,248,512,234,95,204,143,88,60,110
TR6,249,374,203,92,262,181,99,50,137
TR7,1497,1722,1379,797,1647,1259,920,631,1314
TR8,787,835,548,371,803,502,315,275,412
TR9,397,391,358,301,548,401,299,299,420
TS1,343,759,476,409,585,1046,747,946,1501
TS10,1343,2496,2016,1490,1881,2225,1423,1486,1828
TS11,450,834,650,420,539,537,339,402,422
TS12,885,1431,1068,772,1253,1158,689,859,993
TS13,358,379,324,251,564,547,307,451,635
TS14,812,1588,1046,679,952,907,597,534,684
TS15,1149,2061,939,661,568,418,342,293,449
TS16,799,1383,736,523,450,417,344,282,352
TS17,2409,4658,3030,2244,2239,2229,2021,1760,2117
TS18,1078,2146,1439,1058,1233,1215,959,1117,1493
TS19,1137,2020,1540,1323,1542,1751,1448,1329,2006
TS2,20,19,18,18,43,32,34,50,101
TS20,756,1569,1093,868,978,1023,815,692,1017
TS21,780,1339,780,532,623,466,331,369,423
TS22,838,1367,714,478,465,345,282,255,259
TS23,934,1682,1465,1320,1435,1473,1135,1234,1669
TS24,613,1044,971,752,1158,1255,1060,1013,1431
TS25,1209,2163,1768,1476,2171,1930,1536,1622,1844
TS26,1154,2031,1397,946,1111,995,825,807,867
TS27,491,702,536,381,564,459,358,424,410
TS28,201,368,307,213,315,210,217,255,301
TS29,195,309,260,206,315,321,195,288,294
TS3,525,798,807,743,1240,1854,1295,1229,2107
TS4,529,1192,650,613,732,1090,673,740,1116
TS5,1379,3090,2031,1566,1724,1882,1463,1518,1573
TS6,792,1296,1179,1115,1380,1688,1128,1340,1642
TS7,1151,2193,1438,1029,1095,1065,732,761,785
TS8,774,1408,1061,788,875,1041,744,656,871
TS9,781,1282,591,398,615,383,298,245,392
TW1,3929,5542,3199,984,611,832,569,247,571
TW10,2576,3289,1757,609,393,506,345,260,326
TW11,3016,3828,2404,909,558,676,464,204,481
TW12,2224,3115,1831,918,730,788,528,390,511
TW13,1966,3000,2199,1778,2216,1899,1615,1748,2760
TW14,1454,2057,1669,1655,1588,1628,1496,1558,2837
TW15,2160,2780,2292,2062,1687,1407,1086,1050,1246
TW16,1736,2340,1701,1221,1026,942,739,596,779
TW17,1095,1255,1005,798,647,532,382,332,370
TW18,2184,3262,2239,1509,1277,1100,849,706,981
TW19,1218,1377,1144,965,843,776,635,787,1031
TW2,3049,4336,2486,1365,953,1013,736,520,776
TW20,1608,2341,1569,951,868,900,913,444,1058
TW3,2443,4799,2663,2191,2636,2056,2379,1841,4253
TW4,1217,1755,1350,1197,1278,1203,1380,1297,2846
TW5,1537,2118,1437,1433,1219,1056,1518,1241,2259
TW6,62,67,68,89,81,99,89,116,224
TW7,3059,5178,2833,1700,1669,1582,1198,1197,1734
TW8,2111,3568,2268,1059,932,1017,750,664,1034
TW9,2717,3737,2045,696,347,451,290,141,282
UB1,1656,2562,1792,1598,1732,1577,2382,2311,3988
UB10,3143,4991,2961,2117,1727,1484,1183,1060,1409
UB11,93,171,64,56,61,61,51,64,84
UB18,21,25,18,12,26,19,27,33,43
UB2,1401,2133,1448,1210,1179,1184,1774,1751,3265
UB3,2217,3499,2354,2155,2176,2318,2498,2621,4138
UB4,1881,2679,1842,1742,1952,1729,2027,2035,2573
UB5,2153,3556,2229,2065,2544,2236,2115,2153,3164
UB6,2640,4270,2677,2246,3278,1828,1832,1989,2997
UB7,1764,3185,1956,1561,1620,1618,1260,1584,2032
UB8,1956,3708,2170,1654,1555,1422,1165,1156,1550
UB9,1127,1405,891,737,676,564,286,371,517
W1,31,43,17,4,1,6,1,6,1
W10,2542,3490,2868,1318,940,1692,1376,888,1564
W11,3538,4094,2857,955,630,1208,891,481,866
W12,3908,6920,4549,2012,1706,2259,1624,1038,2244
W13,3410,5873,3384,1550,1208,1146,905,692,1272
W14,3744,5953,3708,1316,778,1304,975,461,1084
W1A,1640,1805,910,285,137,232,200,71,199
W1B,89,122,85,17,4,15,7,3,8
W1C,113,114,80,37,8,34,27,12,64
W1D,125,172,95,29,34,25,45,12,48
W1G,227,241,118,27,9,28,21,7,15
W1H,846,985,432,130,40,110,94,60,83
W1J,43,27,17,6,3,1,5,0,5
W1K,77,28,15,10,1,15,2,2,24
W1M,169,255,118,41,15,27,29,12,33
W1N,47,58,38,3,6,1,5,2,5
W1P,285,541,243,79,47,52,72,38,55
W2,4809,6948,3831,1360,646,1129,1004,550,1144
W3,4479,7484,4744,2238,2286,2082,1735,1296,2509
W4,5750,7412,4590,1571,936,1239,918,548,1013
W5,4720,7788,4085,1701,1380,1283,1015,687,1348
W6,2925,5383,3125,1110,722,1075,816,341,909
W7,1754,3303,2003,1099,1328,1130,748,680,1112
W8,2400,2068,1138,330,133,393,177,71,127
W9,3353,5001,3144,1202,658,1109,946,525,945
WA1,1454,2251,1723,1363,1281,1125,1097,1056,1833
WA10,1906,3511,2496,1871,1864,2216,1507,1597,2393
WA11,1798,2800,2049,1756,2053,1912,1414,1586,1976
WA12,1389,2522,1751,1221,1296,1224,1045,883,1354
WA13,1404,1996,924,534,455,380,337,181,370
WA14,3256,5421,2381,1409,956,868,899,395,759
WA15,3819,6141,2622,1668,1035,1107,1033,462,896
WA16,2327,2508,1387,780,690,639,493,282,703
WA2,1686,2391,2033,1854,1874,2015,1948,1916,3488
WA3,3126,4615,3353,2352,2198,1970,1926,1582,2245
WA4,4137,5887,3684,2247,1992,1817,1733,1325,2211
WA5,3781,6376,4298,3052,2480,2329,2632,2130,3112
WA6,1559,2243,1332,814,736,581,590,466,604
WA7,2563,3875,3437,2734,2543,2706,2937,2915,3845
WA8,2959,4534,3588,2996,3013,2805,3097,2925,3710
WA9,1873,2867,2414,1883,2260,2819,2055,2414,3294
WC1A,204,389,220,63,33,74,69,35,72
WC1B,56,147,43,17,4,17,6,7,9
WC1E,45,230,49,20,1,19,11,1,12
WC1H,303,863,420,200,113,191,152,107,185
WC1N,256,717,339,120,87,136,132,75,127
WC1R,19,20,13,9,0,4,6,1,7
WC1V,15,25,13,4,6,8,6,4,5
WC1X,213,447,247,141,84,90,100,68,95
WC2A,49,68,41,8,5,13,13,2,5
WC2B,119,179,127,44,32,68,31,13,20
WC2E,94,156,76,21,10,17,14,2,23
WC2H,89,93,69,28,14,24,24,5,23
WD1,5503,10054,5553,3718,3829,3513,2795,2310,4002
WD17,26,60,25,16,18,23,7,16,22
WD18,39,72,35,25,14,23,20,6,22
WD19,45,64,38,26,11,12,15,6,13
WD2,5920,8420,5515,4127,3877,3423,2557,2232,3366
WD23,34,23,19,8,2,6,5,3,6
WD24,19,50,35,24,15,9,6,13,13
WD25,117,172,94,66,31,44,37,21,21
WD3,4253,5615,3184,2040,1512,1264,895,619,986
WD4,1159,1355,891,520,507,385,239,202,294
WD5,820,1074,769,511,501,449,316,252,350
WD6,3093,4434,2850,2189,2073,1923,1277,1293,1894
WD7,1310,1523,822,557,254,358,252,176,240
WF1,2059,3834,2656,1800,1870,1849,1623,2149,3595
WF10,2222,3102,2975,2375,2753,2465,2262,2740,3725
WF11,705,819,790,675,940,790,698,1141,1264
WF12,1866,2465,1850,1652,1947,1620,1821,1974,1950
WF13,836,1555,1068,963,1190,1167,1256,1808,1605
WF14,1361,1849,1388,942,1057,884,587,623,711
WF15,957,1278,1120,792,1103,889,634,772,943
WF16,394,577,459,372,485,425,377,649,528
WF17,1593,2427,1852,1638,1767,1568,1873,1981,2157
WF2,2682,3910,2925,2145,2415,2162,1836,2080,3381
WF3,1996,2985,2406,1825,1795,1352,1192,1126,1437
WF4,2555,3369,2620,1960,2241,1845,1432,1497,2078
WF5,1156,1572,1364,1049,1177,858,748,798,935
WF6,1045,1425,1257,1026,1057,995,828,1185,1779
WF7,1239,1741,1388,1007,1222,1140,827,1165,1543
WF8,1807,2643,2020,1569,1789,1628,1339,1791,2118
WF9,1524,1823,1697,1413,1908,1822,1329,1932,3692
WN1,1220,2128,1355,1031,1170,1135,838,1081,1401
WN2,2282,3287,2848,2171,3051,2797,2033,2740,2958
WN3,1486,2331,1795,1450,1758,1595,1224,1386,1672
WN4,1347,2029,1568,1413,1478,1287,1076,1151,1421
WN5,1996,3131,2310,1750,2385,2269,1605,1948,2620
WN6,2484,4081,2619,1953,2064,1809,1294,1452,1723
WN7,2129,3176,2633,2146,2724,2506,2049,2271,2767
WN8,2015,2899,2198,1742,2059,2397,1713,2421,3323
WR1,831,1637,1069,585,588,672,595,551,887
WR10,1714,1841,1213,853,1186,836,690,536,799
WR11,3223,3309,2681,2129,2922,2165,1792,2400,2929
WR12,487,405,275,224,301,203,168,90,209
WR13,1153,1269,735,526,710,474,323,245,408
WR14,1764,3070,1693,1201,1609,1401,1003,730,1267
WR15,447,490,300,253,502,299,198,226,328
WR2,1981,2933,1994,1401,1618,1548,1206,994,1551
WR3,1587,2643,1641,1147,1112,1045,826,693,1026
WR4,1228,2209,1432,1209,1260,1347,1043,1259,1848
WR5,2088,3614,2240,1579,1485,1432,1163,1192,1460
WR6,880,900,460,386,521,274,200,192,243
WR7,501,568,349,229,260,156,123,98,116
WR8,525,610,370,299,390,275,198,192,207
WR9,2052,2854,1880,1404,1580,1337,1113,1041,1318
WS1,1086,1924,1137,972,1106,1247,1177,1433,1974
WS10,1469,2144,1889,1864,2567,2161,2080,2639,3296
WS11,2536,3086,2744,2297,3279,2167,1871,2082,2691
WS12,1976,2626,2198,1713,2618,1713,1482,1459,1804
WS13,2442,3405,2089,1298,1315,1034,990,826,1518
WS14,1478,2020,1212,756,572,449,362,264,512
WS15,2289,2636,2085,1542,2251,1676,1376,1715,2173
WS2,986,1743,1272,1202,1715,1973,1616,2310,2907
WS3,1849,2654,2261,1998,3178,2591,1889,2213,3111
WS4,816,1423,944,802,942,815,600,701,877
WS5,1025,1917,1044,883,739,743,750,825,915
WS6,933,1091,925,779,1108,687,582,644,728
WS7,1827,2301,1655,1366,2028,1305,1042,1073,1394
WS8,772,1016,850,746,1139,767,650,796,999
WS9,1499,2063,1439,1190,1303,842,741,688,1026
WV1,549,1299,763,694,781,1097,791,1163,1914
WV10,2114,3600,2502,2285,3047,3059,2045,2947,4098
WV11,1402,2360,1629,1633,1954,1667,1258,1558,2162
WV12,916,1381,1141,1115,1601,1141,916,1183,1225
WV13,754,1058,862,831,1068,909,907,1234,1576
