outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
NR23,220,147,109,78,255,146,131,56,198
NR24,302,225,198,149,334,205,168,113,226
NR25,458,440,333,169,492,316,224,138,282
NR26,376,395,289,236,405,378,299,143,297
NR27,575,510,379,340,616,560,435,261,535
NR28,744,780,764,599,1056,900,620,476,808
NR29,1167,1204,1001,919,1386,1022,688,702,902
NR3,1340,2785,2050,1387,1749,1769,1694,1458,2424
NR30,1033,1008,940,896,1424,1619,1144,1808,2262
NR31,1987,2915,2338,2051,2657,2874,1984,1877,2750
NR32,1612,1951,1751,1412,2096,2239,1599,1557,2147
NR33,1655,2139,1821,1473,2301,2226,1567,1552,1857
NR34,1164,1457,1094,792,1335,943,724,802,930
NR35,577,683,522,376,714,486,301,406,469
NR4,1087,2950,1170,753,669,955,867,452,1026
NR5,1119,2476,1454,1067,1611,1774,1275,1112,1971
NR6,1160,1662,1363,1188,1540,1172,1013,840,1046
NR7,1632,2658,1900,1512,1747,1521,1398,990,1415
NR8,1337,2202,1488,1211,1093,1076,877,637,836
NR9,1198,1914,1160,774,926,682,505,406,626
NW1,4736,9104,5141,1895,1184,2034,1790,1079,1841
NW10,5353,8749,6467,3708,4247,5072,3666,3520,6348
NW11,3547,4889,2085,1580,867,1168,849,425,977
NW2,4281,7133,4307,2433,2810,2950,2219,1933,3744
NW3,6386,10369,5324,1459,680,1301,954,452,839
NW4,2533,3962,2011,1396,1647,1348,1081,929,1876
NW5,1796,3642,2326,774,503,848,637,404,695
NW6,6003,10867,6352,2208,1465,2132,1812,1036,2097
NW7,2574,3670,1878,1111,807,872,668,569,715
NW8,3201,3692,2011,948,432,866,728,376,784
NW9,4182,7470,4032,3057,4133,2921,2837,2631,4145
OL1,924,1445,1184,1023,1446,1407,1075,1209,2170
OL10,1312,1755,1458,1386,1459,1482,1093,1230,1839
OL11,2228,3487,2330,1914,1846,2063,1938,1971,2933
OL12,2116,3306,2321,1798,2170,2201,1581,1917,2513
OL13,834,1108,944,612,1004,927,601,618,767
OL14,878,1463,1057,583,920,784,548,490,642
OL15,870,1419,1064,715,864,738,418,592,646
OL16,1407,2286,1580,1318,1524,1443,1207,1324,1796
OL2,1990,3047,2373,2030,2237,1860,1351,1338,1954
OL3,1386,1975,1140,659,691,473,355,273,474
OL4,1841,2883,2045,1714,2063,2129,1596,1976,2265
OL5,673,1214,948,559,660,587,417,397,520
OL6,1075,1986,1471,1288,1526,1427,1373,1567,1779
OL7,567,814,707,655,742,713,720,851,836
OL8,1122,1803,1379,1250,1567,1958,1773,2304,2717
OL9,1185,2025,1589,1465,1752,1509,1387,1423,2133
OX1,1324,4867,1449,718,616,618,497,285,648
OX10,2534,3615,2282,1385,1548,1139,816,672,1077
OX11,3399,6594,3807,2380,2284,1907,1468,1443,2365
OX12,2303,3580,2389,1477,1684,1269,958,802,1171
OX13,1571,2206,1543,785,861,597,428,475,585
OX14,2759,6274,3217,1998,2091,1654,1234,1062,1663
OX15,2179,2457,1657,1027,1231,816,656,560,755
OX16,2710,4181,3131,2305,2713,2564,2332,3451,4100
OX17,1442,1530,1157,725,837,544,464,404,481
OX18,2315,2500,2808,1782,1757,1396,931,935,1224
OX2,2751,8233,2348,1136,931,898,718,488,1009
OX20,655,1043,531,278,333,257,172,106,201
OX25,1387,1604,1329,720,787,535,455,398,529
OX26,2667,4043,2873,1970,2044,1403,2137,1335,2129
OX27,651,870,566,373,389,269,228,171,246
OX28,2139,2984,2174,1406,1769,1387,1090,983,1378
OX29,1945,2942,1747,1108,1363,913,628,605,801
OX3,2077,9151,2610,1571,1505,2077,1247,1116,2438
OX33,582,987,444,317,437,284,190,154,205
OX39,730,936,673,402,521,328,239,201,261
OX4,2512,8618,3733,2231,2558,3075,2339,2270,4505
OX44,713,935,529,363,472,314,194,177,247
OX49,488,523,335,172,244,150,128,63,131
OX5,1555,2784,1485,1231,1355,1009,759,654,1137
OX7,1953,2190,1404,763,1301,998,586,468,801
OX9,1395,1805,1246,734,809,565,448,328,501
PE1,1744,2853,2076,1863,2094,2171,2424,4132,6257
PE10,1767,2187,1596,1143,1384,1275,875,993,1181
