outcode,Average Income,Median Income,Per Capita Income
LA16,39746.77,40300.0,2315.28
LA17,45711.29,45800.0,985.42
LA18,35400.0,35400.0,5755.64
LA19,35400.0,35400.0,2541.5
LA2,43152.61,43500.0,10728.41
LA20,44825.0,45800.0,956.61
LA21,45757.14,45800.0,1961.94
LA22,44943.94,44200.0,3345.79
LA23,44393.93,44300.0,9050.51
LA3,35488.43,39000.0,12050.04
LA4,33788.34,31400.0,26371.22
LA5,42895.56,42400.0,53281.09
LA6,44118.16,44200.0,38554.92
LA7,45658.5,44700.0,6017.43
LA8,45511.3,44900.0,8479.35
LA9,41368.27,41400.0,18661.18
LD7,42400.0,42400.0,4194.13
LD8,44455.56,45000.0,3986.13
LE1,39176.76,39700.0,19848.01
LE10,42568.67,39700.0,32402.52
LE11,39107.7,35900.0,24837.92
LE12,46119.34,45200.0,59100.6
LE13,41617.01,39100.0,234812.09
LE14,45205.06,46700.0,11519.29
LE15,46819.93,47000.0,16503.28
LE16,43891.13,46800.0,36650.0
LE17,47204.87,47700.0,40380.68
LE18,38611.18,36600.0,24680.12
LE19,45413.46,45300.0,2148323.8
LE2,41321.19,39700.0,3250386.18
LE3,40381.92,39700.0,268558.7
LE4,36662.37,37400.0,80765.98
LE5,37939.8,39400.0,9663761.93
LE55,45442.86,46400.0,382.56
LE6,42967.34,42300.0,56088.35
LE65,46437.23,46400.0,264.55
LE67,41535.87,40100.0,24580.58
LE7,45029.18,45400.0,79600.61
LE8,43814.52,44900.0,36162.76
LE9,43461.82,43600.0,46756.88
LL14,41500.0,41500.0,17744.43
LN1,38938.33,41700.0,78821.3
LN10,39512.3,40000.0,42464.51
LN11,35558.22,34200.0,406831.28
LN12,26674.95,25900.0,21767.83
LN13,32846.91,32200.0,165662.68
LN2,39889.29,39900.0,30881.33
LN3,39045.05,39800.0,253006.45
LN4,41486.86,41200.0,509511.4
LN5,37038.25,33100.0,108351.71
LN6,40561.44,42400.0,134632.41
LN7,39989.22,40100.0,4825.71
LN8,37947.22,36400.0,5758.0
LN9,36302.22,34800.0,9207.8
LS1,43509.95,49600.0,23376.01
LS10,36712.75,39800.0,131232.7
LS11,33362.31,32500.0,63800.37
LS12,34221.0,34800.0,21900.01
LS13,35756.66,35400.0,48607.77
LS14,37770.33,38200.0,118789.08
LS15,46030.31,43400.0,37369.51
LS16,49900.77,47300.0,1154546.24
LS17,53739.08,54300.0,1253438.69
LS18,54309.06,60200.0,185572.73
LS19,45327.12,42400.0,85858.8
LS2,40195.71,49600.0,45245.13
LS20,52741.14,49700.0,12538.92
LS21,48195.47,44800.0,7392.13
LS22,52594.58,55500.0,5803.74
LS23,50120.07,53800.0,2839.53
LS24,50188.11,44700.0,10015.42
LS25,46576.84,46200.0,47531.79
LS26,42877.28,42200.0,16075.46
LS27,41708.67,41900.0,17966.57
LS28,43371.61,41700.0,31289.53
LS29,58286.29,56900.0,24244.75
LS3,31049.78,30200.0,1225.0
LS4,36153.4,35100.0,1185.69
LS5,36550.55,35400.0,1010.08
LS6,39874.91,42100.0,6362.74
LS7,38402.78,33800.0,5341.38
LS8,39767.13,32100.0,1425859.91
LS9,33172.88,32200.0,6715.84
LU1,40219.53,36700.0,901452.46
LU2,46853.99,48800.0,200244.07
LU3,44759.66,44700.0,20600.33
LU4,43180.91,42400.0,19312.61
LU5,49666.08,49100.0,15557.95
LU6,49923.75,48600.0,14549.77
LU7,55176.1,54300.0,54983.28
M1,49181.86,50800.0,11577.26
M10,35107.97,34300.0,21827.22
M11,32986.14,33400.0,27856.68
M12,33735.39,33000.0,17732.54
M13,32473.32,33400.0,39878.94
M14,34088.4,33900.0,14551.51
M15,38823.35,35700.0,21916.73
M16,37468.5,35700.0,76878.7
M17,43980.22,44500.0,6715.11
M18,33333.73,33200.0,16963.11
M19,38117.52,37100.0,145370.98
M2,47777.33,46000.0,3735.1
M20,51726.37,52200.0,2373716.28
M21,54498.78,55600.0,152270.76
M22,36478.87,35900.0,1072807.83
M23,37971.96,38400.0,37500.52
M24,37840.05,36300.0,47669.95
M25,44667.96,45700.0,45988.61
M26,36908.06,37100.0,59956.13
M27,40924.51,39600.0,125590.49
M28,44307.32,44700.0,241213.6
M29,39945.69,38400.0,191873.58
M3,44878.23,42100.0,425410.17
M30,38856.94,37900.0,244240.96
M31,42223.71,43300.0,1222479.75
M32,41255.28,41300.0,684740.72
M33,52109.62,53500.0,4446394.16
M34,37581.65,36500.0,192167.8
M35,36751.28,36200.0,116297.3
M4,45281.49,46000.0,174782.87
M40,34789.78,34300.0,34196.35
M41,45066.84,44500.0,7365.01
M43,37892.8,38100.0,11326.2
M44,38956.06,40100.0,9387.77
M46,37173.51,35500.0,6948.69
M5,41961.61,42100.0,132094.4
M50,43620.98,45000.0,61524.61
M6,36327.58,35800.0,161877.77
M7,36341.53,36600.0,28573.52
M8,37968.02,38100.0,32163.87
M9,34115.06,33800.0,25975.25
ME1,48023.91,46800.0,317968.84
ME10,46512.94,47100.0,38849.35
ME11,37719.73,37700.0,19423.14
ME12,37709.85,38100.0,116448.3
ME13,46498.14,46000.0,181722.47
ME14,55195.76,54900.0,162355.32
ME15,51393.04,53000.0,407178.06
ME16,55476.9,56300.0,472600.38
ME17,53141.9,51900.0,911765.71
ME18,56218.11,47800.0,7505.34
ME19,56172.21,50800.0,296979.78
ME2,49827.7,47900.0,879166.88
ME20,50552.01,51100.0,87792.78
ME3,47678.02,49600.0,1767416.63
ME4,45576.77,41900.0,2007165.2
ME5,47408.82,46300.0,505573.08
ME6,47533.77,46100.0,360522.96
ME7,47523.29,48500.0,1854159.67
ME8,48927.93,48500.0,423388.59
ME9,50724.09,51700.0,291393.71
MK1,46599.78,44700.0,514944.33
MK10,70902.47,72000.0,103203.0
MK11,59545.77,63600.0,8025.22
MK12,53234.38,53900.0,50585.12
MK13,57074.9,55400.0,12563.51
MK14,56443.07,59100.0,30978.08
MK15,62247.3,59100.0,22786.35
MK16,56215.89,55000.0,10926.08
MK17,60817.64,60600.0,32628.94
MK18,55584.69,56100.0,18501.19
MK19,57335.77,60900.0,8677.31
MK2,49476.44,48900.0,4286.96
MK3,52868.22,52600.0,78122.06
MK4,64571.13,71000.0,73831.14
MK40,47916.18,47300.0,93796.72
MK41,48901.54,49900.0,51446.57
MK42,47103.1,47300.0,25350.0
MK43,53730.54,53200.0,22248.06
MK44,52935.58,54600.0,8514.95
MK45,54524.52,56500.0,28173.4
MK46,54430.52,54100.0,5043.29
MK5,63599.18,63600.0,10942.19
MK6,55268.18,56800.0,13645.74
MK7,66265.08,61900.0,8568.71
MK8,65142.53,63600.0,13809.94
MK9,53991.37,51200.0,5384.67
N1,68052.1,62100.0,252031.54
N10,73991.76,77300.0,66954.92
N11,57892.6,58000.0,43892.62
N12,61011.96,61700.0,47595.62
N13,61843.48,59400.0,86502.19
N14,59537.6,54600.0,48191.93
N15,52379.43,48700.0,24230.22
N16,53551.43,45600.0,39914.13
N17,45706.51,46400.0,31166.22
N18,44095.94,42500.0,13675.4
N19,57240.64,58600.0,31981.42
N1C,47232.58,46600.0,12892.39
N2,67926.17,66300.0,73302.95
N20,61327.83,62500.0,58936.14
N21,66724.89,69500.0,11301.42
N22,56865.89,57700.0,30010.96
N3,62225.19,60800.0,12688.82
N4,61720.27,59100.0,35961.14
N5,75625.37,80100.0,15548.8
N6,67732.05,74500.0,8541.04
N7,61668.69,63200.0,19655.64
N8,65095.52,60100.0,18560.63
N9,43699.07,42300.0,17239.51
NE1,31489.04,31100.0,6380.85
NE10,33140.68,32100.0,9299.93
NE11,36609.69,37100.0,14885.39
NE12,39452.0,38500.0,13628.96
NE13,44253.54,47900.0,17504.45
