outcode,Single,Married,Seperated,Divorced,Widowed
SK14,16349,16698,1094,3934,2643
SK15,8853,9512,647,2283,1382
SK16,5995,5917,386,1516,1058
SK17,8220,11235,549,2562,1774
SK2,9295,11034,536,2441,1547
SK22,86,81,6,38,20
SK23,65,64,2,15,3
SK3,10158,8370,544,2112,1200
SK4,10643,13275,539,2408,1657
SK5,11480,7728,596,2186,1362
SK6,12860,19906,793,3628,3362
SK7,9207,19024,480,2674,2744
SK8,14498,24939,834,3632,3432
SK9,10076,16219,597,3168,2306
SL0,3446,5491,193,813,587
SL1,22910,32674,1634,5008,2943
SL2,14492,21568,988,3035,2162
SL3,12205,19259,829,2938,1803
SL4,12891,17533,795,3499,2260
SL5,5296,9968,368,1682,1216
SL6,20207,34127,1174,5222,3735
SL7,4077,8839,293,1581,1201
SL8,1618,2721,90,538,376
SL9,4867,10488,258,1137,1328
SM1,14400,18159,808,3077,1897
SM2,8901,11718,531,2006,1411
SM3,5179,8493,259,1114,1017
SM4,12373,15134,643,2361,1668
SM5,11669,15180,700,2449,1572
SM6,10301,12754,637,2199,1513
SM7,3766,7319,227,1045,1129
SN1,11982,15014,745,2580,1325
SN10,8322,13848,637,3025,1925
SN11,6622,11354,432,2413,1245
SN12,7166,11785,473,2447,1627
SN13,4509,7809,318,1542,1016
SN14,7098,12803,464,2295,1377
SN15,9596,13334,574,2393,1485
SN16,3232,6407,250,1102,829
SN17,74,141,4,22,9
SN2,19353,26408,1324,5598,3171
SN25,6019,7273,481,1571,306
SN3,14430,21680,903,4294,3009
SN38,324,299,29,70,25
SN4,6239,12104,504,2233,1705
SN5,8678,13784,615,2706,1285
SN6,4714,9680,398,1635,1183
SN7,3510,5761,266,1091,689
SN8,5707,10839,421,1990,1485
SN9,1639,3394,147,681,482
SO1,46886,36461,2147,8863,4446
SO14,7833,3636,266,782,304
SO15,365,234,14,46,46
SO16,7128,3985,226,826,435
SO17,8072,3835,232,941,578
SO18,12486,14183,795,3444,1938
SO19,18170,18462,1207,4891,2567
SO20,1945,4650,161,663,490
SO21,5374,11566,319,1545,1193
SO22,11636,12148,430,1767,1386
SO23,6241,6876,321,1605,1137
SO24,1967,4474,147,741,676
SO3,21685,40664,1447,7440,5185
SO30,953,1163,79,254,52
SO31,493,564,31,102,50
SO32,388,475,22,60,8
SO4,26167,50203,2015,9837,7861
SO40,176,289,10,73,18
SO41,204,259,21,97,48
SO45,24,60,4,19,17
SO5,26528,46815,1784,8614,6052
SO50,634,581,39,156,25
SO51,727,1129,67,232,111
SO53,710,1440,60,251,48
SP1,6475,9021,471,2221,1534
SP10,11581,16141,868,3820,2208
SP11,8141,13059,666,2320,1174
SP2,8733,11663,634,2755,1668
SP3,2570,5785,247,1043,782
SP4,9001,15749,832,2521,1417
SP5,4261,10801,260,1577,1231
SP6,2871,6107,208,1121,850
SP7,3870,5875,293,1332,899
SP8,3111,5958,301,1283,955
SP9,2804,4310,275,568,168
SR1,4745,2513,272,913,520
SR2,10600,11582,681,2184,1857
SR3,11400,13120,721,2602,2249
SR4,13482,12135,779,2640,2226
SR5,12152,9967,744,2517,2046
SR6,6985,11740,425,2015,2021
SR7,9009,10716,595,2444,1878
SR8,11073,10847,780,2987,2156
SS0,16278,14907,1092,4270,2247
SS1,10038,9762,688,2717,1533
SS11,4877,8083,295,1432,1299
SS12,5255,7482,299,1418,918
SS13,7385,7496,582,2117,1186
SS14,9100,8261,656,2241,1222
SS15,10884,10790,813,2694,1457
SS16,9444,10645,611,2212,1213
SS17,9205,12791,523,2272,1777
SS2,11716,11198,765,3189,1752
SS22,73,133,2,24,27
SS3,8042,9749,566,2505,1428
SS4,6051,8262,387,1809,1299
SS5,4979,10289,303,1535,1408
SS6,8179,14442,483,2412,2030
SS7,12591,21139,684,3496,3301
SS8,10429,14609,710,3132,2741
SS9,12573,18687,794,3976,2839
