outcode,Christian,Buddhist,Hindu,Muslim,Others,None
LL49,1805,13,0,22,15,301
LL51,603,6,1,7,5,106
LL52,1533,9,2,11,19,237
LL53,7917,36,11,60,110,1055
LL54,5690,22,6,22,82,809
LL55,9732,76,7,73,87,1459
LL56,1015,13,8,5,5,150
LL57,9759,128,168,836,310,1973
LL58,2021,22,2,18,24,249
LL59,2709,14,9,78,24,306
LL60,1742,4,1,0,20,240
LL61,2984,19,8,22,41,406
LL62,1559,1,6,14,13,166
LL63,921,1,1,5,3,106
LL64,335,1,0,6,4,46
LL65,11473,42,21,82,123,1515
LL66,1081,1,0,1,14,191
LL67,497,2,0,0,2,69
LL68,2601,16,2,27,18,306
LL69,161,3,0,0,0,10
LL70,182,0,0,0,3,17
LL71,1031,4,0,1,10,112
LL72,315,1,1,1,8,32
LL73,288,1,0,0,0,18
LL74,1451,3,0,8,15,107
LL75,698,1,1,8,3,117
LL76,267,0,0,3,0,18
LL77,3166,13,10,58,16,403
LN1,15643,143,164,479,354,2834
LN10,4570,26,8,30,38,419
LN11,16155,84,47,80,170,1904
LN12,7737,24,22,33,117,987
LN13,4378,6,9,14,51,497
LN2,21330,140,296,820,388,2677
LN3,9344,48,42,44,119,958
LN4,22224,70,62,140,252,2312
LN5,16626,97,80,395,248,2173
LN6,29713,120,182,520,412,3602
LN7,3826,17,18,2,61,395
LN8,4345,8,6,33,51,515
LN9,4853,14,9,35,60,591
LS1,4391,171,402,1343,310,1659
LS10,17078,97,453,1262,351,2089
LS11,16028,127,281,8779,516,2141
LS12,18020,151,386,3016,664,2441
LS13,15605,113,143,768,344,2171
LS14,18224,119,390,1350,738,2165
LS15,18978,112,115,437,254,1701
LS16,18457,129,623,3155,1028,2457
LS17,17381,200,1599,4733,6301,2258
LS18,9920,81,163,439,331,1212
LS19,9498,54,68,156,224,1131
LS2,2626,131,451,1372,322,1079
LS20,6798,29,37,85,139,745
LS21,9100,56,42,55,153,982
LS22,10196,25,35,97,154,873
LS23,5745,32,17,125,86,451
LS24,7566,16,17,15,89,651
LS25,23751,86,84,145,287,2244
LS26,16257,75,107,222,243,1584
LS27,16037,112,610,503,489,1945
LS28,16168,98,503,1766,1155,1993
LS29,17140,79,59,246,209,1688
LS3,488,9,29,501,28,207
LS4,2439,79,161,1046,232,684
LS5,2576,25,42,357,118,367
LS6,13212,221,668,3653,1142,4268
LS7,11282,122,288,5648,1233,2005
LS8,17251,219,654,15039,2130,2981
LS9,17875,189,619,5780,358,2169
LU1,20597,159,1724,15106,1046,3474
LU2,29832,252,1963,9803,1304,3824
LU3,22754,135,1927,25151,1355,3816
LU4,18298,145,1970,24380,885,3220
LU5,22080,167,909,1474,459,2308
LU6,16744,132,425,465,331,1743
LU7,28497,170,380,486,492,3489
M1,3766,311,304,1574,291,2132
M10,28188,349,300,4660,323,2733
M11,12597,271,184,3613,196,1357
M12,6204,117,175,13051,132,1213
M13,5658,190,511,11980,388,1992
M14,14223,252,1171,17088,931,4179
M15,6406,201,288,4461,414,1831
M16,9509,177,292,13657,932,2073
M17,1009,10,39,137,33,132
M18,12189,97,91,5173,262,1359
M19,11470,141,312,14331,316,1807
M2,82,3,8,35,3,16
M20,16557,261,790,5900,950,2906
M21,8834,201,184,3969,460,1494
