outcode,total_applications,successful_applications,success_rate
PA36,11,9,81.82
PA37,79,68,86.08
PA38,32,29,90.62
PA4,163,105,64.42
PA41,11,7,63.64
PA42,46,24,52.17
PA43,14,7,50.0
PA44,13,8,61.54
PA45,1,0,0.0
PA46,5,3,60.0
PA47,6,4,66.67
PA48,14,12,85.71
PA49,9,4,44.44
PA5,105,58,55.24
PA6,87,51,58.62
PA60,11,3,27.27
PA61,6,6,100.0
PA64,5,5,100.0
PA65,3,3,100.0
PA66,4,3,75.0
PA67,16,12,75.0
PA68,1,1,100.0
PA69,1,1,100.0
PA7,90,55,61.11
PA70,6,3,50.0
PA71,3,2,66.67
PA72,19,17,89.47
PA73,5,5,100.0
PA74,2,2,100.0
PA75,54,38,70.37
PA76,8,4,50.0
PA77,32,25,78.12
PA78,4,3,75.0
PA8,39,21,53.85
PA80,14,10,71.43
PA9,12,9,75.0
PE1,779,514,65.98
PE10,1649,1166,70.71
PE11,1673,1323,79.08
PE12,2094,1615,77.13
PE13,964,729,75.62
PE14,1134,773,68.17
PE15,669,508,75.93
PE16,272,210,77.21
PE19,2034,1336,65.68
PE2,503,338,67.2
PE20,859,191,22.24
PE21,1093,190,17.38
PE22,805,426,52.92
PE23,586,477,81.4
PE24,513,399,77.78
PE25,440,349,79.32
PE26,448,301,67.19
PE27,815,525,64.42
PE28,3499,2078,59.39
PE29,874,599,68.54
PE3,304,226,74.34
PE30,1258,872,69.32
PE31,2125,1515,71.29
PE32,1190,679,57.06
PE33,805,591,73.42
PE34,593,414,69.81
PE36,794,561,70.65
PE37,584,174,29.79
PE38,629,486,77.27
PE4,180,121,67.22
PE5,118,92,77.97
PE6,2012,1442,71.67
PE7,954,644,67.51
PE8,1498,1004,67.02
PE9,3794,2791,73.56
PH1,428,326,76.17
PH10,184,139,75.54
PH11,49,31,63.27
PH12,41,19,46.34
PH13,58,34,58.62
PH14,46,28,60.87
PH15,256,172,67.19
PH16,152,108,71.05
PH17,20,11,55.0
PH18,61,30,49.18
PH19,5,2,40.0
PH2,607,416,68.53
PH20,101,49,48.51
PH21,160,63,39.38
PH22,403,161,39.95
PH23,73,18,24.66
PH24,88,33,37.5
PH25,97,43,44.33
PH26,254,103,40.55
PH3,141,109,77.3
PH30,4,4,100.0
PH31,11,5,45.45
PH32,18,15,83.33
PH33,163,109,66.87
PH34,31,23,74.19
PH35,12,7,58.33
PH36,41,34,82.93
PH37,3,2,66.67
PH38,7,6,85.71
PH39,21,14,66.67
PH4,10,7,70.0
PH40,6,6,100.0
PH41,15,11,73.33
PH42,3,3,100.0
PH44,1,1,100.0
PH49,41,27,65.85
PH5,22,17,77.27
PH50,16,11,68.75
PH6,96,68,70.83
PH7,206,161,78.16
PH8,120,71,59.17
PH9,38,25,65.79
PL0,1,1,100.0
PL1,642,375,58.41
PL10,127,19,14.96
PL11,217,34,15.67
PL12,514,95,18.48
PL13,380,59,15.53
PL14,713,120,16.83
PL15,845,184,21.78
PL16,187,56,29.95
PL17,242,63,26.03
PL18,143,18,12.59
PL19,1148,353,30.75
PL2,204,123,60.29
PL20,583,176,30.19
PL21,1051,251,23.88
PL22,153,25,16.34
PL23,249,21,8.43
PL24,199,23,11.56
PL25,419,41,9.79
PL26,726,90,12.4
PL27,669,81,12.11
PL28,364,37,10.16
PL29,110,19,17.27
PL3,406,284,69.95
PL30,522,87,16.67
PL31,234,37,15.81
PL32,137,23,16.79
PL33,49,5,10.2
PL34,109,8,7.34
PL35,101,21,20.79
PL4,441,284,64.4
PL5,321,207,64.49
PL6,651,392,60.22
PL7,529,285,53.88
PL8,580,61,10.52
PL9,634,269,42.43
PO1,357,62,17.37
PO10,1172,814,69.45
PO11,786,520,66.16
PO12,1098,934,85.06
PO13,514,420,81.71
PO14,1278,1095,85.68
PO15,776,660,85.05
PO16,1454,1225,84.25
PO17,451,332,73.61
PO18,1457,1025,70.35
PO19,2136,1438,67.32
PO2,436,80,18.35
PO20,3551,2353,66.26
PO21,1981,1384,69.86
PO22,1402,999,71.26
PO3,211,49,23.22
PO30,720,469,65.14
PO31,405,291,71.85
PO32,88,68,77.27
PO33,770,520,67.53
PO34,209,136,65.07
PO35,191,136,71.2
PO36,329,205,62.31
PO37,221,158,71.49
PO38,535,342,63.93
PO39,75,48,64.0
PO4,519,120,23.12
PO40,173,111,64.16
PO41,154,94,61.04
PO5,491,54,11.0
PO6,545,104,19.08
PO7,1391,993,71.39
PO8,985,692,70.25
PO9,1195,799,66.86
PR1,1122,250,22.28
PR2,590,98,16.61
PR23,2,0,0.0
PR25,638,285,44.67
PR26,726,342,47.11
PR3,2577,1012,39.27
PR4,3089,1437,46.52
PR5,1042,365,35.03
PR6,1400,957,68.36
PR7,1705,1270,74.49
PR8,850,212,24.94
PR9,571,171,29.95
RG1,936,669,71.47
RG10,1006,733,72.86
RG11,1,1,100.0
RG12,571,405,70.93
RG14,961,651,67.74
RG17,682,421,61.73
RG18,389,261,67.1
RG19,345,249,72.17
RG2,710,541,76.2
RG20,1453,1025,70.54
RG21,872,626,71.79
RG22,815,520,63.8
RG23,418,302,72.25
RG24,1133,835,73.7
RG25,1141,898,78.7
RG26,1219,854,70.06
RG27,2533,1668,65.85
RG28,459,349,76.03
RG29,1218,708,58.13
RG30,499,380,76.15
RG31,504,359,71.23
RG4,1558,1265,81.19
RG40,1393,1001,71.86
RG41,789,617,78.2
RG42,731,511,69.9
RG45,500,365,73.0
RG5,568,460,80.99
RG6,775,598,77.16
RG7,1473,1008,68.43
RG8,1406,1165,82.86
RG9,2901,2356,81.21
RH1,3201,1247,38.96
RH10,1113,784,70.44
RH11,285,178,62.46
RH12,2915,2114,72.52
RH13,2747,2006,73.03
RH14,1407,927,65.88
RH15,1383,1039,75.13
RH16,1999,1569,78.49
RH17,2220,1656,74.59
RH18,349,259,74.21
RH19,2015,1500,74.44
RH2,2786,717,25.74
RH20,2155,1521,70.58
RH3,511,137,26.81
RH4,1680,360,21.43
RH5,1849,407,22.01
RH6,2291,678,29.59
RH7,686,427,62.24
RH8,1299,912,70.21
RH9,473,312,65.96
RM1,693,179,25.83
RM10,681,409,60.06
RM11,1047,241,23.02
RM12,697,199,28.55
RM13,875,264,30.17
RM14,986,240,24.34
RM15,380,266,70.0
RM16,663,507,76.47
RM17,441,305,69.16
RM18,234,155,66.24
RM19,65,46,70.77
RM2,506,121,23.91
RM20,149,112,75.17
RM3,741,220,29.69
RM4,719,202,28.09
RM5,432,132,30.56
RM6,821,452,55.05
RM7,649,221,34.05
RM8,704,414,58.81
RM9,746,371,49.73
S1,514,243,47.28
S10,1235,941,76.19
S11,758,575,75.86
S12,309,222,71.84
S13,160,117,73.12
S14,12,7,58.33
S17,494,346,70.04
S18,1037,675,65.09
S2,336,201,59.82
S20,241,164,68.05
S21,541,351,64.88
S25,3,2,66.67
S26,5,4,80.0
S3,264,93,35.23
S30,9,3,33.33
S32,114,111,97.37
S33,72,63,87.5
S35,560,323,57.68
S36,473,140,29.6
S37,1,1,100.0
S38,1,0,0.0
S4,145,85,58.62
S40,1010,110,10.89
S41,958,106,11.06
S42,1015,622,61.28
S43,878,264,30.07
S44,722,455,63.02
S45,614,352,57.33
S49,2,0,0.0
S5,269,165,61.34
S6,623,401,64.37
S60,6,4,66.67
S61,2,1,50.0
S62,3,2,66.67
S63,113,15,13.27
S64,114,73,64.04
S65,3,3,100.0
S66,82,62,75.61
S7,439,355,80.87
S70,334,33,9.88
S71,305,43,14.1
S72,182,23,12.64
S73,143,12,8.39
S74,123,11,8.94
S75,436,43,9.86
S8,582,390,67.01
S80,727,543,74.69
S81,707,540,76.38
S9,451,244,54.1
SA1,821,587,71.5
SA10,307,226,73.62
SA11,355,270,76.06
SA12,275,226,82.18
SA13,230,178,77.39
SA14,536,292,54.48
SA15,380,249,65.53
SA16,131,86,65.65
SA17,212,105,49.53
SA18,427,245,57.38
SA19,352,226,64.2
SA2,706,528,74.79
SA20,95,72,75.79
SA3,1313,956,72.81
SA31,269,176,65.43
SA32,303,198,65.35
SA33,428,264,61.68
SA34,145,90,62.07
SA35,18,12,66.67
SA36,6,6,100.0
SA37,44,25,56.82
SA38,109,48,44.04
SA39,57,37,64.91
SA4,785,559,71.21
SA40,45,23,51.11
SA41,92,40,43.48
SA42,182,84,46.15
SA43,430,111,25.81
SA44,290,74,25.52
SA45,95,8,8.42
SA46,79,11,13.92
SA47,53,5,9.43
SA48,150,27,18.0
SA5,358,257,71.79
SA6,407,284,69.78
SA60,3,3,100.0
SA61,210,130,61.9
SA62,847,388,45.81
SA63,21,11,52.38
SA64,60,28,46.67
SA65,125,73,58.4
SA66,123,57,46.34
SA67,273,146,53.48
SA68,106,52,49.06
SA69,146,55,37.67
SA7,198,160,80.81
SA70,400,167,41.75
SA71,245,130,53.06
SA72,136,88,64.71
SA73,270,163,60.37
SA8,197,161,81.73
SA9,195,137,70.26
SE1,1934,1411,72.96
SE10,1137,778,68.43
SE11,577,415,71.92
SE12,653,416,63.71
SE13,1189,797,67.03
SE14,860,596,69.3
SE15,1245,919,73.82
SE16,582,400,68.73
SE17,293,229,78.16
SE18,1476,939,63.62
SE19,748,515,68.85
SE2,381,179,46.98
SE20,328,206,62.8
SE21,886,714,80.59
SE22,831,655,78.82
SE23,1009,673,66.7
SE24,640,472,73.75
SE25,656,369,56.25
SE26,899,573,63.74
SE27,559,338,60.47
SE28,221,105,47.51
SE3,1897,1400,73.8
SE4,949,695,73.23
SE5,938,704,75.05
SE6,1198,711,59.35
SE7,479,292,60.96
SE8,551,350,63.52
SE9,1765,1019,57.73
SG1,1713,1140,66.55
SG10,326,69,21.17
SG11,979,206,21.04
SG12,1573,359,22.82
SG13,1127,256,22.72
SG14,1518,336,22.13
SG15,73,42,57.53
SG16,176,81,46.02
SG17,291,167,57.39
SG18,565,360,63.72
SG19,995,619,62.21
