outcode,total_applications,successful_applications,success_rate
TN28,494,100,20.24
TN29,779,147,18.87
TN3,1815,1396,76.91
TN30,1224,385,31.45
TN31,1118,272,24.33
TN32,523,114,21.8
TN33,1236,361,29.21
TN34,1304,781,59.89
TN35,736,285,38.72
TN36,204,44,21.57
TN37,743,460,61.91
TN38,693,443,63.92
TN39,1027,294,28.63
TN4,1987,1732,87.17
TN40,496,111,22.38
TN5,1031,648,62.85
TN6,1778,1394,78.4
TN7,404,281,69.55
TN8,1862,942,50.59
TN9,1045,718,68.71
TQ1,866,521,60.16
TQ10,213,64,30.05
TQ11,175,82,46.86
TQ12,2567,1470,57.27
TQ13,1445,806,55.78
TQ14,1271,704,55.39
TQ2,581,356,61.27
TQ3,527,245,46.49
TQ4,366,223,60.93
TQ5,423,221,52.25
TQ6,1271,220,17.31
TQ7,2561,396,15.46
TQ8,873,136,15.58
TQ9,2140,497,23.22
TR1,746,96,12.87
TR10,352,66,18.75
TR11,1177,173,14.7
TR12,539,57,10.58
TR13,754,105,13.93
TR14,610,83,13.61
TR15,439,57,12.98
TR16,566,72,12.72
TR17,98,10,10.2
TR18,611,60,9.82
TR19,594,59,9.93
TR2,605,85,14.05
TR20,545,72,13.21
TR21,90,57,63.33
TR22,2,1,50.0
TR23,4,2,50.0
TR24,2,1,50.0
TR25,10,5,50.0
TR26,641,52,8.11
TR27,592,70,11.82
TR3,749,83,11.08
TR4,603,76,12.6
TR5,304,37,12.17
TR6,151,15,9.93
TR7,512,51,9.96
TR8,571,98,17.16
TR9,225,36,16.0
TS1,223,39,17.49
TS10,383,288,75.2
TS11,128,82,64.06
TS12,340,241,70.88
TS13,88,62,70.45
TS14,242,179,73.97
TS15,621,298,47.99
TS16,228,32,14.04
TS17,362,27,7.46
TS18,378,36,9.52
TS19,164,9,5.49
TS2,47,10,21.28
TS20,183,16,8.74
TS21,364,185,50.82
TS22,225,50,22.22
TS23,172,20,11.63
TS24,159,120,75.47
TS25,246,189,76.83
TS26,236,166,70.34
TS27,177,122,68.93
TS28,31,18,58.06
TS29,39,27,69.23
TS3,102,24,23.53
TS4,73,16,21.92
TS5,372,79,21.24
TS6,197,133,67.51
TS7,343,133,38.78
TS8,214,50,23.36
TS9,885,690,77.97
TW1,1312,994,75.76
TW10,1244,915,73.55
TW11,1031,747,72.45
TW12,849,583,68.67
TW13,823,443,53.83
TW14,727,405,55.71
TW15,1376,317,23.04
TW16,1251,371,29.66
TW17,885,255,28.81
TW18,1676,533,31.8
TW19,682,234,34.31
TW2,970,615,63.4
TW20,1723,711,41.27
TW3,980,546,55.71
TW4,571,317,55.52
TW5,774,431,55.68
TW6,18,16,88.89
TW7,1161,716,61.67
TW8,733,463,63.17
TW9,1382,1055,76.34
TY7,1,1,100.0
U10,2,0,0.0
UB1,941,395,41.98
UB10,346,235,67.92
UB11,12,8,66.67
UB2,800,308,38.5
UB3,539,401,74.4
UB4,330,220,66.67
UB5,820,298,36.34
UB6,1391,486,34.94
UB7,253,168,66.4
UB8,341,232,68.04
UB9,783,157,20.05
V1,2,0,0.0
W1,1,1,100.0
W10,693,376,54.26
W11,1598,871,54.51
W12,1133,570,50.31
W13,1097,396,36.1
W14,1106,547,49.46
W19,1,1,100.0
W1A,25,15,60.0
W1B,300,171,57.0
W1C,146,73,50.0
W1D,379,216,56.99
W1F,378,215,56.88
W1G,448,232,51.79
W1H,380,181,47.63
W1J,662,338,51.06
W1K,661,352,53.25
W1R,2,2,100.0
W1S,472,249,52.75
W1T,470,335,71.28
W1U,505,264,52.28
W1V,4,4,100.0
W1W,229,131,57.21
W2,2205,1177,53.38
W3,2001,935,46.73
W4,2377,1319,55.49
W5,2284,862,37.74
W6,1359,717,52.76
W7,792,303,38.26
W8,1753,921,52.54
W9,881,443,50.28
WA1,378,198,52.38
WA10,405,284,70.12
WA11,371,280,75.47
WA12,233,180,77.25
WA13,443,253,57.11
WA14,1298,409,31.51
WA15,1321,322,24.38
WA16,1083,226,20.87
WA2,299,169,56.52
WA3,619,276,44.59
WA4,1128,667,59.13
WA5,585,368,62.91
WA6,526,313,59.51
WA7,326,227,69.63
WA8,536,391,72.95
WA9,320,246,76.88
WC1,2,2,100.0
WC1A,119,89,74.79
WC1B,187,142,75.94
WC1E,104,73,70.19
WC1H,195,140,71.79
WC1N,270,178,65.93
WC1R,35,28,80.0
WC1V,113,89,78.76
WC1X,260,112,43.08
WC2,2,2,100.0
WC2A,140,98,70.0
WC2B,205,135,65.85
WC2E,357,172,48.18
WC2H,515,295,57.28
WC2N,285,146,51.23
WC2R,161,105,65.22
WD1,4,4,100.0
WD17,1583,333,21.04
WD18,755,268,35.5
WD19,1342,824,61.4
WD2,2,2,100.0
WD23,1363,871,63.9
WD24,884,282,31.9
WD25,1346,560,41.6
WD3,4278,3250,75.97
WD4,1233,815,66.1
WD5,658,503,76.44
WD6,1852,1201,64.85
WD7,1603,953,59.45
WE6,3,2,66.67
WF1,653,383,58.65
WF10,477,245,51.36
WF11,272,136,50.0
WF12,413,69,16.71
WF13,394,95,24.11
WF14,344,74,21.51
WF15,203,36,17.73
WF16,131,31,23.66
WF17,525,137,26.1
WF2,686,412,60.06
WF3,495,312,63.03
WF4,787,417,52.99
WF5,258,165,63.95
WF6,187,115,61.5
WF7,235,136,57.87
WF8,476,276,57.98
WF9,354,209,59.04
WN1,258,63,24.42
WN2,407,92,22.6
WN3,169,50,29.59
WN4,268,98,36.57
WN5,345,115,33.33
WN6,617,219,35.49
WN7,349,83,23.78
WN8,1199,617,51.46
WR1,810,576,71.11
WR10,1160,863,74.4
WR11,1838,1279,69.59
WR12,930,711,76.45
WR13,647,340,52.55
WR14,1565,1240,79.23
WR15,344,211,61.34
WR2,996,712,71.49
WR3,756,574,75.93
WR4,342,252,73.68
WR5,1066,748,70.17
WR6,1031,580,56.26
WR7,509,367,72.1
WR8,627,427,68.1
WR9,1197,883,73.77
WS1,407,114,28.01
WS10,313,149,47.6
WS11,875,143,16.34
WS12,496,85,17.14
WS13,983,715,72.74
WS14,741,590,79.62
WS15,1268,473,37.3
WS2,339,87,25.66
WS3,363,120,33.06
WS4,207,62,29.95
WS5,370,74,20.0
WS6,319,88,27.59
WS7,548,450,82.12
WS8,134,52,38.81
WS9,431,156,36.19
WV1,189,147,77.78
WV10,641,341,53.2
WV11,341,196,57.48
WV12,208,104,50.0
WV13,262,123,46.95
WV14,300,167,55.67
WV15,198,122,61.62
WV16,486,339,69.75
WV2,137,107,78.1
WV3,393,294,74.81
WV4,468,259,55.34
WV5,566,186,32.86
WV6,891,476,53.42
WV7,137,76,55.47
WV8,529,166,31.38
WV9,145,53,36.55
Y07,1,0,0.0
YO1,545,360,66.06
YO10,484,338,69.83
YO11,904,177,19.58
YO12,662,112,16.92
YO13,458,182,39.74
YO14,534,98,18.35
YO15,291,178,61.17
YO16,269,183,68.03
YO17,969,644,66.46
YO18,505,373,73.86
YO19,663,428,64.56
YO21,569,82,14.41
YO22,316,28,8.86
YO23,638,462,72.41
YO24,573,425,74.17
YO25,1063,729,68.58
YO26,1291,870,67.39
YO30,787,574,72.94
YO31,575,435,75.65
YO32,575,416,72.35
YO41,324,230,70.99
YO42,499,349,69.94
YO43,361,250,69.25
YO5,8,0,0.0
YO51,547,372,68.01
YO60,405,275,67.9
YO61,1779,1403,78.86
YO62,700,466,66.57
YO7,1676,1254,74.82
YO8,1599,901,56.35
YO91,3,3,100.0
ZE1,153,49,32.03
ZE2,366,106,28.96
ZE3,7,1,14.29
